"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Cercocarpus"	"Cyperaceae"	"Elaeagnus"	"Ephedraceae"	"Fabaceae"	"Grossulariaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Montiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Sarcobataceae"
982	1013	"Hay Lake"	34	-109.425	1	"AWI"	1	-106	180	10	0	0	4.98084291187739	0	2.68199233716475	10.727969348659	0	0.766283524904214	0	0	0	27.5862068965517	0	0	0	0	1.91570881226054	0	5.74712643678161	0	0	0	0	29.5019157088123	13.4099616858238	0	0.383141762452107	1.14942528735632	0	1.14942528735632	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	9	"AWI"	9	-20	2055	603	0	0	11.5079365079365	0	6.34920634920635	8.73015873015873	0	0.793650793650794	0	0	0	13.8888888888889	0	0	0	0	7.53968253968254	0	5.95238095238095	0	1.19047619047619	0	0	27.3809523809524	15.0793650793651	0	0	0	0.396825396825397	0.793650793650794	0	0	0	0.396825396825397
982	1013	"Hay Lake"	34	-109.425	17	"AWI"	17	288	2839	1444	0	0	3.57142857142857	0	48.015873015873	0	0	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	0	0	43.2539682539683	3.96825396825397	0	0	0	0	0	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	21	"AWI"	21	469	3380	1805	0	0	1.59235668789809	0	58.2802547770701	0	0	0.318471337579618	0	0	0	0.636942675159236	0	0	0	0	1.91082802547771	0	0	0	0	0	0.955414012738854	29.2993630573248	4.45859872611465	0.318471337579618	0	0	0	0	0.318471337579618	0	0	1.91082802547771
982	1013	"Hay Lake"	34	-109.425	34	"AWI"	34	1656	4121	3053	0	0	3.86904761904762	0	49.1071428571429	0	0	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	0	1.19047619047619	31.8452380952381	9.82142857142857	0	0.297619047619048	0.297619047619048	0	0.297619047619048	1.19047619047619	0	0	0.892857142857143
982	1013	"Hay Lake"	34	-109.425	48	"AWI"	48	3975	4654	4342	0	0	2.82258064516129	0	52.0161290322581	0	0.403225806451613	0	0	0	0	0	0	0	0	0	4.83870967741935	0	0	0	0	0	1.61290322580645	32.6612903225806	2.41935483870968	0	0	0	0	0	0	0	0	3.2258064516129
982	1013	"Hay Lake"	34	-109.425	53	"AWI"	53	4553	5626	4938	0	0	5.80357142857143	0	48.6607142857143	0	0	0	0	0	0	2.23214285714286	0	0	0.446428571428571	0	1.33928571428571	0	0	1.33928571428571	0	0	1.78571428571429	28.5714285714286	8.03571428571429	0.446428571428571	0	0	0	0	0	0	0	1.33928571428571
982	1013	"Hay Lake"	34	-109.425	61	"AWI"	61	4843	8522	6072	0	0	4.7752808988764	0	56.7415730337079	0	0	0	0	0	0	0	0	0	0	0	1.96629213483146	0	0	0	0	0	2.52808988764045	24.1573033707865	7.86516853932584	0	0	0.280898876404494	0	0.842696629213483	0.561797752808989	0	0	0.280898876404494
982	1013	"Hay Lake"	34	-109.425	71	"AWI"	71	5574	10771	7808	0	0	3.125	0	58.59375	0	0	0.390625	0	0	0	0.390625	0	0	0	0	2.734375	0	0	0	0.390625	0	2.34375	23.4375	7.03125	0	0	0	0	0.78125	0	0	0	0.78125
982	1013	"Hay Lake"	34	-109.425	82	"AWI"	82	6932	12429	9617	0.346020761245675	0	4.1522491349481	0	32.5259515570934	0	0	0.69204152249135	0	0	0	1.03806228373702	0	0	0	0	1.73010380622837	0	0	0	0	0	4.1522491349481	41.8685121107266	13.1487889273356	0	0	0	0	0	0	0	0	0.346020761245675
