"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Geraniaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"
1632	1687	"Lake Madjagara"	64.83333	120.96667	330	"AWI"	330	3319	4142	3694	0	0	0	3	0	98	0	0	8	0	27	0	15	0	3	33	21	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	340	"AWI"	340	3440	4211	3783	38	0	0	2	0	122	0	0	2	0	23	0	9	0	6	31	18	0	0	0	5	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	350	"AWI"	350	3506	4311	3873	0	0	1	2	0	104	0	0	4	0	20	0	15	0	3	33	19	0	0	0	5	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	360	"AWI"	360	3653	4391	3967	30	0	1	0	0	91	2	0	7	0	16	0	19	0	1	54	17	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	370	"AWI"	370	3749	4509	4064	44	0	0	3	0	70	0	0	4	0	19	0	36	0	7	64	33	0	0	0	5	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	380	"AWI"	380	3895	4706	4243	28	0	1	1	0	91	0	1	2	0	17	0	21	0	11	49	37	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	390	"AWI"	390	3988	5097	4458	28	0	1	1	0	97	0	0	5	0	20	0	30	0	4	31	41	0	0	0	6	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	400	"AWI"	400	4133	5442	4673	38	2	0	4	0	104	0	0	7	0	21	0	21	0	5	38	20	0	0	0	4	2
1632	1687	"Lake Madjagara"	64.83333	120.96667	410	"AWI"	410	4284	5601	4920	27	0	0	2	0	100	0	0	3	0	23	0	16	0	7	53	37	0	0	0	8	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	420	"AWI"	420	4443	5869	5151	0	0	0	3	2	116	0	0	1	0	24	0	19	0	4	36	40	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	430	"AWI"	430	4710	5972	5401	16	0	0	0	0	87	1	0	17	0	22	0	18	0	5	89	53	0	0	0	3	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	440	"AWI"	440	4854	6159	5655	0	0	0	1	0	90	0	0	4	0	21	0	16	0	8	65	48	0	0	0	5	5
