"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Fraxinus"	"Indeterminable"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Ulmus"
481	493	"Clearwater Lake"	50.87361	-107.93333	0	"AWI"	0	-137	28	-53	1	7	70	70	0	10	0	0	7	0	0	0	3	0	5	46	0	15	0	3	0	0	0	7	1	2	0
481	493	"Clearwater Lake"	50.87361	-107.93333	10	"AWI"	10	-104	82	-15	0	6	80	115	6	2	0	0	12	0	0	0	6	0	6	74	0	43	0	3	0	0	0	5	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	20	"AWI"	20	-84	169	18	0	10	84	122	0	8	0	1	19	0	0	0	0	0	3	55	0	36	1	3	0	1	1	14	0	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	30	"AWI"	30	-70	270	52	0	11	110	123	7	10	0	0	6	0	0	0	2	0	5	52	0	34	0	4	0	2	0	7	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	50	"AWI"	50	-22	420	133	0	2	108	83	0	4	0	1	6	0	0	0	1	0	3	32	0	20	1	0	0	2	1	8	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	60	"AWI"	60	5	468	188	0	11	43	136	0	6	0	0	18	0	0	0	6	0	2	42	0	44	0	1	0	2	0	7	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	70	"AWI"	70	24	545	237	1	7	6	174	0	8	0	0	7	0	0	0	3	0	1	48	0	42	0	0	0	1	0	5	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	110	"AWI"	110	126	937	448	1	9	15	149	0	10	0	0	10	0	0	0	3	0	10	62	0	31	0	3	0	0	0	2	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	190	"AWI"	190	391	1697	916	0	7	21	173	25	8	0	0	18	0	0	0	1	0	2	37	0	43	0	0	0	0	0	3	0	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	270	"AWI"	270	721	2340	1393	0	13	12	126	0	10	0	0	7	0	0	0	1	0	4	33	0	29	0	0	0	0	0	3	3	1	2
481	493	"Clearwater Lake"	50.87361	-107.93333	350	"AWI"	350	1088	2911	1886	0	6	15	125	0	20	1	0	13	0	1	0	0	0	6	61	0	77	0	0	0	0	0	7	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	430	"AWI"	430	1469	3433	2371	0	8	16	120	0	7	1	0	23	0	0	0	2	0	4	34	0	33	2	1	0	0	2	12	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	510	"AWI"	510	1851	3951	2840	0	7	15	167	0	8	1	0	28	0	0	0	2	0	7	73	0	63	0	0	0	1	0	4	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	590	"AWI"	590	2270	4465	3342	0	17	19	121	0	25	0	0	3	0	0	0	0	1	2	58	0	51	0	0	0	0	0	7	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	670	"AWI"	670	2729	4943	3821	0	8	42	157	0	7	1	0	34	0	0	0	0	0	6	35	0	69	0	2	0	1	0	10	0	0	1
481	493	"Clearwater Lake"	50.87361	-107.93333	750	"AWI"	750	3202	5403	4308	0	14	14	129	0	10	0	0	35	0	1	0	3	0	7	48	0	52	0	0	0	0	0	4	1	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	790	"AWI"	790	3426	5623	4546	0	9	19	192	0	16	0	0	13	0	0	0	2	0	4	30	0	22	0	0	0	0	0	4	0	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	830	"AWI"	830	3704	5848	4791	1	10	17	151	14	11	0	0	26	0	0	0	4	0	4	64	0	30	0	0	0	0	0	4	3	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	870	"AWI"	870	3948	6060	5036	0	9	23	123	24	11	0	0	21	0	0	1	3	0	5	57	0	37	0	0	0	0	0	7	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	910	"AWI"	910	4191	6278	5274	1	21	42	0	0	7	0	0	22	0	0	0	5	0	7	88	0	63	0	0	0	0	0	4	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	950	"AWI"	950	4445	6479	5511	0	9	33	135	0	23	0	0	22	0	0	0	5	0	4	42	0	31	0	0	0	2	0	10	3	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	990	"AWI"	990	4707	6668	5747	0	12	20	113	0	12	0	0	20	0	0	0	2	0	4	109	0	14	0	0	1	1	0	3	2	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1030	"AWI"	1030	4961	6858	5989	0	20	47	127	0	8	1	0	29	0	2	0	3	0	5	53	0	44	2	0	0	0	2	3	1	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1070	"AWI"	1070	5238	7042	6228	0	16	39	172	0	15	0	0	17	0	0	1	0	0	9	63	0	24	0	1	0	1	0	3	4	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1120	"AWI"	1120	5591	7269	6532	1	12	29	160	0	4	0	0	25	0	0	0	0	0	5	44	1	59	0	0	0	0	0	7	3	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1160	"AWI"	1160	5894	7452	6764	0	15	51	149	0	12	0	0	10	0	0	0	2	0	8	32	0	13	0	0	0	0	0	2	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1200	"AWI"	1200	6240	7637	6998	0	12	40	97	0	8	0	0	26	2	0	0	1	0	5	34	0	38	2	0	1	0	2	0	1	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1210	"AWI"	1210	6314	7685	7058	1	12	56	99	0	13	1	0	37	0	0	0	6	0	21	58	0	29	0	0	0	1	0	6	0	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1220	"AWI"	1220	6375	7740	7117	0	15	66	57	0	7	0	0	21	0	0	0	3	0	10	53	0	29	2	0	1	0	2	2	1	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1230	"AWI"	1230	6477	7788	7174	0	13	53	88	0	2	0	0	22	0	0	0	2	0	8	47	0	42	0	0	0	0	0	1	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1240	"AWI"	1240	6560	7831	7234	0	11	57	121	0	2	0	0	38	1	0	0	2	0	7	57	0	42	1	0	0	0	1	4	3	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1250	"AWI"	1250	6635	7880	7293	1	10	56	77	65	2	0	0	38	3	0	0	2	0	10	46	0	36	0	4	0	0	0	1	4	1	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1258	"AWI"	1258	6673	7923	7342	0	16	88	92	0	11	0	0	29	0	0	0	1	0	22	54	0	48	0	0	0	0	0	2	0	0	0
481	493	"Clearwater Lake"	50.87361	-107.93333	1262	"AWI"	1262	6694	7952	7368	0	11	68	89	0	5	0	0	29	1	0	0	4	0	15	46	0	56	0	2	0	0	0	1	0	0	0
