"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liquidambar"	"Morus"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"	"Vitaceae"
1535	1574	"Ladd Lake"	41.41667	-84.75	934	"AWI"	934	-138	24	-46	0	0	0	2	0	0	0	2	4	0	1	0	0	0	7	0	0	1	6	2	0	4	3	0	0	0	0	0	3	1	0	1	0	3	38	0	2	0	1	8	0	0	0	6	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1078	"AWI"	1078	-17	362	151	0	0	0	6	0	0	0	1	17	0	2	11	0	0	8	0	0	1	6	17	0	1	0	0	0	0	0	0	12	2	0	3	27	0	93	8	0	0	1	19	0	0	0	14	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1134	"AWI"	1134	60	434	235	0	6	0	9	0	1	184	2	8	0	2	0	0	0	19	0	0	0	9	9	0	4	5	0	0	0	0	0	23	0	7	9	31	4	127	2	0	0	0	12	1	2	0	26	1	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1192	"AWI"	1192	176	592	385	0	0	0	0	0	2	0	5	13	0	2	0	0	1	9	0	0	0	26	14	0	1	4	0	0	1	0	0	15	0	5	2	0	0	173	3	0	0	0	15	1	2	4	56	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1234	"AWI"	1234	255	887	514	0	0	0	2	1	1	0	1	30	0	0	0	0	1	14	0	0	0	10	18	0	3	4	0	0	0	0	0	10	1	0	7	0	5	187	0	1	3	0	3	0	3	0	13	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1250	"AWI"	1250	311	1052	598	0	0	1	0	0	1	0	1	21	2	1	0	1	1	4	0	0	0	22	20	0	2	0	1	0	0	0	0	9	0	0	10	0	1	188	1	0	0	0	7	0	0	0	19	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1266	"AWI"	1266	484	1423	929	0	0	1	2	1	2	0	0	33	0	0	0	0	2	5	0	0	0	54	14	0	1	9	1	0	0	0	0	15	0	0	9	0	1	137	0	0	0	0	2	0	0	0	27	1	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1298	"AWI"	1298	646	2453	1570	0	16	1	2	0	3	0	0	31	1	0	0	0	0	14	0	0	0	34	26	0	1	7	0	0	0	0	0	12	1	0	4	0	0	176	1	0	0	0	0	0	0	0	22	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1334	"AWI"	1334	996	3525	2273	0	0	0	1	1	1	0	4	20	1	1	0	0	0	11	0	0	0	22	25	1	10	9	1	0	2	1	0	15	1	0	15	9	15	137	0	1	0	0	8	0	1	0	23	0	2
1535	1574	"Ladd Lake"	41.41667	-84.75	1366	"AWI"	1366	1905	3716	2833	0	0	0	1	0	0	0	1	29	0	1	0	0	1	8	0	0	0	82	21	0	2	11	1	2	1	0	0	13	0	9	18	0	0	176	3	0	0	0	2	0	4	1	15	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1382	"AWI"	1382	2225	3828	3133	0	8	0	0	0	1	0	4	27	0	2	0	0	0	3	0	0	0	56	30	0	2	0	0	0	0	0	0	9	0	0	12	0	3	175	0	1	0	0	4	0	4	1	38	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1414	"AWI"	1414	2814	4164	3685	0	8	0	2	0	1	0	3	36	0	1	0	0	1	8	0	1	0	51	22	0	0	7	0	0	0	0	0	22	0	0	12	0	0	158	0	0	0	0	0	0	0	3	21	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1435	"AWI"	1435	3398	4229	3889	0	6	0	5	2	0	0	0	12	0	0	0	0	1	28	0	0	0	5	23	0	13	3	0	0	0	0	0	3	2	0	0	0	0	68	2	0	0	0	7	0	2	0	26	0	1
1535	1574	"Ladd Lake"	41.41667	-84.75	1451	"AWI"	1451	3739	4336	4050	0	11	3	1	0	0	4	0	29	0	0	0	0	0	6	0	0	0	14	13	1	0	0	0	3	0	0	0	7	0	0	7	0	1	204	1	0	0	0	5	0	1	0	31	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1467	"AWI"	1467	3898	4571	4229	0	4	1	1	0	2	0	1	28	0	0	0	0	1	22	0	1	0	16	11	0	1	3	0	0	1	0	0	7	0	0	11	0	0	203	1	0	2	0	5	0	0	1	21	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1499	"AWI"	1499	4067	5127	4494	0	10	3	3	0	1	0	3	25	0	0	0	0	1	9	0	0	0	16	18	0	0	2	1	0	1	0	0	13	1	0	12	0	1	161	0	0	0	0	4	0	0	0	33	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1515	"AWI"	1515	4136	5225	4597	0	9	0	1	0	1	0	4	26	0	0	0	0	0	7	0	0	0	18	0	0	0	3	0	0	0	0	0	13	1	8	7	0	2	173	2	0	0	0	4	0	3	0	26	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1531	"AWI"	1531	4185	5361	4698	0	0	0	1	0	1	9	4	37	0	0	0	0	4	18	0	0	0	13	32	0	4	11	1	0	0	1	0	18	0	0	7	0	0	221	1	2	2	1	1	0	0	0	43	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1551	"AWI"	1551	4234	5562	4815	0	9	0	2	0	2	0	10	42	0	2	0	0	2	6	0	0	0	29	27	0	0	7	0	0	3	0	0	13	0	0	9	0	1	170	1	0	0	0	0	0	3	1	36	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1567	"AWI"	1567	4268	5751	4901	0	5	1	2	0	1	0	0	37	0	1	0	0	0	6	0	0	0	26	18	0	1	5	1	0	0	0	0	7	0	0	11	0	1	169	1	0	0	0	2	0	4	0	54	1	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1583	"AWI"	1583	4382	5815	5007	0	7	0	0	0	2	0	0	34	0	1	0	0	0	7	0	0	0	9	18	0	0	3	0	0	0	0	0	6	0	0	7	0	0	227	0	0	0	0	1	0	0	0	20	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1599	"AWI"	1599	4457	5869	5113	0	6	3	1	0	1	0	3	32	0	1	0	0	1	16	0	0	0	7	22	0	1	0	1	0	0	0	0	2	0	0	8	0	1	191	2	0	0	0	3	0	0	0	26	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1615	"AWI"	1615	4516	5955	5223	0	4	2	0	0	1	0	3	13	0	1	0	0	1	9	0	0	0	17	12	0	0	0	0	0	0	0	0	10	0	0	11	0	1	198	0	0	3	0	3	0	1	0	26	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1635	"AWI"	1635	4572	6092	5349	0	6	0	2	2	1	0	0	32	0	1	0	0	0	10	0	0	0	7	12	0	6	4	1	0	0	0	0	1	0	5	18	0	1	198	3	0	0	0	5	0	0	0	31	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1651	"AWI"	1651	4654	6196	5443	0	11	0	1	0	5	0	1	33	0	0	0	0	3	6	0	0	0	12	10	0	1	7	0	2	0	0	0	7	0	0	16	0	0	181	3	0	0	0	2	0	0	0	23	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1667	"AWI"	1667	4823	6239	5541	0	5	1	2	0	1	0	3	30	0	1	0	0	2	13	0	0	0	14	22	0	0	5	2	0	1	0	0	5	0	17	15	0	1	154	5	0	8	0	3	0	4	0	32	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1683	"AWI"	1683	4934	6292	5645	0	8	1	2	0	1	0	1	23	0	1	0	0	0	10	0	0	0	34	21	0	1	7	1	0	0	0	0	12	0	0	16	0	1	187	4	0	0	0	4	0	1	1	42	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1699	"AWI"	1699	5009	6344	5756	0	12	0	1	0	1	0	2	15	0	1	0	0	2	8	0	0	0	26	29	0	2	6	0	0	0	0	0	16	1	0	14	0	1	160	2	0	0	0	3	0	0	2	42	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1715	"AWI"	1715	5083	6445	5861	0	0	1	0	0	0	0	0	6	0	0	0	0	1	2	0	0	0	3	17	0	0	3	0	0	0	0	0	2	0	0	5	0	0	468	0	0	0	0	1	0	0	0	13	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1735	"AWI"	1735	5263	6537	5980	0	15	1	1	0	1	0	0	33	0	0	0	0	4	7	0	0	0	47	31	0	6	21	0	0	0	0	0	22	0	0	21	0	2	188	1	0	0	0	1	0	3	4	85	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1767	"AWI"	1767	5694	6613	6152	0	0	0	0	0	0	0	2	30	0	0	0	0	2	2	0	0	0	63	28	0	1	7	0	0	0	0	0	7	0	0	14	0	2	103	1	0	0	0	1	0	1	0	84	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1791	"AWI"	1791	5949	6724	6284	0	10	0	2	0	1	0	1	22	0	2	0	0	0	4	0	0	0	47	19	0	2	8	0	0	0	0	0	11	0	0	33	0	0	132	0	0	0	0	2	0	2	0	78	0	0
1535	1574	"Ladd Lake"	41.41667	-84.75	1807	"AWI"	1807	6140	6848	6415	0	12	0	0	0	1	0	1	19	0	0	0	0	0	6	0	0	0	24	26	0	3	14	0	0	1	0	0	11	0	0	15	0	1	116	0	0	0	0	1	0	0	0	65	0	1
