"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Isoëtes"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
975	1006	"Harding Lake"	64.44444	-146.9075	1	"AWI"	1	-65	174	31	70	0	0	1	0	124	0	0	0	10	0	1	0	0	33	0	1	0	92	0	12	0	0	1	0	0	1	3	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	10	"AWI"	10	9	1645	456	55	0	0	1	0	124	0	0	0	8	0	2	0	0	14	0	0	0	143	0	9	0	0	0	0	0	0	2	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	58	"AWI"	58	1684	5127	3295	82	0	1	0	0	161	0	0	0	6	0	1	0	0	9	0	1	0	66	0	10	0	0	2	0	0	0	6	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	75	"AWI"	75	2592	6142	4314	64	0	0	2	0	146	0	0	0	2	0	3	0	0	5	0	3	0	82	0	7	0	0	0	0	0	0	3	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	92	"AWI"	92	3470	7022	5306	86	0	0	1	0	140	0	0	0	1	0	1	0	0	7	0	0	0	69	0	5	0	0	2	0	0	0	4	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	109	"AWI"	109	4465	7908	6294	56	0	0	1	0	178	0	0	0	2	0	1	0	0	9	0	1	0	68	0	5	0	0	0	0	0	0	3	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	126	"AWI"	126	5602	8635	7278	72	0	0	1	0	199	0	0	0	6	0	0	0	0	12	0	0	0	29	0	9	0	0	1	0	0	0	2	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	143	"AWI"	143	6716	9297	8246	72	0	0	1	0	199	0	0	0	5	0	1	0	0	5	0	1	0	22	0	13	0	0	0	0	0	0	2	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	160	"AWI"	160	8026	9824	9215	46	0	0	1	0	185	0	0	1	12	0	1	0	0	16	0	1	0	46	0	16	0	0	1	0	0	0	6	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	177	"AWI"	177	9543	10489	9965	7	0	0	0	0	197	0	0	0	2	0	1	0	0	12	0	0	0	88	0	9	0	0	0	0	0	0	5	0	0
975	1006	"Harding Lake"	64.44444	-146.9075	190	"AWI"	190	9852	11135	10477	4	0	0	1	0	251	0	0	0	6	0	0	0	0	14	0	0	0	39	0	10	0	0	2	0	0	0	1	0	0
