"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
790	811	"Etivlik Lake"	68.13333	-156.03333	1	"AWI"	1	-87	319	49	94	0	1	0	131	0	0	0	0	61	0	17	0	1	0	0	0	0	24	1	0	13	0	0	0	0	0	8	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	5	"AWI"	5	-19	1809	492	66	0	3	1	140	0	0	1	1	93	0	17	0	1	0	1	0	0	24	0	0	18	1	0	0	0	0	3	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	10	"AWI"	10	269	2740	1177	94	0	7	1	133	0	0	0	0	83	0	21	0	0	0	0	1	0	32	0	0	21	0	0	0	0	1	6	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	20	"AWI"	20	1256	3849	2609	81	0	3	1	141	0	0	0	0	54	0	16	0	2	0	0	0	0	24	0	0	15	0	0	0	0	1	7	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	30	"AWI"	30	2759	4697	4037	85	0	1	0	143	0	0	0	0	66	0	18	0	0	0	0	0	0	26	0	0	10	0	0	0	0	0	4	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	40	"AWI"	40	4463	5995	5026	97	0	2	1	167	0	0	0	0	55	0	6	0	0	0	0	0	0	25	0	0	15	0	1	1	0	0	6	0	1
790	811	"Etivlik Lake"	68.13333	-156.03333	50	"AWI"	50	5044	7142	5975	117	0	1	0	146	0	0	0	0	39	0	5	0	0	0	0	0	0	7	0	0	5	0	1	0	0	0	2	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	60	"AWI"	60	5769	8038	6929	169	0	1	0	127	0	0	0	0	51	0	8	0	0	0	1	0	0	5	0	0	8	0	0	0	0	0	8	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	70	"AWI"	70	6727	8788	7892	130	0	0	0	138	0	0	0	0	39	0	10	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	1	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	80	"AWI"	80	8041	9409	8775	38	0	2	1	180	0	0	0	0	63	0	17	0	1	0	0	0	1	5	0	0	19	1	3	0	0	0	5	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	85	"AWI"	85	8253	9858	9049	6	0	3	0	190	0	0	1	0	113	0	19	0	0	1	3	0	0	18	0	0	12	0	1	0	0	0	5	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	90	"AWI"	90	8477	10248	9330	3	0	0	1	264	0	0	0	1	79	0	15	0	0	3	7	0	0	14	0	0	17	0	2	0	0	1	6	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	95	"AWI"	95	8699	10592	9593	3	0	3	0	325	0	0	0	1	116	0	12	0	1	53	3	0	0	4	0	0	17	0	4	1	0	0	17	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	100	"AWI"	100	8908	10956	9867	7	0	4	0	169	0	0	0	0	74	0	8	0	2	0	2	0	0	1	0	0	12	0	12	0	0	0	16	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	110	"AWI"	110	9341	11632	10418	10	0	6	0	192	0	0	0	0	100	0	5	0	4	0	0	0	0	0	0	0	14	1	0	0	0	1	20	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	120	"AWI"	120	9822	12272	10973	3	0	1	0	193	0	1	0	0	110	0	5	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	16	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	130	"AWI"	130	10284	12868	11527	1	0	4	1	172	0	0	0	2	105	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	31	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	140	"AWI"	140	10794	13439	12083	0	0	3	0	162	0	0	0	1	105	0	0	0	0	0	0	0	0	0	0	1	22	0	0	1	0	0	16	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	150	"AWI"	150	11325	14025	12642	1	1	4	0	164	0	0	0	0	118	3	2	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	19	0	2
790	811	"Etivlik Lake"	68.13333	-156.03333	190	"AWI"	190	13590	16181	14889	0	0	1	2	140	1	1	0	2	127	0	2	0	2	0	0	0	0	0	0	0	21	0	0	0	0	0	14	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	200	"AWI"	200	14198	16673	15445	0	0	3	0	181	0	1	0	1	171	0	2	0	1	0	0	0	0	1	0	0	29	0	0	0	0	0	18	0	0
790	811	"Etivlik Lake"	68.13333	-156.03333	220	"AWI"	220	15513	17670	16547	0	1	1	0	129	0	0	0	0	128	0	0	0	0	0	0	0	0	1	0	0	26	0	0	0	0	0	20	0	2
790	811	"Etivlik Lake"	68.13333	-156.03333	230	"AWI"	230	16103	18344	17115	0	0	1	0	110	0	0	0	1	182	0	0	0	1	0	0	0	0	1	0	0	20	0	0	0	0	0	22	0	0
