"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
262	268	"Banks Island 74MS12"	72.36667	-119.83333	4	"AWI"	4	-58	852	206	15	6	3	36	0	0	72	0	0	13	9	5	132	0	0	0	7	8
262	268	"Banks Island 74MS12"	72.36667	-119.83333	10	"AWI"	10	116	1682	688	18	0	0	54	5	0	72	0	9	12	12	0	96	0	0	0	12	12
262	268	"Banks Island 74MS12"	72.36667	-119.83333	15	"AWI"	15	355	2210	1129	18	4	0	44	0	0	65	0	7	18	14	0	101	0	0	15	9	12
262	268	"Banks Island 74MS12"	72.36667	-119.83333	20	"AWI"	20	671	2678	1573	20	4	0	32	0	0	52	4	11	24	16	0	108	0	0	16	8	10
262	268	"Banks Island 74MS12"	72.36667	-119.83333	25	"AWI"	25	997	3091	2009	27	5	0	28	0	0	57	5	4	22	17	0	101	12	0	13	8	16
262	268	"Banks Island 74MS12"	72.36667	-119.83333	30	"AWI"	30	1358	3462	2429	19	0	0	24	0	0	45	7	7	21	28	0	119	10	0	0	7	9
262	268	"Banks Island 74MS12"	72.36667	-119.83333	35	"AWI"	35	1770	3784	2851	27	7	0	34	5	0	41	5	9	20	25	0	109	0	0	0	7	7
262	268	"Banks Island 74MS12"	72.36667	-119.83333	40	"AWI"	40	2257	4074	3280	18	11	0	65	3	0	67	0	8	12	13	0	102	0	0	0	8	11
262	268	"Banks Island 74MS12"	72.36667	-119.83333	45	"AWI"	45	2815	4359	3686	15	13	0	45	6	1	61	0	11	15	11	0	98	0	0	0	11	18
262	268	"Banks Island 74MS12"	72.36667	-119.83333	50	"AWI"	50	3498	4629	4079	21	0	0	48	5	2	59	0	13	41	5	0	103	0	0	0	17	15
262	268	"Banks Island 74MS12"	72.36667	-119.83333	55	"AWI"	55	3949	5188	4478	24	0	0	53	0	3	95	0	7	31	1	0	65	0	0	0	22	11
