"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Indeterminable"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
681	701	"Divide Lake"	43.93333	-110.23333	0	"AWI"	0	-134	38	-50	4.11764705882353	0.294117647058824	0	1.17647058823529	0	19.1176470588235	0	0	0	0.588235294117647	0	0	0	0	11.1764705882353	61.1764705882353	1.76470588235294	0	0	0	0.294117647058824	0.294117647058824	0	0	0	0
681	701	"Divide Lake"	43.93333	-110.23333	20	"AWI"	20	306	1608	826	3.35570469798658	0	0	2.3489932885906	0	22.1476510067114	0	0	0	1.00671140939597	0	0.335570469798658	0	0.671140939597315	14.0939597315436	53.0201342281879	1.67785234899329	0	0	0	0.335570469798658	0.335570469798658	0	0	0.671140939597315	0
681	701	"Divide Lake"	43.93333	-110.23333	40	"AWI"	40	999	2610	1766	10.6451612903226	0	0	0.967741935483871	0	7.41935483870968	0	0	0	0.645161290322581	0	0	0.645161290322581	0	21.6129032258065	57.0967741935484	0.967741935483871	0	0	0	0	0	0	0	0	0
681	701	"Divide Lake"	43.93333	-110.23333	60	"AWI"	60	1894	3468	2708	3.48837209302326	0	0	1.74418604651163	0.290697674418605	16.5697674418605	0	0	0	0.581395348837209	0	0	1.45348837209302	0	25.8720930232558	47.093023255814	1.74418604651163	0.290697674418605	0	0	0	0.290697674418605	0	0.290697674418605	0.290697674418605	0
681	701	"Divide Lake"	43.93333	-110.23333	80	"AWI"	80	2919	4204	3641	3.54838709677419	0	0.32258064516129	2.25806451612903	0	15.4838709677419	0	0	0.32258064516129	0	0	0	0.645161290322581	0	20.9677419354839	54.1935483870968	1.93548387096774	0	0	0	0	0	0	0	0.32258064516129	0
681	701	"Divide Lake"	43.93333	-110.23333	100	"AWI"	100	4166	4909	4526	5.84415584415584	0	0	1.62337662337662	0	15.2597402597403	0	0	0	0	0	0	0.324675324675325	0	22.4025974025974	52.5974025974026	0.649350649350649	0	0.324675324675325	0	0	0	0	0	0.649350649350649	0.324675324675325
681	701	"Divide Lake"	43.93333	-110.23333	120	"AWI"	120	4756	6213	5393	15.6565656565657	0	0.505050505050505	5.05050505050505	0	36.8686868686869	0	0	0	1.51515151515152	0	0	1.51515151515152	0.505050505050505	25.2525252525253	0	6.56565656565657	0	0	0.505050505050505	0	0.505050505050505	0	0	3.53535353535354	2.02020202020202
681	701	"Divide Lake"	43.93333	-110.23333	140	"AWI"	140	5428	7282	6283	5.30503978779841	0	0	1.59151193633952	0	19.6286472148541	0	0	0	0	0.26525198938992	0.26525198938992	1.3262599469496	0	11.1405835543767	55.1724137931034	3.18302387267904	0	0	0.26525198938992	0	0	0.795755968169761	0	0.530503978779841	0.530503978779841
681	701	"Divide Lake"	43.93333	-110.23333	160	"AWI"	160	6208	8255	7181	6.25	0.284090909090909	0	1.13636363636364	0	23.2954545454545	0	0	0	0.852272727272727	0.284090909090909	0	0.284090909090909	0	15.3409090909091	45.1704545454545	1.70454545454545	0	0	2.84090909090909	0.284090909090909	0.568181818181818	0.284090909090909	0	1.42045454545455	0
681	701	"Divide Lake"	43.93333	-110.23333	180	"AWI"	180	7051	9111	8075	6.53409090909091	0	0	2.55681818181818	0	12.7840909090909	3.69318181818182	0	0	0.284090909090909	0	0	0.284090909090909	0.284090909090909	17.8977272727273	52.2727272727273	1.98863636363636	0	0	0.284090909090909	0	0	0	0	0.852272727272727	0.284090909090909
681	701	"Divide Lake"	43.93333	-110.23333	190	"AWI"	190	7489	9538	8517	7.9646017699115	0	0.294985250737463	1.17994100294985	0.294985250737463	11.2094395280236	0	0.294985250737463	0	0.884955752212389	0	0.294985250737463	0.589970501474926	0	18.2890855457227	55.7522123893805	0	0	0	2.06489675516224	0	0	0	0	0.884955752212389	0
681	701	"Divide Lake"	43.93333	-110.23333	200	"AWI"	200	7921	9937	8962	5.8659217877095	0	0	0.837988826815642	0	19.2737430167598	0	0	0.279329608938547	0.279329608938547	0	0	0.837988826815642	0	14.804469273743	52.7932960893855	0.558659217877095	0	0	2.51396648044693	0.279329608938547	0	0.279329608938547	0.279329608938547	0.837988826815642	0.279329608938547
681	701	"Divide Lake"	43.93333	-110.23333	210	"AWI"	210	8395	10336	9414	7.43034055727554	0	0	2.47678018575851	0	20.7430340557276	0	0	0	0.619195046439629	0	0	0.309597523219814	0	13.312693498452	49.8452012383901	0.619195046439629	0	0	2.1671826625387	0.928792569659443	0.619195046439629	0.309597523219814	0	0.619195046439629	0
681	701	"Divide Lake"	43.93333	-110.23333	220	"AWI"	220	8910	10737	9856	8.17610062893082	0	0	4.40251572327044	0.314465408805031	17.2955974842767	0	0	0	0	0	0	0.314465408805031	0	12.8930817610063	53.7735849056604	0.628930817610063	0	0	0.943396226415094	0.628930817610063	0	0	0	0.628930817610063	0
