"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Fraxinus"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Menispermaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Ulmus"	"Urticaceae"
810	834	"Beaverhouse Lake"	54.74222	-101.68167	0	"AWI"	0	-101	61	-23	0	0	348	25	0	27	13	299	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2	5	0	0	6	0	1	0	0	223	450	0	22	11	1	1	0	0	0	32	2	1	0	0	0	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	10	"AWI"	10	-27	604	165	1	0	198	5	2	23	0	181	0	0	0	0	0	0	1	0	1	20	0	0	0	0	0	7	0	0	9	0	2	0	0	174	195	0	19	2	0	0	0	0	0	9	2	0	0	0	0	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	25	"AWI"	25	90	1228	474	1	0	91	3	0	7	0	102	0	0	0	0	0	0	3	1	1	14	0	0	0	0	1	1	0	0	9	0	0	0	0	61	192	0	11	2	0	1	0	0	0	15	0	0	0	0	0	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	35	"AWI"	35	155	1597	699	6	0	290	2	1	31	0	307	0	0	0	0	0	0	2	0	1	39	0	0	0	0	1	1	1	0	7	0	2	0	0	187	348	0	40	22	2	0	0	0	0	32	2	0	0	0	3	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	40	"AWI"	40	249	1677	815	3	0	173	5	0	17	0	215	0	0	0	0	0	0	4	0	0	53	0	0	0	0	0	0	0	0	5	0	0	0	0	202	495	0	15	4	4	0	0	0	0	14	0	0	0	0	1	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	50	"AWI"	50	366	1908	1045	0	0	363	6	3	20	0	227	0	0	0	0	0	0	4	0	9	45	0	0	0	0	0	1	0	0	15	0	0	0	1	225	467	0	32	17	1	2	0	0	0	30	1	0	0	1	2	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	60	"AWI"	60	549	2123	1266	0	0	148	1	0	20	0	134	0	0	0	0	0	0	1	0	1	12	0	0	1	0	0	0	0	0	4	0	0	0	0	148	334	0	21	4	0	0	0	0	0	11	2	0	0	1	0	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	70	"AWI"	70	667	2351	1495	0	0	226	5	0	28	0	161	0	0	0	0	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	163	336	0	20	7	0	1	0	0	0	18	1	1	0	0	0	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	80	"AWI"	80	898	2501	1718	0	0	88	3	0	10	0	54	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	1	0	0	0	0	134	195	0	13	0	1	0	0	0	0	5	0	0	0	0	0	0
810	834	"Beaverhouse Lake"	54.74222	-101.68167	90	"AWI"	90	1060	2735	1934	0	0	154	6	0	27	0	84	0	0	0	0	0	0	6	0	1	22	0	0	0	0	0	0	0	0	0	0	0	1	0	159	332	0	15	3	0	0	0	0	0	17	0	0	0	0	1	0
