"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Grossulariaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Violaceae"
769	788	"Elikchan 4 Lake"	60.75	151.88333	2	"AWI"	2	-92	230	24	117	0	0	0	6	0	81	0	0	0	0	10	6	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	2	1	0	0	0	3	0	0	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	9	"AWI"	9	-40	1156	259	153	0	0	0	5	0	76	0	0	0	0	13	10	0	0	0	0	6	0	0	0	0	0	0	0	0	22	0	0	0	6	1	0	0	0	12	2	3	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	20	"AWI"	20	145	1940	760	91	0	0	0	6	0	46	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	2	2	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	25	"AWI"	25	286	2129	964	142	0	0	1	5	0	95	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	3	1	2	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	30	"AWI"	30	366	2446	1159	58	0	0	0	7	0	42	0	0	0	0	7	8	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	1	2	2	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	40	"AWI"	40	659	2810	1629	89	0	0	0	5	0	98	0	0	0	0	13	7	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	5	1	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	45	"AWI"	45	856	2925	1847	84	0	0	0	2	0	90	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	2	1	2	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	50	"AWI"	50	994	3091	2066	164	0	0	0	1	0	171	0	0	0	0	35	12	0	0	0	0	1	1	0	0	1	0	0	0	0	47	0	0	0	7	0	0	0	0	9	0	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	55	"AWI"	55	1217	3215	2319	94	0	0	0	2	0	72	0	0	0	0	5	7	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	1	3	0	0	0	0	2	1	1	1	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	60	"AWI"	60	1309	3438	2570	86	0	0	0	5	0	51	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	2	0	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	70	"AWI"	70	1635	3695	3007	93	0	0	0	8	0	95	0	0	0	0	3	10	0	0	0	0	1	0	0	0	1	0	0	0	0	11	0	0	1	6	0	0	0	0	6	0	2	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	75	"AWI"	75	2291	3788	3201	196	0	0	0	3	0	146	0	0	0	0	3	24	0	0	0	0	1	0	0	0	0	0	0	0	0	23	0	0	0	15	0	0	0	0	2	6	4	1	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	80	"AWI"	80	2523	3935	3446	120	0	0	0	3	0	63	0	0	0	1	7	11	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	4	1	4	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	84	"AWI"	84	3000	3993	3571	103	0	0	0	8	3	142	0	0	0	1	8	10	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	6	0	0	0	0	4	0	0	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	86	"AWI"	86	3204	4020	3637	86	0	0	0	6	0	42	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	6	0	0	0	0	1	1	3	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	88	"AWI"	88	3385	4052	3709	142	0	0	0	6	0	111	0	0	0	0	7	4	0	0	0	0	1	0	0	0	0	0	0	0	0	30	0	0	2	4	0	0	0	0	1	0	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	90	"AWI"	90	3485	4135	3787	129	1	0	1	6	10	88	0	0	0	0	65	43	0	0	0	0	0	1	0	0	0	0	0	0	0	56	0	0	1	6	0	0	0	0	6	1	5	6	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	96	"AWI"	96	3643	4595	4039	101	0	0	0	10	0	76	0	0	0	1	20	9	0	0	0	0	8	0	0	0	0	0	0	0	0	14	0	0	1	5	0	0	0	0	4	1	0	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	100	"AWI"	100	3697	5057	4182	110	0	0	0	5	0	110	0	0	0	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	4	2	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	110	"AWI"	110	3920	5472	4601	138	0	0	1	4	0	63	0	0	0	0	5	6	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	1	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	120	"AWI"	120	4263	5885	5080	145	0	0	1	1	0	78	0	0	0	0	7	11	0	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	0	3	0	0	0	0	3	1	0	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	125	"AWI"	125	4516	5974	5297	186	0	0	0	5	0	87	0	0	0	1	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	2	0	1	2	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	130	"AWI"	130	4640	6152	5521	172	0	0	0	2	0	83	0	0	0	0	4	10	1	0	0	0	1	0	0	0	1	0	0	0	0	5	0	0	0	6	0	0	0	0	6	0	2	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	140	"AWI"	140	5081	6350	5922	188	0	0	0	3	0	144	0	0	0	1	10	18	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	4	1	2	2	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	150	"AWI"	150	6035	6519	6320	275	1	0	0	3	0	252	0	0	0	0	36	12	0	0	0	0	4	0	0	0	1	0	0	0	0	13	0	0	1	6	0	0	0	0	11	1	1	3	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	160	"AWI"	160	6315	6750	6453	306	0	0	2	0	0	192	0	0	0	0	9	30	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	6	0	0	0	0	3	0	0	2	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	170	"AWI"	170	6461	7950	6962	200	0	0	0	1	0	125	0	0	0	0	2	18	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	1	5	0	0	0	0	7	0	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	175	"AWI"	175	6621	8137	7247	348	0	0	0	3	0	284	0	0	0	1	15	17	0	0	0	0	2	0	0	0	2	0	0	0	0	16	0	0	0	20	0	0	0	0	0	3	4	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	180	"AWI"	180	6713	8474	7505	201	0	0	0	1	0	124	1	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	3	1	1	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	190	"AWI"	190	7083	8874	8045	362	0	0	0	1	0	179	0	0	0	0	5	17	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	6	1	2	0	0
769	788	"Elikchan 4 Lake"	60.75	151.88333	200	"AWI"	200	7650	9209	8608	354	0	0	1	0	0	262	0	0	0	0	2	6	1	0	0	0	1	1	0	0	0	0	0	0	0	15	0	0	0	3	0	0	0	0	8	1	1	0	0
