"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Larix"	"Montiaceae"	"Onagraceae"	"Papaveraceae"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"
328	335	"Chistoye Lake Exposure"	59.55	151.83333	3	"AWI"	3	-67	671	149	48	0	0	2	0	43	1	0	1	7	181	0	1	0	1	0	0	0	0	0	1	0	0	0	5	0	1	0	2	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	22	"AWI"	22	912	2813	1773	81	0	1	3	0	58	1	0	0	100	134	0	0	0	0	0	0	0	0	0	14	0	0	3	1	0	2	0	1	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	32	"AWI"	32	1621	3579	2616	120	0	0	1	0	90	2	0	0	117	272	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	1	1	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	42	"AWI"	42	2400	4231	3430	54	1	0	3	0	630	0	0	0	0	138	0	1	0	2	1	1	0	0	0	6	0	0	4	5	0	3	1	0	1	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	56	"AWI"	56	4124	4897	4626	47	0	0	1	0	44	3	0	0	6	200	0	0	0	2	0	2	0	127	1	2	0	0	0	0	0	4	1	0	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	60	"AWI"	60	4617	5020	4877	100	0	0	2	0	168	2	1	0	8	384	0	1	0	1	0	1	0	226	0	9	0	1	5	8	0	2	0	1	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	65	"AWI"	65	4868	5164	5063	26	0	0	0	0	24	0	0	0	4	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
328	335	"Chistoye Lake Exposure"	59.55	151.83333	78	"AWI"	78	5023	5403	5219	7	0	1	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	90	"AWI"	90	5182	5574	5374	11	0	0	1	0	12	0	0	0	2	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	95	"AWI"	95	5291	5828	5437	27	0	0	0	0	27	0	0	0	1	85	0	0	0	0	0	0	0	164	0	3	0	0	0	1	0	1	0	0	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	105	"AWI"	105	6416	6736	6602	84	0	0	1	0	76	0	0	0	23	200	0	1	0	0	0	0	0	0	0	1	0	1	4	1	0	1	0	0	0	0
328	335	"Chistoye Lake Exposure"	59.55	151.83333	107	"AWI"	107	6542	6978	6758	164	0	0	2	19	286	22	1	3	83	9	16	0	1	1	0	4	1	18	0	691	1	0	30	0	0	12	4	3	0	2
328	335	"Chistoye Lake Exposure"	59.55	151.83333	122	"AWI"	122	6999	8225	7532	131	1	1	2	12	277	10	1	7	70	13	1	1	0	1	1	3	0	26	0	415	1	0	13	0	0	14	2	4	6	1
