"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tamaricaceae"	"Thalictrum"	"Tilia"	"Ulmus"
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	0	"AWI"	0	-149	14	-69	0	5	1	17	0	140	0	0	0	2	0	0	0	0	0	0	76	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	10	"AWI"	10	-72	417	101	0	4	0	43	0	76	0	0	0	7	0	0	0	0	0	0	145	0	3	0	0	0	2	0	1	0	0	0	0	0	2	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	20	"AWI"	20	32	682	299	1	5	0	41	2	71	0	0	0	16	0	0	0	0	0	0	145	0	7	0	0	0	0	0	0	0	1	5	0	0	0	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	30	"AWI"	30	153	891	507	0	11	0	43	0	42	0	0	0	28	0	0	0	0	0	0	151	1	13	0	0	0	0	0	1	0	0	6	0	0	1	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	40	"AWI"	40	309	1036	715	1	9	0	49	0	55	0	1	0	9	0	0	0	0	0	0	142	0	7	1	0	0	2	0	1	0	0	3	0	0	1	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	50	"AWI"	50	650	1158	903	1	9	0	32	0	99	0	0	0	24	2	0	0	0	0	0	141	0	15	0	0	0	2	0	0	0	0	3	0	0	1	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	60	"AWI"	60	849	1361	1097	0	1	0	44	0	73	0	0	0	16	0	0	0	0	0	0	138	0	8	0	0	0	0	0	0	0	2	3	0	0	1	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	70	"AWI"	70	936	1783	1272	3	12	0	47	0	61	0	0	0	34	0	0	0	0	0	0	144	0	15	1	0	0	0	0	0	0	2	5	0	0	1	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	80	"AWI"	80	1106	2000	1467	1	10	0	31	4	80	0	0	0	7	0	0	0	0	1	0	90	0	7	1	1	0	1	0	1	0	1	3	0	0	2	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	90	"AWI"	90	1342	2315	1781	2	7	1	28	0	69	1	0	1	9	0	0	0	0	0	0	132	3	6	1	0	1	1	0	3	0	5	5	0	0	2	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	100	"AWI"	100	1612	2781	2174	4	7	0	50	2	67	0	0	2	11	0	0	0	0	0	0	134	0	19	0	0	0	3	0	0	0	1	14	0	0	1	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	110	"AWI"	110	2096	3013	2613	1	4	1	40	2	52	2	0	2	20	0	0	0	0	0	0	150	0	10	0	0	0	1	0	0	0	2	2	0	0	2	0	2
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	120	"AWI"	120	2384	3238	2884	1	5	0	45	6	57	0	0	1	20	0	0	0	0	0	0	138	0	12	1	0	0	0	0	1	0	1	5	0	0	0	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	130	"AWI"	130	2519	3482	3076	1	1	2	32	0	58	2	0	0	18	0	0	0	0	0	0	159	0	6	0	0	0	2	0	0	0	1	1	0	0	0	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	140	"AWI"	140	2652	3639	3241	0	3	1	43	0	88	0	0	0	33	0	0	1	2	0	0	107	0	7	0	0	0	6	0	0	0	1	1	0	0	3	0	0
1511	1549	"Kotyrkol' Peat Bog"	52.96222	70.38044	150	"AWI"	150	2775	3712	3351	1	6	0	31	0	73	4	0	0	30	0	0	0	0	0	0	106	0	12	1	0	0	1	0	0	0	0	3	1	0	0	0	0
