"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Grossulariaceae"	"Larix"	"Montiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"
1528	1566	"Kyurbe-Yuryakh-2"	68.59861	138.61667	60	"AWI"	60	2352	2989	2717	156	5	2	0	113	1	0	0	22	20	0	3	0	0	1	14	13	3	2	6	0
1528	1566	"Kyurbe-Yuryakh-2"	68.59861	138.61667	223	"AWI"	223	4338	5122	4673	91	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
1528	1566	"Kyurbe-Yuryakh-2"	68.59861	138.61667	425	"AWI"	425	7226	8120	7722	197	7	9	0	63	0	4	2	17	20	1	3	1	3	1	4	21	0	0	3	3
1528	1566	"Kyurbe-Yuryakh-2"	68.59861	138.61667	575	"AWI"	575	8975	9722	9351	0	9	4	0	182	0	0	2	30	14	0	9	0	1	0	5	40	0	0	5	2
