"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Montiaceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"
1513	1551	"Kresta Gulf Exposure"	66	-179	0	"AWI"	0	2316	3333	2852	10.4389086595492	0	1.89798339264531	4.03321470937129	10.4389086595492	0.118623962040332	6.04982206405694	14.7093712930012	13.9976275207592	1.30486358244365	0.118623962040332	13.7603795966785	10.0830367734282	0.118623962040332	2.60972716488731	2.72835112692764	1.30486358244365	5.69395017793594	0.593119810201661
1513	1551	"Kresta Gulf Exposure"	66	-179	5	"AWI"	5	2435	3456	2980	7.8494623655914	0	2.90322580645161	1.50537634408602	10.2150537634409	0.10752688172043	0.10752688172043	36.4516129032258	19.6774193548387	0.10752688172043	0	6.02150537634409	4.3010752688172	0.752688172043011	0.860215053763441	0.10752688172043	2.90322580645161	6.02150537634409	0.10752688172043
1513	1551	"Kresta Gulf Exposure"	66	-179	30	"AWI"	30	3169	3993	3601	9.89988876529477	0	4.56062291434928	2.00222469410456	13.0144605116796	0.111234705228031	0.667408231368187	23.9154616240267	16.7964404894327	0.111234705228031	0	8.45383759733037	5.89543937708565	2.55839822024472	1.33481646273637	1.22358175750834	4.56062291434928	4.22691879866518	0.667408231368187
1513	1551	"Kresta Gulf Exposure"	66	-179	50	"AWI"	50	3779	4410	4088	9.33660933660934	0	3.68550368550369	2.45700245700246	20.1474201474201	0.122850122850123	0.614250614250614	10.3194103194103	24.6928746928747	0.614250614250614	0	5.40540540540541	10.3194103194103	1.22850122850123	0.737100737100737	0.614250614250614	5.28255528255528	4.42260442260442	0
1513	1551	"Kresta Gulf Exposure"	66	-179	100	"AWI"	100	4903	5795	5335	13.3597883597884	0	2.11640211640212	1.05820105820106	25.2645502645503	0	0.529100529100529	6.34920634920635	26.4550264550265	1.58730158730159	0.529100529100529	5.15873015873016	3.43915343915344	0	0	0.529100529100529	8.73015873015873	3.83597883597884	1.05820105820106
1513	1551	"Kresta Gulf Exposure"	66	-179	160	"AWI"	160	6333	7339	6833	11.8544600938967	0.117370892018779	0.938967136150235	0.821596244131455	36.0328638497653	0.938967136150235	0	4.46009389671362	24.0610328638498	0.938967136150235	0.469483568075117	5.04694835680751	5.28169014084507	0	0	0.469483568075117	4.69483568075117	3.4037558685446	0.469483568075117
1513	1551	"Kresta Gulf Exposure"	66	-179	190	"AWI"	190	7078	8077	7588	15.7205240174673	0	2.40174672489083	2.40174672489083	30.4585152838428	0.109170305676856	0.436681222707424	3.93013100436681	24.6724890829694	0.436681222707424	0.109170305676856	4.14847161572052	2.51091703056769	0.109170305676856	0.545851528384279	1.41921397379913	6.65938864628821	2.07423580786026	1.85589519650655
1513	1551	"Kresta Gulf Exposure"	66	-179	220	"AWI"	220	7866	8774	8341	11.4255765199161	0.10482180293501	2.51572327044025	0.628930817610063	20.335429769392	0.628930817610063	1.25786163522013	5.45073375262055	37.7358490566038	0.10482180293501	0	1.36268343815514	7.23270440251572	0.628930817610063	2.62054507337526	0.628930817610063	4.19287211740042	2.51572327044025	0.628930817610063
1513	1551	"Kresta Gulf Exposure"	66	-179	250	"AWI"	250	8678	9430	9094	6.53061224489796	0	1.22448979591837	1.22448979591837	25.7142857142857	0.102040816326531	1.22448979591837	1.22448979591837	46.1224489795918	0.102040816326531	0	0.408163265306122	1.22448979591837	1.22448979591837	1.3265306122449	0.102040816326531	2.3469387755102	8.16326530612245	1.73469387755102
1513	1551	"Kresta Gulf Exposure"	66	-179	290	"AWI"	290	9538	10630	10083	14.4628099173554	0	2.37603305785124	0.619834710743802	24.1735537190083	0.619834710743802	1.13636363636364	2.37603305785124	41.4256198347107	0.103305785123967	0.103305785123967	0	1.75619834710744	0.103305785123967	0	0	8.47107438016529	1.65289256198347	0.619834710743802
