"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
303	309	"Brandreth Bog"	43.91667	-74.68333	10	"AWI"	10	-72	482	112	8	0	4	0	0	0	36	0	1	0	0	5	4	2	8	0	0	10	0	0	0	0	3	0	0	1	74	0	0	1	0	4	0	0	0	1	0	0	0	0	0	8	0	0
303	309	"Brandreth Bog"	43.91667	-74.68333	20	"AWI"	20	-44	1021	286	4	4	0	1	0	0	65	0	0	0	0	3	6	9	19	0	0	26	0	0	0	0	5	0	0	0	52	0	0	1	0	4	0	0	0	0	1	0	0	0	0	22	0	0
303	309	"Brandreth Bog"	43.91667	-74.68333	30	"AWI"	30	-24	1571	458	3	0	6	0	0	0	57	0	0	0	0	0	2	5	18	0	0	0	0	0	0	0	3	0	0	9	34	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	40	"AWI"	40	115	1883	665	16	19	2	0	1	0	157	1	1	0	1	4	23	30	47	3	0	2	0	0	0	0	13	5	0	8	139	0	0	1	0	11	0	0	0	0	1	0	0	0	1	56	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	50	"AWI"	50	232	2053	917	7	10	2	0	0	0	122	0	1	0	0	1	0	17	33	0	0	1	0	0	0	0	1	1	0	9	12	0	1	0	0	6	0	0	0	0	1	0	0	0	0	90	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	60	"AWI"	60	313	2259	1144	3	0	1	0	0	0	57	0	1	0	0	0	2	10	25	0	0	12	0	0	0	0	2	1	0	6	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	41	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	70	"AWI"	70	419	2561	1360	8	6	3	0	0	2	49	0	1	0	0	0	2	2	37	0	0	4	0	0	0	0	7	3	0	2	67	28	1	0	0	12	0	0	0	0	0	0	0	0	0	74	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	80	"AWI"	80	630	2635	1594	2	0	3	0	0	0	48	0	0	2	0	0	10	15	23	0	0	13	0	0	0	0	3	2	0	8	16	11	0	0	0	9	0	0	0	1	1	0	0	0	0	30	5	0
303	309	"Brandreth Bog"	43.91667	-74.68333	100	"AWI"	100	852	2920	2056	3	0	0	0	0	0	45	0	3	0	2	0	4	2	26	2	0	13	0	0	0	0	4	3	0	2	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	57	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	120	"AWI"	120	1584	3065	2441	5	0	1	0	0	0	71	0	1	0	0	0	43	9	36	0	0	20	0	0	0	0	4	2	0	2	6	59	3	0	0	11	0	0	2	1	4	0	0	0	2	94	9	0
303	309	"Brandreth Bog"	43.91667	-74.68333	140	"AWI"	140	2046	3257	2840	3	0	5	0	1	0	37	0	0	0	0	1	12	1	20	3	0	9	0	0	0	0	2	6	0	2	4	34	0	1	0	4	0	0	0	0	1	0	0	0	1	35	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	160	"AWI"	160	2750	3334	3102	3	9	4	0	0	0	48	0	1	0	0	2	5	0	27	0	0	8	0	0	0	0	1	2	0	1	2	50	0	2	0	5	0	0	0	1	0	0	0	1	0	22	1	0
303	309	"Brandreth Bog"	43.91667	-74.68333	180	"AWI"	180	2990	3486	3285	1	9	2	0	0	0	49	0	0	0	0	0	1	0	23	5	0	12	0	0	0	0	3	2	0	3	1	36	0	2	0	8	0	0	0	0	0	0	0	0	0	32	2	0
303	309	"Brandreth Bog"	43.91667	-74.68333	200	"AWI"	200	3080	3579	3356	2	0	8	0	0	0	65	0	1	0	0	0	10	2	18	0	0	21	0	0	0	0	0	0	0	5	3	64	0	1	0	12	0	0	0	0	2	0	0	0	0	32	0	0
303	309	"Brandreth Bog"	43.91667	-74.68333	220	"AWI"	220	3225	3651	3425	1	0	4	0	0	0	45	0	0	0	0	7	7	0	10	0	0	11	0	0	0	0	11	1	0	9	2	39	0	1	0	16	0	0	0	0	1	0	0	0	0	12	4	0
303	309	"Brandreth Bog"	43.91667	-74.68333	240	"AWI"	240	3346	3750	3503	9	0	0	0	0	0	62	0	0	0	0	0	4	0	22	0	0	11	0	0	0	0	6	2	0	2	2	36	1	1	0	7	0	0	0	0	0	0	0	0	1	17	4	0
