"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Lamiaceae"	"Liliaceae"	"Orobanchaceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1126	1161	"Jack London Lake"	70.89417	179.62361	1	"AWI"	1	-30	704	307	23	0	1	0	40	27	32	0	2	0	17	1	0	0	1	0	6	0	567	4	0	1	16	0	0	0	12	0	4	3
1126	1161	"Jack London Lake"	70.89417	179.62361	3	"AWI"	3	403	1891	1080	30	1	0	0	23	0	25	0	0	8	60	1	0	0	0	0	0	0	641	0	0	2	28	0	0	0	32	3	0	0
1126	1161	"Jack London Lake"	70.89417	179.62361	5	"AWI"	5	1585	2220	1905	6	1	0	1	27	37	52	0	1	6	12	9	0	0	2	0	3	0	541	2	0	2	20	0	0	0	22	3	3	6
1126	1161	"Jack London Lake"	70.89417	179.62361	8	"AWI"	8	2083	3139	2491	12	1	0	0	28	0	36	40	1	2	47	3	0	0	3	0	3	0	647	0	0	1	24	0	1	0	23	3	5	2
1126	1161	"Jack London Lake"	70.89417	179.62361	11	"AWI"	11	2478	3672	3105	3	0	0	0	3	20	38	0	1	6	24	5	0	0	6	0	2	0	512	3	0	0	7	0	0	0	13	2	3	1
1126	1161	"Jack London Lake"	70.89417	179.62361	14	"AWI"	14	3251	4061	3656	11	0	0	0	4	0	24	39	1	4	80	5	0	0	3	0	2	0	706	1	0	2	37	0	0	0	32	1	4	5
1126	1161	"Jack London Lake"	70.89417	179.62361	17	"AWI"	17	3984	5219	4472	21	0	0	0	9	38	45	0	1	1	6	8	1	0	11	0	0	0	707	1	0	0	10	0	0	0	11	2	5	0
1126	1161	"Jack London Lake"	70.89417	179.62361	20	"AWI"	20	4598	6481	5668	16	1	0	0	9	0	26	14	0	5	57	6	0	1	4	0	1	0	642	1	0	1	11	0	0	0	27	5	4	0
1126	1161	"Jack London Lake"	70.89417	179.62361	23	"AWI"	23	6072	6816	6550	15	0	0	0	12	0	29	0	0	3	22	10	0	1	5	0	2	0	794	0	0	1	17	0	0	0	3	3	6	0
1126	1161	"Jack London Lake"	70.89417	179.62361	26	"AWI"	26	6670	7156	6908	8	0	0	0	23	0	31	30	3	3	71	2	0	1	4	0	2	1	599	1	0	3	19	0	0	0	21	3	7	1
1126	1161	"Jack London Lake"	70.89417	179.62361	29	"AWI"	29	6862	7383	7115	16	1	0	0	19	27	42	0	0	6	20	4	0	0	5	0	0	0	709	2	0	1	18	0	0	0	14	6	5	2
1126	1161	"Jack London Lake"	70.89417	179.62361	32	"AWI"	32	7222	8079	7536	8	1	0	1	12	29	29	0	1	1	77	4	1	0	4	0	1	0	712	1	0	3	14	0	0	0	39	5	4	2
1126	1161	"Jack London Lake"	70.89417	179.62361	35	"AWI"	35	9835	10521	10239	10	0	0	0	24	20	25	0	0	13	30	7	0	0	5	0	1	0	744	0	0	3	14	0	0	1	19	1	6	4
1126	1161	"Jack London Lake"	70.89417	179.62361	38	"AWI"	38	10417	11934	10922	25	1	0	0	11	19	24	32	2	14	133	16	0	0	3	0	1	0	573	2	0	3	21	0	0	0	34	6	7	4
1126	1161	"Jack London Lake"	70.89417	179.62361	41	"AWI"	41	10742	12867	11543	8	0	0	0	16	10	17	48	1	13	81	7	1	0	7	0	1	0	594	1	0	1	20	0	0	0	28	4	6	1
1126	1161	"Jack London Lake"	70.89417	179.62361	44	"AWI"	44	11137	13689	12189	6	1	0	0	3	3	3	0	0	14	303	3	0	0	2	0	0	0	466	0	0	2	28	0	0	0	67	3	8	6
1126	1161	"Jack London Lake"	70.89417	179.62361	47	"AWI"	47	11574	14480	12832	1	1	0	0	6	13	4	32	1	7	288	1	0	1	6	0	0	0	308	0	0	0	7	0	0	0	39	2	3	2
1126	1161	"Jack London Lake"	70.89417	179.62361	50	"AWI"	50	12095	15117	13498	4	0	0	0	0	2	1	0	1	1	380	1	0	0	5	0	0	0	180	0	0	1	15	0	0	0	41	3	2	1
1126	1161	"Jack London Lake"	70.89417	179.62361	53	"AWI"	53	12750	15777	14133	1	0	0	1	10	9	2	32	0	13	507	1	0	2	4	0	0	0	178	0	0	3	30	0	0	0	65	5	10	0
1126	1161	"Jack London Lake"	70.89417	179.62361	57	"AWI"	57	13659	16583	15004	11	1	0	0	5	2	3	0	1	10	323	5	0	0	4	0	0	0	132	1	0	5	10	0	0	0	51	6	6	4
