"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	0	"AWI"	0	-114	57	-31	0.508905852417303	8.3969465648855	0	0	0.254452926208651	0	8.14249363867684	0	0	0	0	1.52671755725191	0	0.508905852417303	0.508905852417303	0.763358778625954	0	0.254452926208651	0	0.763358778625954	0	0	76.3358778625954	0	0.254452926208651	0	0	0	0	0	1.78117048346056	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	10	"AWI"	10	46	789	319	0.796812749003984	8.76494023904383	0	0	0.398406374501992	0	6.97211155378486	0	0	0	0	0.99601593625498	0	0	0.199203187250996	0	0	0	0	0.796812749003984	0	22.9083665338645	55.7768924302789	0	0.796812749003984	0	0	0	0	0	1.59362549800797	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	20	"AWI"	20	259	1218	686	0.376647834274953	7.72128060263653	0.376647834274953	0.188323917137476	0.376647834274953	0	6.4030131826742	0	0	0	0	1.12994350282486	0	0.941619585687382	0.188323917137476	0	0	0	0	0.376647834274953	0	22.5988700564972	55.3672316384181	0	0.564971751412429	0	0	0	0	0	3.2015065913371	0	0.188323917137476	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	30	"AWI"	30	558	1559	1071	0.566037735849057	8.30188679245283	0.188679245283019	0	0	0	7.16981132075472	0	0	0	0	0.943396226415094	0	0.377358490566038	0	0.188679245283019	0	0	0	0.188679245283019	0	25.6603773584906	54.7169811320755	0	0.754716981132076	0	0	0	0	0	0.943396226415094	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	40	"AWI"	40	951	1818	1451	0	9.9009900990099	0	0.247524752475248	1.48514851485149	0	6.18811881188119	0	0	0	0	1.23762376237624	0	0.247524752475248	0	0.247524752475248	0	0	0	1.73267326732673	0	0	74.2574257425743	0	1.98019801980198	0	0	0	0	0	2.47524752475248	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	50	"AWI"	50	1540	2067	1807	0	9.44309927360775	0	0.242130750605327	0.242130750605327	0	7.26392251815981	0	0	0	0	0.968523002421308	0	0	0	0.484261501210654	0	0	0	0.484261501210654	0	0	77.4818401937046	0	0.968523002421308	0	0	0	0	0	2.17917675544794	0	0.242130750605327	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	60	"AWI"	60	1899	2810	2222	0	11.1545988258317	0	0.195694716242661	0.978473581213307	0	4.89236790606654	0	0	0	0	0.978473581213307	0	0.391389432485323	0	0.391389432485323	0	0.195694716242661	0.195694716242661	0.782778864970646	0	27.3972602739726	50.293542074364	0	0.195694716242661	0	0	0	0	0	1.95694716242661	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	70	"AWI"	70	2211	3376	2721	0	12.3737373737374	0	0.505050505050505	0	0	4.29292929292929	0	0	0	0	0.252525252525253	0	0	0.252525252525253	0	0	0	0	0.505050505050505	0	0	79.040404040404	0	0.252525252525253	0	0	0	0	0	2.02020202020202	0	0	0.505050505050505
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	80	"AWI"	80	2581	3864	3221	0	7.36434108527132	0	0.581395348837209	0.193798449612403	0	3.87596899224806	0	0	0	0	0.968992248062015	0	0.193798449612403	0	0.387596899224806	0	0.193798449612403	0	0.581395348837209	0	29.4573643410853	52.3255813953488	0	0.968992248062015	0	0	0	0	0	2.90697674418605	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	90	"AWI"	90	3072	4260	3740	0	10.2439024390244	0	0	0.24390243902439	0	7.31707317073171	0	0	0	0	0.24390243902439	0	0.24390243902439	0.24390243902439	0.24390243902439	0	0	0	0.48780487804878	0	0	78.780487804878	0	0.731707317073171	0	0	0	0	0	1.21951219512195	0	0	0
