"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"
323	330	"Cala Conto"	-17.56667	-65.93333	250	"AWI"	250	9309	16684	12307	1	40	0	0	2	0	0	0	0	2	3	0	0	2	13	0
323	330	"Cala Conto"	-17.56667	-65.93333	500	"AWI"	500	9749	16998	12710	5	42	1	40	4	3	0	0	0	7	2	1	0	8	3	0
323	330	"Cala Conto"	-17.56667	-65.93333	1000	"AWI"	1000	10387	18011	13528	1	60	0	0	0	1	0	3	0	4	2	1	0	4	6	1
323	330	"Cala Conto"	-17.56667	-65.93333	1100	"AWI"	1100	10469	18171	13682	0	44	0	0	1	0	0	0	0	3	0	1	0	6	23	0
323	330	"Cala Conto"	-17.56667	-65.93333	1500	"AWI"	1500	10812	19312	14300	3	31	1	0	2	0	0	0	0	2	0	1	1	4	13	0
323	330	"Cala Conto"	-17.56667	-65.93333	2000	"AWI"	2000	11428	20419	15133	3	48	0	0	2	1	3	2	0	12	13	0	0	3	7	0
323	330	"Cala Conto"	-17.56667	-65.93333	2500	"AWI"	2500	12093	21119	16094	2	31	0	0	1	0	0	0	0	6	0	3	0	1	6	0
323	330	"Cala Conto"	-17.56667	-65.93333	3700	"AWI"	3700	13559	23312	18311	1	39	1	0	3	0	1	1	0	5	0	0	0	5	14	0
323	330	"Cala Conto"	-17.56667	-65.93333	5000	"AWI"	5000	15441	24926	20918	1	7	0	0	1	0	0	2	0	2	0	1	0	2	13	0
323	330	"Cala Conto"	-17.56667	-65.93333	5100	"AWI"	5100	15538	25152	21124	3	19	2	0	0	0	0	0	0	3	1	0	0	2	19	0
323	330	"Cala Conto"	-17.56667	-65.93333	5200	"AWI"	5200	15632	25399	21323	2	38	0	0	1	0	0	0	1	1	2	0	0	1	14	0
323	330	"Cala Conto"	-17.56667	-65.93333	6000	"AWI"	6000	17865	25888	22710	3	17	0	0	0	0	0	4	0	6	0	1	1	10	11	0
323	330	"Cala Conto"	-17.56667	-65.93333	7700	"AWI"	7700	22898	27254	25670	1	13	2	0	0	0	0	0	0	1	0	5	1	15	25	0
323	330	"Cala Conto"	-17.56667	-65.93333	8000	"AWI"	8000	24288	27444	26136	5	23	2	0	1	0	0	3	0	15	0	2	0	10	9	0
323	330	"Cala Conto"	-17.56667	-65.93333	8400	"AWI"	8400	25801	27814	26801	0	8	0	0	1	0	0	0	0	0	3	3	1	7	23	0
323	330	"Cala Conto"	-17.56667	-65.93333	10000	"AWI"	10000	27024	31829	28968	4	29	0	0	3	0	0	2	0	3	4	0	0	10	9	0
323	330	"Cala Conto"	-17.56667	-65.93333	10800	"AWI"	10800	27763	33412	30028	8	31	1	0	0	0	1	0	0	2	2	10	0	30	8	1
323	330	"Cala Conto"	-17.56667	-65.93333	11900	"AWI"	11900	28569	34702	31737	5	19	1	0	0	0	1	0	0	8	0	2	3	18	5	2
323	330	"Cala Conto"	-17.56667	-65.93333	12000	"AWI"	12000	28611	34938	31879	3	57	1	0	1	0	2	5	0	3	0	0	0	7	4	0
323	330	"Cala Conto"	-17.56667	-65.93333	13550	"AWI"	13550	30935	36215	34142	12	23	1	0	0	1	0	0	0	13	0	10	3	26	5	2
323	330	"Cala Conto"	-17.56667	-65.93333	13950	"AWI"	13950	31314	36698	34643	3	14	1	0	1	0	0	5	0	8	1	2	0	32	9	2
323	330	"Cala Conto"	-17.56667	-65.93333	15700	"AWI"	15700	32675	38017	35885	10	10	0	0	0	0	0	0	1	0	0	3	1	15	3	4
323	330	"Cala Conto"	-17.56667	-65.93333	16000	"AWI"	16000	32969	38165	36062	3	37	0	0	1	0	0	2	0	6	1	0	0	7	6	0
323	330	"Cala Conto"	-17.56667	-65.93333	18200	"AWI"	18200	34355	39338	37339	4	36	0	20	1	0	0	0	0	5	1	4	0	5	12	1
323	330	"Cala Conto"	-17.56667	-65.93333	19200	"AWI"	19200	35029	39934	37949	38	16	1	0	1	0	1	0	0	0	0	0	1	16	13	4
323	330	"Cala Conto"	-17.56667	-65.93333	19950	"AWI"	19950	35686	40162	38373	3	9	0	0	1	0	0	0	0	7	6	3	1	15	26	1
323	330	"Cala Conto"	-17.56667	-65.93333	21900	"AWI"	21900	37294	40897	39530	10	24	1	0	2	0	2	0	0	1	3	3	0	16	29	5
323	330	"Cala Conto"	-17.56667	-65.93333	22000	"AWI"	22000	37399	40927	39592	11	18	1	0	0	0	1	4	0	1	2	0	0	25	23	2
323	330	"Cala Conto"	-17.56667	-65.93333	24000	"AWI"	24000	39556	41588	40669	0	12	0	0	0	0	0	1	1	2	0	1	0	18	22	1
323	330	"Cala Conto"	-17.56667	-65.93333	24800	"AWI"	24800	40343	42423	41357	2	29	0	0	1	0	0	0	0	5	1	0	0	9	32	0
323	330	"Cala Conto"	-17.56667	-65.93333	26000	"AWI"	26000	40765	46083	42391	4	19	1	0	0	0	0	0	0	0	4	0	0	16	16	0
