"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Isoëtes"	"Juniperus"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Salix"	"Taxus"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
658	675	"Delorme 1"	54.41889	-69.91889	180	"AWI"	180	5827	6527	6180	0	0	399	1	1	0	167	0	0	3	5	0	0	1	0	1	2	0	0	26	4	0	0	0	0	1	1	0	0	5	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	190	"AWI"	190	6116	6994	6524	0	0	320	1	6	3	143	0	0	5	3	0	0	1	0	1	4	0	1	71	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	10	"AWI"	10	74	541	282	1	0	123	0	6	0	117	0	0	14	5	0	0	34	0	3	7	1	0	172	18	0	4	1	0	3	0	0	1	1	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	20	"AWI"	20	371	938	645	1	0	125	1	3	0	102	0	0	6	10	0	0	31	0	5	3	0	0	157	48	1	3	0	0	1	0	0	0	2	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	30	"AWI"	30	666	1395	1005	2	0	124	0	0	0	106	0	0	3	9	2	0	20	0	1	4	0	0	125	45	0	1	0	0	1	0	0	0	3	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	40	"AWI"	40	985	1809	1373	0	0	128	0	1	0	102	1	4	7	7	0	0	20	0	5	5	0	0	141	32	0	1	0	0	5	0	1	0	4	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	50	"AWI"	50	1322	2167	1747	1	0	123	0	1	0	76	0	0	7	7	0	0	32	0	7	15	0	0	172	25	0	6	0	0	3	0	0	1	2	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	60	"AWI"	60	1681	2520	2125	1	0	192	0	2	0	92	0	0	7	4	0	3	48	0	1	12	0	0	184	20	0	0	0	0	1	0	0	1	4	1	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	70	"AWI"	70	2072	2842	2498	1	0	187	0	1	0	58	0	0	6	6	0	2	14	0	2	20	0	0	140	18	0	4	0	0	0	0	0	1	3	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	80	"AWI"	80	2456	3181	2861	1	0	164	0	0	2	67	0	1	7	9	0	0	29	0	1	5	0	0	88	14	0	6	0	0	0	0	0	0	4	0	0	1	0	0
658	675	"Delorme 1"	54.41889	-69.91889	90	"AWI"	90	2749	3557	3172	1	0	226	0	1	0	71	0	0	4	4	0	0	7	0	0	11	0	0	74	5	0	8	0	0	0	0	0	0	2	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	100	"AWI"	100	3064	3901	3494	3	0	320	0	1	0	123	0	0	10	10	1	0	22	0	2	13	0	0	165	11	0	8	0	0	2	0	0	0	6	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	110	"AWI"	110	3408	4237	3818	3	0	141	0	0	0	71	0	0	6	1	0	0	11	0	2	14	0	0	132	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	120	"AWI"	120	3729	4547	4133	7	0	242	0	3	0	156	0	0	6	16	1	0	16	0	4	8	0	0	173	22	0	3	0	0	1	0	0	0	4	0	1	0	1	0
658	675	"Delorme 1"	54.41889	-69.91889	130	"AWI"	130	4075	4859	4454	5	0	317	1	0	4	216	1	0	8	18	0	0	17	0	2	11	1	0	115	8	0	21	0	0	0	0	0	0	9	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	140	"AWI"	140	4400	5213	4804	1	0	318	0	0	2	169	0	0	5	9	2	0	24	0	5	24	0	0	119	0	0	10	0	0	3	0	0	0	5	0	1	0	0	1
658	675	"Delorme 1"	54.41889	-69.91889	150	"AWI"	150	4736	5548	5149	1	0	312	1	3	2	210	0	0	15	2	1	0	26	0	2	10	0	0	143	9	0	6	0	0	1	0	0	2	7	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	160	"AWI"	160	5083	5875	5494	0	0	260	1	2	4	200	0	0	13	1	0	0	3	0	3	10	0	0	91	0	0	6	0	0	0	0	0	0	14	0	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	170	"AWI"	170	5464	6178	5842	0	0	260	1	1	0	315	0	0	9	3	0	0	1	0	3	3	0	0	59	4	0	4	0	0	0	0	0	0	8	1	0	0	0	0
658	675	"Delorme 1"	54.41889	-69.91889	175	"AWI"	175	5666	6319	6011	0	0	273	0	0	0	187	0	0	7	3	0	0	0	0	3	0	0	0	13	0	0	3	0	0	1	1	0	0	2	0	0	0	1	0
