"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Allophylus"	"Alnus"	"Alstroemeriaceae"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Araucaria"	"Arecaceae"	"Asteraceae"	"Banara"	"Begoniaceae"	"Calliandra"	"Caprifoliaceae"	"Caryophyllaceae"	"Cecropia"	"Cedrela"	"Celtis"	"Chrysophyllum"	"Clethra"	"Clusia"	"Convolvulaceae"	"Cupressaceae"	"Cyathea cf. C. delgadoi"	"Cyperaceae"	"Daphnopsis"	"Didymopanax"	"Drimys"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fuchsia"	"Gordonia"	"Griselinia"	"Hedyosmum"	"Hieronyma"	"Ilex"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Lamanonia"	"Lamiaceae"	"Lithraea"	"Loranthaceae"	"Luehea"	"Lythraceae"	"Malvaceae"	"Melastomataceae"	"Meliosma"	"Myrsine"	"Myrtaceae"	"Nothofagus"	"Nyctaginaceae"	"Ocotea"	"Oreopanax"	"Ouratea"	"Oxalidaceae"	"Peraceae"	"Phyllanthaceae"	"Pinus"	"Piper"	"Piptadenia"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygalaceae"	"Proteaceae"	"Prunus"	"Psychotria"	"Ranunculaceae"	"Rhamnus"	"Roupala"	"Rubiaceae"	"Sapindaceae"	"Solanaceae"	"Styrax"	"Symplocos"	"Tapirira"	"Trema"	"Trichilia"	"Urticaceae"	"Verbenaceae"	"Weinmannia"	"Xyridaceae"	"Zanthoxylum"
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	0	"AWI"	0	-137	23	-49	5	1	0	0	0	0	0	18	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	140	0	0	4	0	0	0	0	0	0	2	0	0	9	9	0	0	0	0	0	0	0	0	0	23	0	19	13	0	0	1	0	0	0	0	0	1	1	0	0	139	14	0	0	0	0	0	1	1	0	0	2	0	4	0	4	0	9	1	1	1	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	5	"AWI"	5	-62	210	61	5	1	0	0	0	0	0	13	11	0	0	0	0	0	0	3	0	1	0	0	0	0	0	4	62	0	1	12	0	0	0	0	0	1	2	0	0	19	16	0	0	1	0	0	2	0	0	0	29	0	29	25	0	0	0	0	0	0	0	0	0	1	0	0	143	13	0	1	0	0	1	1	0	0	0	2	0	9	0	1	0	12	0	35	0	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	10	"AWI"	10	-20	434	168	10	0	0	0	0	0	0	17	16	0	0	1	0	0	0	1	0	0	0	3	0	0	0	4	32	0	0	8	1	0	0	0	0	1	4	0	0	17	30	0	1	1	0	0	0	0	0	0	22	0	31	34	0	0	0	0	0	0	0	0	0	5	0	0	120	8	0	1	0	0	0	0	0	0	0	0	0	11	0	2	0	12	1	54	0	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	15	"AWI"	15	81	498	303	6	0	0	1	0	0	0	9	11	0	0	0	0	0	0	0	0	5	0	1	0	0	0	3	32	0	0	13	0	0	0	0	0	3	1	0	0	23	16	0	1	1	0	0	0	0	0	0	39	0	30	23	0	0	0	0	0	0	0	0	0	0	0	0	136	11	0	1	2	0	0	0	0	0	0	3	1	13	1	2	0	3	0	63	0	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	20	"AWI"	20	248	604	445	18	0	0	0	0	0	0	18	13	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	29	0	0	5	0	0	0	0	0	1	2	1	0	14	24	0	2	3	0	0	0	0	0	0	22	2	38	26	0	0	0	0	0	0	0	0	0	2	0	0	134	10	0	0	0	0	0	1	0	0	0	0	1	9	0	1	0	13	0	86	1	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	25	"AWI"	25	522	837	649	6	2	0	0	0	0	0	6	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	8	0	0	0	0	0	4	1	0	0	15	23	0	1	1	0	0	0	0	0	0	26	0	47	19	0	0	2	0	1	0	0	0	0	0	0	0	134	13	0	0	3	0	0	1	0	0	0	2	0	14	0	2	0	6	1	87	0	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	27.5	"AWI"	27.5	548	1083	746	14	0	0	0	0	0	0	5	19	0	0	1	0	0	0	0	0	0	0	4	0	0	0	3	18	0	0	6	0	0	0	0	0	2	2	2	0	24	26	0	1	1	2	0	0	0	0	0	23	0	26	23	0	0	0	0	1	0	0	0	0	0	0	0	130	7	0	0	4	0	0	0	0	0	0	1	0	12	0	0	0	4	0	96	1	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	30	"AWI"	30	674	1341	968	10	0	1	0	0	0	0	9	11	0	0	1	0	0	0	2	0	2	0	1	0	0	0	3	31	0	0	6	0	0	0	0	0	0	2	1	1	24	35	0	1	1	2	0	0	0	0	0	17	2	32	24	0	0	0	0	0	0	0	0	0	6	0	0	118	6	0	0	0	0	0	0	0	0	0	0	0	12	3	1	0	24	0	72	1	1
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	32.5	"AWI"	32.5	766	1680	1237.5	7	1	0	0	0	0	0	7	8	0	0	0	0	0	0	2	0	1	0	2	0	0	0	3	16	0	0	7	0	0	0	0	0	3	2	0	0	28	21	0	2	1	2	0	0	0	0	0	30	0	26	22	1	0	0	0	0	0	0	0	0	3	0	0	148	11	0	0	3	0	0	0	0	0	0	1	1	15	0	0	1	8	0	100	0	0
1120	1154	"Morro de Itapeva"	-22.78333	-45.53333	35	"AWI"	35	843	2091	1492	4	0	0	0	0	0	0	3	15	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1	18	0	0	12	0	0	0	0	0	2	2	0	0	12	26	0	1	2	0	0	0	0	0	0	30	0	32	20	0	0	0	0	0	0	0	0	0	1	0	0	129	7	0	0	0	0	0	0	0	0	0	0	1	8	0	2	0	6	0	119	2	0
