"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acacia"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Banksia"	"Boraginaceae"	"Brassicaceae"	"Bursaria"	"Callitris"	"Campanulaceae"	"Caryophyllaceae"	"Casuarina"	"Casuarina (<25 µm)"	"Celastraceae"	"Codonocarpus"	"Connaraceae"	"Convolvulaceae"	"Cyperaceae"	"Dodonaea"	"Elaeocarpus"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Exocarpos"	"Fabaceae"	"Gentianaceae"	"Geraniaceae"	"Goodeniaceae"	"Hakea"	"Haloragaceae"	"Hypericaceae"	"Hypoxidaceae"	"Indeterminable"	"Kunzea"	"Lamiaceae"	"Leptospermum"	"Leucopogon"	"Liliaceae"	"Melaleuca"	"Myrtaceae"	"Onagraceae"	"Orobanchaceae"	"Phyllanthaceae"	"Pinus"	"Pittosporum"	"Plantaginaceae"	"Poaceae (<40 µm)"	"Poaceae (>40 µm)"	"Podocarpus"	"Polygalaceae"	"Polygonaceae"	"Polyscias"	"Pomaderris"	"Proteaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Scrophulariaceae"	"Solanaceae"	"Stylidiaceae"	"Thymelaeaceae"	"Urticaceae"	"Violaceae"	"Vitaceae"	"Winteraceae"
247	252	"Bega Swamp"	-36.51667	149.5	2.1	"AWI"	2.1	-119.4	17.6	-43.1	0	57	8	0	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0	132	1	0	2	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	0	7	0	0	64	0	0	0	0	0	4	0	1	0	0	6	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	2.65	"AWI"	2.65	-116.1	20.9	-38.15	2	67	5	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	2	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	34	1	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	3.21	"AWI"	3.21	-113.16	24.26	-33.11	0	94	2	0	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	105	2	0	1	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	5	3	0	0	0	1	1	0	40	0	0	0	0	0	3	0	5	0	0	4	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	3.8	"AWI"	3.8	-110.8	27.8	-27.8	1	104	4	0	0	0	25	0	2	0	0	2	0	2	17	0	0	0	1	0	98	2	0	1	0	0	0	0	0	3	0	0	0	0	0	9	0	1	2	0	0	0	0	1	0	0	9	0	0	61	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	4.24	"AWI"	4.24	-108.56	30.68	-23.6	1	102	1	0	0	0	0	0	1	0	0	1	0	0	14	0	0	0	0	0	64	1	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	2	0	0	0	0	3	0	0	39	3	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	4.77	"AWI"	4.77	-105.38	34.39	-18.3	3	185	3	0	0	0	23	0	0	0	0	0	0	0	17	0	0	0	2	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	3	0	0	45	0	0	0	0	0	4	0	1	0	0	8	0	0	0	0	0	0	0	0	1
247	252	"Bega Swamp"	-36.51667	149.5	5.3	"AWI"	5.3	-101.6	38.1	-13.3	0	137	3	0	0	0	0	0	0	0	1	2	0	0	15	0	0	0	2	0	77	1	0	7	0	0	0	0	0	0	0	1	0	0	0	9	0	0	1	0	0	0	0	0	0	0	3	0	0	51	0	0	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	5.87	"AWI"	5.87	-97.04	42.09	-8.17	1	224	2	0	0	0	26	0	0	0	1	0	0	0	5	0	0	0	0	0	89	5	0	4	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	1	2	0	0	0	0	2	0	0	66	1	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	1	0	0
247	252	"Bega Swamp"	-36.51667	149.5	6.43	"AWI"	6.43	-92.99	47.3	-3.13	1	150	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	79	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	3	0	0	0	8	0	0	46	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	6.99	"AWI"	6.99	-89.07	52.9	1.91	0	210	2	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	109	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	5	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	7.51	"AWI"	7.51	-86.96	58.61	6.08	2	150	7	0	0	0	35	0	0	1	1	0	0	0	16	0	0	0	0	0	94	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3	0	0	51	0	0	0	0	0	3	0	4	0	0	10	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	8.03	"AWI"	8.03	-84.85	64.33	10.24	1	105	2	0	0	0	13	0	0	0	0	1	0	0	13	0	0	0	0	0	49	2	0	1	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	0	0	4	0	0	0	0	3	0	0	35	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	8.55	"AWI"	8.55	-82.25	70.05	14.4	1	99	2	0	0	0	24	0	0	0	0	0	0	0	14	0	0	0	0	0	59	1	0	6	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	1	2	0	0	0	0	1	1	0	30	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0
247	252	"Bega Swamp"	-36.51667	149.5	9.04	"AWI"	9.04	-79.84	75.56	18.4	0	109	8	0	0	0	0	0	0	0	2	1	0	0	14	4	0	0	0	0	92	4	0	7	0	0	0	0	0	0	0	0	0	0	0	10	1	0	5	0	0	0	0	0	0	0	1	0	0	48	0	0	0	0	0	1	0	0	0	0	7	2	0	0	0	0	0	0	0	0
