"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Larix"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	10	"AWI"	10	-28	1203	314	0	0	0	0	0	0	0	0	10	2	0	0	154	975	0	0	0	0	0	30	10
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	20	"AWI"	20	155	1924	857	34	0	0	0	10	248	0	0	6	15	5	0	58	564	0	0	0	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	30	"AWI"	30	516	2353	1501	34	0	30	5	0	410	0	0	9	29	0	0	58	622	0	0	2	0	0	2	1
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	350	"AWI"	350	10275	11062	10526	0	0	35	0	0	280	10	0	246	20	0	5	364	50	0	50	0	5	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	360	"AWI"	360	10371	11315	10715	0	0	100	40	25	678	0	0	150	10	0	10	299	0	25	0	0	6	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	370	"AWI"	370	10479	11645	10903	0	0	40	42	0	636	0	0	80	0	0	15	126	0	0	10	5	4	0	0	3
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	380	"AWI"	380	10610	11888	11103	0	0	42	21	0	696	6	0	126	2	0	0	0	44	10	5	1	7	0	8	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	400	"AWI"	400	10878	12454	11495	0	0	63	30	20	730	4	0	189	0	0	0	7	0	0	1	2	0	0	3	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	50	"AWI"	50	2140	3103	2603	0	0	35	20	0	363	0	0	25	27	0	0	8	677	0	3	1	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	60	"AWI"	60	2503	4185	3269	0	0	0	0	0	512	0	0	15	12	7	0	7	809	10	0	5	0	0	1	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	70	"AWI"	70	3140	4525	3963	0	0	5	3	0	432	0	0	9	15	1	0	8	1140	0	0	0	0	0	0	3
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	100	"AWI"	100	4606	5408	5055	0	0	0	0	0	601	0	0	32	67	5	0	7	476	5	3	0	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	110	"AWI"	110	4996	5598	5346	0	0	0	0	0	605	0	0	0	0	0	0	8	470	0	0	0	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	130	"AWI"	130	5615	6325	5991	0	0	0	0	7	710	0	0	6	84	0	0	80	199	0	0	28	0	5	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	150	"AWI"	150	7530	7880	7721	86	0	5	10	0	864	0	2	3	98	0	0	63	356	0	0	0	0	0	3	1
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	160	"AWI"	160	7733	8118	7899	0	0	28	25	14	910	0	0	28	20	5	0	63	289	0	0	5	0	0	0	2
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	180	"AWI"	180	8046	8537	8272	50	0	0	0	0	580	0	0	24	36	0	3	0	174	0	0	0	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	210	"AWI"	210	8426	8929	8612	0	0	0	15	0	983	0	0	14	48	0	6	0	350	10	0	0	0	0	2	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	230	"AWI"	230	8604	9192	8896	3	0	0	0	0	1006	0	15	21	63	2	3	178	233	15	5	0	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	250	"AWI"	250	8870	9381	9179	3	0	0	0	141	1144	0	0	147	63	0	0	0	8	10	0	0	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	275	"AWI"	275	9435	9531	9496	0	0	0	0	0	1241	0	1	147	141	0	5	5	38	10	63	8	10	0	3	7
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	290	"AWI"	290	9556	9945	9689	0	0	15	0	0	762	0	0	84	0	0	0	50	35	0	0	10	0	0	0	0
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	300	"AWI"	300	9621	10146	9826	0	0	0	0	0	122	0	0	294	2	0	14	58	14	0	6	0	0	0	0	3
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	320	"AWI"	320	9830	10497	10105	11	0	10	35	0	91	0	0	110	0	0	0	63	14	210	0	0	0	0	8	7
1626	1680	"Lukaschin Yar Peat Exposure"	61	78.5	340	"AWI"	340	10121	10859	10370	0	0	25	10	25	49	7	0	170	6	0	3	60	10	0	3	2	0	0	8	5
