"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
967	998	"Gytgykai Lake"	63.16667	175	20	"AWI"	20	6066	7079	6734	100	0	0	0	3	0	40	0	0	0	0	10	18	0	0	0	0	0	0	0	0	0	130	0	8	0	0	0	0	0	0	0	0	4	0	0	2
967	998	"Gytgykai Lake"	63.16667	175	0	"AWI"	0	4863	6991	6432	130	0	0	0	1	0	20	0	0	0	0	4	2	0	0	0	0	0	0	8	0	0	185	0	6	0	0	0	0	0	0	0	0	4	0	0	1
967	998	"Gytgykai Lake"	63.16667	175	30	"AWI"	30	6563	7156	6905	119	0	0	0	7	0	72	0	0	0	0	10	13	0	0	0	0	0	0	0	0	0	107	0	16	0	0	0	0	0	0	0	2	4	1	0	5
967	998	"Gytgykai Lake"	63.16667	175	12	"AWI"	12	5582	7045	6610	169	1	0	2	6	0	62	0	0	0	3	28	25	0	0	0	0	0	0	0	0	0	147	0	21	0	0	0	0	0	0	0	3	6	3	0	3
967	998	"Gytgykai Lake"	63.16667	175	40	"AWI"	40	6794	7232	7036	155	0	0	0	6	0	73	0	0	0	0	26	17	0	0	0	0	0	0	0	0	0	145	0	10	0	0	0	0	0	0	0	1	6	2	0	2
967	998	"Gytgykai Lake"	63.16667	175	50	"AWI"	50	6894	7422	7156	130	0	0	0	8	0	30	0	1	0	0	16	10	0	0	0	1	0	0	0	0	0	150	0	10	0	0	0	0	0	0	0	1	10	3	0	1
967	998	"Gytgykai Lake"	63.16667	175	60	"AWI"	60	6952	7738	7262	244	0	0	0	6	0	33	0	0	0	3	26	15	0	0	0	0	0	0	0	0	0	177	0	25	0	0	0	0	0	0	0	0	5	4	0	4
967	998	"Gytgykai Lake"	63.16667	175	70	"AWI"	70	7033	7946	7375	211	0	0	0	5	0	36	0	0	0	0	40	7	0	0	0	0	0	0	0	0	0	155	0	10	0	0	0	0	0	0	0	0	6	5	0	4
967	998	"Gytgykai Lake"	63.16667	175	80	"AWI"	80	7099	8067	7498	92	0	0	0	2	0	22	0	0	0	0	22	16	0	0	0	0	0	0	0	0	0	140	0	4	0	0	0	0	0	0	0	1	2	0	1	2
967	998	"Gytgykai Lake"	63.16667	175	90	"AWI"	90	7144	8242	7619	1438	0	0	0	4	0	31	0	0	0	0	17	14	0	0	0	0	0	0	0	0	0	148	0	6	0	0	0	0	0	0	0	0	3	3	0	0
967	998	"Gytgykai Lake"	63.16667	175	100	"AWI"	100	7214	8400	7736	121	0	0	0	11	0	36	0	0	0	0	20	5	0	0	0	0	0	0	0	0	0	114	0	10	0	0	0	0	0	0	0	0	3	1	0	3
967	998	"Gytgykai Lake"	63.16667	175	110	"AWI"	110	7314	8468	7861	90	0	0	1	4	0	14	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	160	0	6	0	0	0	0	0	0	0	1	4	2	2	1
967	998	"Gytgykai Lake"	63.16667	175	120	"AWI"	120	7370	8571	7988	182	0	0	0	11	0	32	0	0	0	0	20	7	0	0	0	0	0	0	0	0	0	157	0	11	0	0	0	0	0	0	1	0	6	6	0	2
967	998	"Gytgykai Lake"	63.16667	175	130	"AWI"	130	7434	8730	8104	220	0	0	0	2	0	13	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	135	0	12	0	0	0	0	0	0	0	0	2	3	0	1
967	998	"Gytgykai Lake"	63.16667	175	160	"AWI"	160	7736	8994	8470	140	0	0	0	10	0	34	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	140	0	32	0	0	0	0	0	0	0	0	12	1	0	4
967	998	"Gytgykai Lake"	63.16667	175	180	"AWI"	180	8109	9119	8690	1093	0	0	0	18	0	150	0	0	0	0	35	21	0	0	0	1	0	0	4	1	0	105	0	36	0	0	0	4	1	0	0	3	20	1	0	20
