"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
357	365	"Chesnok Peat, Irtysh River"	60	66.5	10	"AWI"	10	6	490	222	1	8	2	2	0	87	0	0	0	3	0	0	11	247	0	0	0	0	0	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	20	"AWI"	20	302	710	509	4	0	7	15	0	207	0	0	0	26	0	0	6	0	0	0	0	0	0	1	0	2	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	30	"AWI"	30	607	1044	768	4	0	0	11	0	222	0	0	0	15	1	0	3	0	4	0	0	0	0	3	2	1	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	40	"AWI"	40	759	1420	1030	2	0	1	7	0	148	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	50	"AWI"	50	947	1736	1298	11	0	3	17	0	257	1	0	0	18	0	0	11	0	1	0	0	0	0	2	0	0	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	60	"AWI"	60	1149	2018	1566	8	0	5	22	0	265	0	1	1	19	0	0	17	0	4	0	0	0	0	4	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	70	"AWI"	70	1388	2256	1838	3	0	5	19	0	258	0	0	0	22	0	0	20	0	4	0	0	0	0	2	3	1	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	80	"AWI"	80	1669	2465	2103	3	4	3	9	0	229	0	0	0	11	0	0	14	0	4	0	0	0	0	3	1	1	2
357	365	"Chesnok Peat, Irtysh River"	60	66.5	90	"AWI"	90	1969	2670	2366	11	0	1	13	0	184	0	0	0	0	0	0	7	0	1	0	0	0	0	1	5	0	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	100	"AWI"	100	2391	2856	2639	18	2	13	10	0	256	0	0	0	8	0	0	15	0	1	0	0	0	1	1	0	1	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	110	"AWI"	110	2698	3670	3068	9	6	2	19	0	192	0	0	0	11	0	0	17	0	3	1	0	0	0	1	1	1	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	120	"AWI"	120	3018	4180	3558	3	0	3	13	0	285	0	0	0	7	0	0	22	0	2	0	0	0	0	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	130	"AWI"	130	3397	4636	4078	4	4	1	16	0	288	0	0	0	26	0	0	14	0	1	2	0	0	1	1	3	1	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	140	"AWI"	140	3966	4954	4547	8	5	5	19	0	362	0	0	0	12	0	0	22	0	3	0	0	0	0	1	2	0	2
357	365	"Chesnok Peat, Irtysh River"	60	66.5	150	"AWI"	150	4701	5258	4965	1	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	160	"AWI"	160	4985	5681	5294	2	2	2	14	0	472	0	1	1	17	0	0	20	0	7	0	0	0	0	3	1	0	5
357	365	"Chesnok Peat, Irtysh River"	60	66.5	170	"AWI"	170	5205	5978	5583	1	0	6	19	0	468	0	1	0	17	0	0	33	0	9	0	1	0	0	2	3	0	4
357	365	"Chesnok Peat, Irtysh River"	60	66.5	180	"AWI"	180	5496	6241	5885	4	0	3	13	0	466	0	1	0	16	0	0	6	0	3	0	0	0	1	4	0	0	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	190	"AWI"	190	5804	6469	6182	1	0	5	6	0	449	0	3	0	10	1	0	19	0	7	0	0	0	0	5	1	0	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	200	"AWI"	200	6296	6640	6453	0	0	2	5	0	315	0	1	0	9	0	0	5	0	5	0	0	0	0	1	2	0	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	210	"AWI"	210	6437	6880	6645	1	0	1	16	0	378	0	0	0	18	0	0	38	0	6	0	0	0	1	1	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	220	"AWI"	220	6578	7105	6829	0	2	4	9	0	308	0	0	0	20	0	0	21	0	5	0	1	0	0	4	1	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	230	"AWI"	230	6740	7285	7019	1	3	1	13	0	384	0	2	0	30	0	0	40	0	9	0	0	1	1	3	0	1	2
357	365	"Chesnok Peat, Irtysh River"	60	66.5	240	"AWI"	240	6968	7448	7198	0	0	1	15	0	401	0	0	0	15	0	0	4	0	11	0	0	0	0	3	4	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	250	"AWI"	250	7242	7609	7389	0	0	1	4	0	257	0	0	0	9	0	0	5	0	7	0	0	0	0	0	1	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	260	"AWI"	260	7435	8264	7731	0	0	0	6	0	233	0	0	0	5	0	0	1	0	6	0	0	0	0	0	1	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	270	"AWI"	270	7752	8774	8214	0	0	3	10	0	186	0	0	0	3	0	0	19	0	3	0	0	0	0	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	280	"AWI"	280	8151	9230	8689	0	0	3	11	0	416	0	1	0	59	0	0	7	0	10	0	0	0	0	7	2	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	290	"AWI"	290	8645	9568	9199	0	0	1	8	0	141	2	7	1	0	0	0	11	0	10	0	0	0	0	4	9	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	300	"AWI"	300	9301	9809	9605	1	0	0	10	0	46	0	30	0	0	0	0	9	0	6	0	0	0	0	4	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	310	"AWI"	310	9529	10110	9822	0	0	4	11	0	27	0	5	0	0	0	0	4	0	4	0	0	0	2	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	320	"AWI"	320	9718	10366	10007	0	0	1	8	0	42	0	7	0	0	0	0	1	0	7	0	0	0	0	0	1	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	330	"AWI"	330	9889	10579	10192	0	0	1	10	0	0	0	2	0	0	0	0	3	0	2	0	0	0	0	1	2	0	1
357	365	"Chesnok Peat, Irtysh River"	60	66.5	340	"AWI"	340	10099	10823	10376	0	0	2	3	0	55	1	15	0	0	0	1	6	0	1	0	0	0	0	0	2	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	350	"AWI"	350	10324	11043	10558	0	0	2	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
357	365	"Chesnok Peat, Irtysh River"	60	66.5	355	"AWI"	355	10410	11191	10682	0	0	7	68	0	151	0	20	2	0	0	0	16	0	74	0	1	0	0	16	7	0	0
