"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hippophaë"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
200	200	"Amtkel"	43.26806	41.30833	10	"AWI"	10	-9	280	119	5	0	33	13	3	8	14	1	0	0	8	2	5	0	2	32	0	0	0	0	0	0	0	0	0	0	5	20	1	0	0	15	0	0	1	19	3	0	3	0	0	0
200	200	"Amtkel"	43.26806	41.30833	20	"AWI"	20	148	486	309	1	0	65	5	2	5	25	0	0	0	4	2	20	1	7	12	1	0	0	0	0	0	0	0	1	0	1	11	1	1	0	25	0	0	2	0	1	0	1	0	0	0
200	200	"Amtkel"	43.26806	41.30833	30	"AWI"	30	326	667	502	5	0	125	6	9	4	10	0	0	0	1	5	28	8	0	15	0	0	0	0	0	7	4	0	0	2	4	28	0	0	0	17	8	0	3	0	3	0	5	0	0	0
200	200	"Amtkel"	43.26806	41.30833	37	"AWI"	37	471	780	635	9	0	50	6	3	3	5	1	1	0	0	5	20	222	2	50	0	1	1	0	0	4	0	0	0	4	22	88	0	0	13	6	0	0	2	0	1	0	4	0	0	0
200	200	"Amtkel"	43.26806	41.30833	43	"AWI"	43	610	869	747	34	1	65	4	1	4	14	1	0	0	0	0	22	120	0	32	0	0	0	0	0	1	0	1	1	8	20	110	4	0	5	2	1	2	2	0	1	0	1	3	2	0
200	200	"Amtkel"	43.26806	41.30833	50	"AWI"	50	754	987	864	23	0	136	12	4	5	25	0	0	0	0	1	26	26	3	8	0	0	0	0	0	2	0	0	0	0	1	15	0	1	5	1	0	0	4	1	2	0	0	3	0	0
200	200	"Amtkel"	43.26806	41.30833	56	"AWI"	56	827	1102	955	30	1	117	1	0	2	2	0	0	0	0	2	18	21	2	4	0	0	0	0	0	0	0	0	0	0	1	29	0	0	0	6	0	0	2	1	1	2	2	4	0	0
200	200	"Amtkel"	43.26806	41.30833	64	"AWI"	64	929	1240	1075	3	0	85	2	2	0	15	0	0	0	0	1	13	32	1	41	0	1	0	0	0	0	0	0	0	0	15	74	0	0	0	0	0	1	1	0	0	0	1	3	0	0
200	200	"Amtkel"	43.26806	41.30833	74	"AWI"	74	1063	1397	1225	5	0	230	10	6	5	20	0	0	0	0	14	28	40	5	21	0	0	0	1	0	1	0	0	0	5	2	8	0	0	2	1	0	0	7	0	1	1	1	1	0	0
200	200	"Amtkel"	43.26806	41.30833	84	"AWI"	84	1213	1546	1375	0	0	145	5	0	2	2	0	0	8	0	1	36	5	0	26	0	0	0	0	0	0	0	1	0	0	3	25	0	0	0	3	0	0	3	1	3	0	1	3	0	1
200	200	"Amtkel"	43.26806	41.30833	87	"AWI"	87	1259	1587	1419	2	0	122	6	1	2	11	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	10	0	0	0	0	0	0	0
200	200	"Amtkel"	43.26806	41.30833	90	"AWI"	90	1307	1630	1463	12	0	157	13	2	1	25	1	0	0	0	2	22	4	1	13	0	1	0	0	1	0	0	0	2	0	1	9	0	0	9	10	0	0	3	1	1	0	2	2	0	0
200	200	"Amtkel"	43.26806	41.30833	103	"AWI"	103	1510	1871	1674	2	0	75	2	3	1	25	0	0	7	0	0	17	1	0	5	0	1	0	0	0	2	0	2	3	0	2	57	0	0	0	14	0	1	0	0	2	0	0	2	0	0
200	200	"Amtkel"	43.26806	41.30833	123	"AWI"	123	1803	2325	2043	0	0	53	0	5	3	16	0	0	0	0	0	5	0	0	7	0	0	0	1	0	6	0	1	17	0	2	6	0	0	18	21	0	0	3	1	4	1	1	0	0	0
