"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
669	688	"Diana 375"	60.9875	-69.95833	0	"AWI"	0	-66	109	15	0	34	0	0	3	0	0	20	0	1	4	0	239	6	2	0	0	0	0	0	1	0	1	23	0	29	0	0	0	3	3	0	0	0	0	1	0
669	688	"Diana 375"	60.9875	-69.95833	145	"AWI"	145	7519	8478	7905	0	0	1	0	4	0	0	7	1	0	2	0	83	1	0	0	0	4	0	0	0	0	1	5	0	125	0	1	1	131	13	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	150	"AWI"	150	7575	8934	8051	0	0	1	0	8	0	0	0	0	0	3	0	80	2	0	0	0	2	0	0	0	1	0	3	0	108	0	0	0	108	11	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	5	"AWI"	5	52	1234	457	0	35	2	0	6	0	0	72	0	0	6	0	239	10	1	0	0	0	0	0	1	0	1	30	0	71	0	0	0	2	0	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	12.5	"AWI"	12.5	334.5	2597.5	1180	0	47	1	0	3	0	0	34	0	0	5	0	360	7	3	0	3	3	0	0	0	0	0	26	22	78	0	5	1	4	0	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	20	"AWI"	20	655	3462	2014	0	63	1	0	4	0	0	93	0	0	3	0	178	6	2	0	0	1	0	0	0	0	0	38	0	54	0	0	0	4	1	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	27.5	"AWI"	27.5	1357	3842	2852	0	0	1	0	3	0	2	29	0	0	3	0	246	2	1	0	0	0	0	0	0	0	0	23	0	49	0	0	0	1	0	0	0	1	0	0	2
669	688	"Diana 375"	60.9875	-69.95833	35	"AWI"	35	2663	4219	3556	0	76	2	0	7	0	0	81	0	0	0	0	162	10	0	0	0	0	0	0	0	0	0	79	0	28	0	0	0	4	0	27	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	42.5	"AWI"	42.5	3601.5	4654	4143	0	179	0	0	4	0	0	39	0	0	1	0	171	6	0	0	0	0	0	0	0	2	0	56	0	55	0	0	0	10	2	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	50	"AWI"	50	3799	5463	4489	0	0	0	0	8	0	0	76	0	1	1	0	108	3	2	0	0	0	0	1	1	0	0	20	0	20	0	0	0	3	0	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	57.5	"AWI"	57.5	4114.5	5785	4899.5	0	117	1	0	4	0	0	67	0	0	0	0	106	3	0	1	0	0	0	0	0	0	0	25	0	24	0	0	0	5	1	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	65	"AWI"	65	4432	6127	5306	0	0	1	0	11	0	0	92	1	0	0	0	45	5	2	0	0	0	0	0	1	0	0	45	0	31	0	0	1	1	1	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	72.5	"AWI"	72.5	4830.5	6477	5717.5	0	174	2	0	9	0	1	68	0	0	0	0	166	5	0	0	0	0	0	0	0	0	0	19	0	25	0	0	0	2	1	29	0	1	0	0	1
669	688	"Diana 375"	60.9875	-69.95833	80	"AWI"	80	5208	6776	6146	0	0	1	0	3	0	0	110	0	0	0	1	52	2	1	0	0	0	0	0	0	0	0	40	0	30	0	0	1	1	1	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	85	"AWI"	85	5708	6871	6363	0	146	0	0	7	0	0	95	0	0	1	0	127	1	3	0	0	3	0	0	1	1	0	10	8	26	0	0	0	0	7	23	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	90	"AWI"	90	5986	7050	6619	0	186	2	0	12	0	0	151	0	0	0	0	130	5	1	0	2	0	0	0	0	0	0	24	0	41	0	0	0	5	9	0	0	3	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	97.5	"AWI"	97.5	6180	7245.5	6783.5	0	135	0	0	6	0	0	73	0	0	1	0	133	1	1	0	0	1	0	0	1	3	0	22	0	33	0	1	0	4	3	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	105	"AWI"	105	6403	7421	6955	0	0	2	0	6	0	0	108	0	0	2	0	74	1	0	0	0	0	0	0	1	0	0	6	0	30	0	0	0	25	0	0	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	112.5	"AWI"	112.5	6576	7609	7126	0	0	2	2	12	0	0	59	0	0	3	0	102	4	0	0	0	1	1	0	0	1	0	15	0	53	0	0	1	29	6	0	0	0	0	0	1
669	688	"Diana 375"	60.9875	-69.95833	120	"AWI"	120	6746	7796	7296	0	0	1	0	17	0	0	77	0	0	2	0	55	2	0	0	0	1	0	0	3	1	0	22	0	66	0	0	0	144	3	36	0	1	1	0	0
669	688	"Diana 375"	60.9875	-69.95833	127.5	"AWI"	127.5	6986	7928.5	7465	0	0	5	3	10	0	0	18	0	0	2	0	83	3	0	0	0	0	0	0	0	0	0	14	0	96	0	0	0	25	3	20	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	135	"AWI"	135	7270	8080	7627	0	0	2	0	12	0	0	34	0	0	1	0	69	5	0	0	0	2	0	0	1	1	0	12	0	99	0	0	0	48	23	29	0	0	0	0	0
669	688	"Diana 375"	60.9875	-69.95833	140	"AWI"	140	7398	8187	7738	2	0	0	0	12	0	0	14	0	0	6	0	66	2	0	0	0	2	0	0	0	0	0	9	9	107	0	0	0	60	13	0	0	0	0	0	0
