"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tsuga"	"Ulmus"
252	258	"Bereziuk"	54.04722	-76.12028	440	"AWI"	440	6935	8076	7604	0	0	196	1	3	0	76	1	0	0	2	7	5	3	0	0	1	28	0	29	12	2	0	1	69	0	3	140	0	1	2	14	0	1	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	450	"AWI"	450	7026	8481	7733	0	0	111	3	28	11	76	0	1	0	1	38	4	10	1	0	0	54	0	0	6	2	1	3	0	0	7	145	6	1	0	24	0	0	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	460	"AWI"	460	7173	8722	7897	1	0	108	8	37	30	82	0	2	0	0	23	0	1	0	3	2	0	0	0	2	2	0	1	73	0	11	0	6	0	0	4	0	0	0	0	2
252	258	"Bereziuk"	54.04722	-76.12028	475	"AWI"	475	7351	9123	8147	0	0	42	6	18	16	52	1	0	0	0	20	0	1	0	0	0	0	0	0	6	1	0	0	0	0	5	0	1	0	1	2	0	0	0	0	5
252	258	"Bereziuk"	54.04722	-76.12028	485	"AWI"	485	7468	9419	8311	0	0	0	2	17	15	47	0	1	0	1	15	0	0	0	5	3	2	1	0	0	2	0	1	0	0	6	0	4	0	0	4	0	0	0	0	2
252	258	"Bereziuk"	54.04722	-76.12028	500	"AWI"	500	7645	9783	8558	0	0	121	10	32	25	89	1	0	0	0	20	0	0	0	0	3	0	0	6	0	0	0	0	0	0	9	0	6	0	0	4	1	0	0	0	6
252	258	"Bereziuk"	54.04722	-76.12028	5	"AWI"	5	-103	202	8	0	0	95	0	0	0	28	0	0	0	0	7	0	0	0	0	0	0	0	4	7	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
252	258	"Bereziuk"	54.04722	-76.12028	25	"AWI"	25	16	941	334	1	0	125	0	3	0	42	0	0	0	0	3	0	2	0	0	0	1	0	3	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2
252	258	"Bereziuk"	54.04722	-76.12028	50	"AWI"	50	228	1569	770	0	0	69	0	1	4	50	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	75	"AWI"	75	558	2007	1222	0	0	109	0	2	0	43	0	0	0	0	0	0	6	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
252	258	"Bereziuk"	54.04722	-76.12028	100	"AWI"	100	884	2511	1678	0	0	140	0	5	0	57	0	0	0	0	5	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
252	258	"Bereziuk"	54.04722	-76.12028	125	"AWI"	125	1343	2875	2130	0	0	185	0	2	0	53	0	0	0	2	3	0	1	0	0	1	2	0	0	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0
252	258	"Bereziuk"	54.04722	-76.12028	150	"AWI"	150	1782	3258	2579	0	0	209	0	5	0	55	0	0	1	0	2	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	2	0	0	1	0	1
252	258	"Bereziuk"	54.04722	-76.12028	175	"AWI"	175	2397	3534	3016	1	0	168	0	4	0	66	0	1	0	0	2	0	4	0	0	0	1	0	0	4	1	0	0	0	0	1	0	3	0	0	2	0	0	0	2	0
252	258	"Bereziuk"	54.04722	-76.12028	200	"AWI"	200	2877	3928	3422	0	0	107	0	0	0	64	0	0	0	0	4	0	2	0	0	0	1	0	0	3	2	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0
252	258	"Bereziuk"	54.04722	-76.12028	225	"AWI"	225	3152	4295	3736	0	0	175	2	0	3	91	0	0	0	1	2	0	1	0	0	1	3	0	2	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0
252	258	"Bereziuk"	54.04722	-76.12028	250	"AWI"	250	3460	4675	4053	0	0	161	0	2	0	97	0	0	0	0	5	0	2	0	0	0	3	0	5	4	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	2
252	258	"Bereziuk"	54.04722	-76.12028	275	"AWI"	275	3795	4972	4373	0	0	214	0	5	0	200	0	0	0	0	8	0	4	0	0	1	6	0	5	5	2	0	0	0	0	3	0	3	0	0	3	0	0	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	300	"AWI"	300	4142	5294	4683	1	0	131	0	3	0	29	0	0	0	0	4	0	3	0	0	0	11	0	0	5	0	0	0	275	0	2	0	3	0	0	3	0	0	0	0	0
252	258	"Bereziuk"	54.04722	-76.12028	325	"AWI"	325	4578	5673	5072	0	0	123	1	0	0	79	0	1	0	0	3	0	2	0	0	0	4	0	0	6	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	350	"AWI"	350	4907	6460	5637	1	0	112	1	3	0	111	0	2	0	1	3	0	1	0	0	0	4	0	0	3	3	0	0	159	0	0	0	0	0	0	1	0	0	0	0	0
252	258	"Bereziuk"	54.04722	-76.12028	375	"AWI"	375	5434	6964	6203	0	0	174	1	4	0	104	0	0	0	1	1	0	0	0	0	0	9	0	3	5	2	0	0	253	0	2	0	0	0	0	0	0	3	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	400	"AWI"	400	5959	7419	6772	0	0	203	3	3	0	118	0	0	0	0	1	0	3	0	0	1	3	0	4	3	3	1	0	231	0	1	5	2	0	0	3	0	0	0	0	1
252	258	"Bereziuk"	54.04722	-76.12028	425	"AWI"	425	6669	7736	7317	0	0	146	0	3	0	71	0	0	0	0	5	0	1	0	0	0	1	0	6	0	8	0	0	143	0	1	14	0	0	0	0	0	0	0	0	1
