"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Solanaceae"
497	509	"Cotapampa"	-15.21667	-69.1	0	"AWI"	0	-134	37	-51	2	0	1	0	0	0	0	2	0	0	0	15	0	1200	3	3	0	5	1	7
497	509	"Cotapampa"	-15.21667	-69.1	10	"AWI"	10	-31	1030	301	0	0	0	23	0	0	0	0	0	1	0	4	0	9	2	0	0	11	3	0
497	509	"Cotapampa"	-15.21667	-69.1	25	"AWI"	25	347	1646	998	0	0	0	0	1	0	0	0	0	0	0	0	0	6700	1	0	0	1	0	2
497	509	"Cotapampa"	-15.21667	-69.1	45	"AWI"	45	1336	2221	1836	0	0	0	63	0	0	0	0	0	0	0	0	0	152	5	0	0	6	22	0
497	509	"Cotapampa"	-15.21667	-69.1	50	"AWI"	50	1586	2363	2052	0	2	0	0	0	0	0	3	0	0	0	3	0	52	4	0	0	6	12	1
497	509	"Cotapampa"	-15.21667	-69.1	60	"AWI"	60	2088	2784	2368	0	0	0	7	0	1	0	0	2	0	0	0	0	300	0	0	0	5	11	1
497	509	"Cotapampa"	-15.21667	-69.1	75	"AWI"	75	2390	3286	2791	0	0	0	0	0	0	0	0	3	0	0	1	0	240	2	0	0	5	0	0
497	509	"Cotapampa"	-15.21667	-69.1	80	"AWI"	80	2458	3471	2933	0	0	0	0	1	0	0	8	1	0	0	0	0	72	4	1	0	0	3	0
497	509	"Cotapampa"	-15.21667	-69.1	90	"AWI"	90	2700	3714	3222	0	0	0	71	0	0	0	0	0	0	0	0	0	14	2	0	0	2	0	0
497	509	"Cotapampa"	-15.21667	-69.1	105	"AWI"	105	3447	4072	3685	0	0	0	0	0	0	0	0	0	0	0	0	0	450	8	0	0	9	1	1
497	509	"Cotapampa"	-15.21667	-69.1	120	"AWI"	120	3886	6275	4713	0	2	0	33	1	0	0	3	2	1	0	0	0	58	2	0	1	3	7	0
497	509	"Cotapampa"	-15.21667	-69.1	130	"AWI"	130	4393	7049	5680	0	3	0	0	0	0	0	3	0	1	0	1	0	13	3	0	0	5	5	0
497	509	"Cotapampa"	-15.21667	-69.1	145	"AWI"	145	6064	7663	7086	0	0	0	16	0	0	0	0	0	0	0	0	0	2	2	0	0	2	8	0
497	509	"Cotapampa"	-15.21667	-69.1	155	"AWI"	155	6834	7982	7690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	32	3	0
497	509	"Cotapampa"	-15.21667	-69.1	172	"AWI"	172	7376	8543	8073	0	0	0	0	0	0	0	7	1	0	0	1	1	10	4	2	0	103	8	0
497	509	"Cotapampa"	-15.21667	-69.1	190	"AWI"	190	7877	8938	8424	0	0	7	0	0	0	0	2	0	0	1	0	0	17	2	0	0	56	5	1
497	509	"Cotapampa"	-15.21667	-69.1	205	"AWI"	205	8341	9259	8735	0	0	0	0	0	0	0	1	0	0	0	0	1	1440	2	0	0	3	2	0
497	509	"Cotapampa"	-15.21667	-69.1	215	"AWI"	215	8693	9791	9212	0	0	0	108	0	0	0	7	0	0	0	1	0	1500	0	0	0	1	2	0
497	509	"Cotapampa"	-15.21667	-69.1	225	"AWI"	225	9399	10696	10010	0	0	0	0	0	0	0	9	0	0	0	4	0	1	2	3	0	3	1	0
497	509	"Cotapampa"	-15.21667	-69.1	235	"AWI"	235	10317	11134	10767	0	0	0	100	1	0	1	12	0	0	0	5	0	76	1	1	0	15	12	4
497	509	"Cotapampa"	-15.21667	-69.1	245	"AWI"	245	10677	12158	11292	0	0	0	0	0	0	0	2	0	1	0	1	0	615	4	0	0	10	43	0
497	509	"Cotapampa"	-15.21667	-69.1	255	"AWI"	255	10923	13050	11749	0	0	0	0	0	0	0	0	0	0	0	0	1	49	1	0	0	5	22	0
