"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Juniperus"	"Liliaceae"	"Nyctaginaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	1	"AWI"	1	-47	253	59	1.65289256198347	0	3.71900826446281	0.206611570247934	5.16528925619835	3.51239669421488	0	0	0	0	29.1322314049587	0	0	0.413223140495868	0	2.06611570247934	0	0	16.9421487603306	25.2066115702479	2.47933884297521	0	0	0	0	1.03305785123967	0	2.47933884297521	0.619834710743802	4.95867768595041	0.413223140495868	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	5	"AWI"	5	59	943	349	1.27840909090909	0	2.27272727272727	1.13636363636364	3.97727272727273	1.84659090909091	0	0	0.426136363636364	0	46.4488636363636	0	0.284090909090909	0	0.426136363636364	0.284090909090909	0	0	17.7556818181818	17.1875	3.40909090909091	0	0.142045454545455	0	0.142045454545455	1.27840909090909	0	0.426136363636364	0	0.994318181818182	0.142045454545455	0.142045454545455
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	10	"AWI"	10	300	1528	767	1.47058823529412	0.122549019607843	2.08333333333333	0.245098039215686	4.16666666666667	3.06372549019608	0	0	0.490196078431373	0.122549019607843	58.8235294117647	0	0.122549019607843	0.122549019607843	0	0.245098039215686	0	0	12.0098039215686	13.2352941176471	1.96078431372549	0	0.122549019607843	0	0.122549019607843	0.367647058823529	0	0.490196078431373	0	0.367647058823529	0.245098039215686	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	15	"AWI"	15	580	2044	1195	2.05479452054794	0	0.547945205479452	0.547945205479452	3.97260273972603	2.32876712328767	0	0	0.410958904109589	0	55.2054794520548	0	0	0	0.136986301369863	0	0	0	18.2191780821918	14.2465753424658	1.23287671232877	0	0	0	0	0.547945205479452	0	0	0	0.410958904109589	0	0.136986301369863
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	20	"AWI"	20	904	2522	1616	2.83870967741935	0.129032258064516	2.32258064516129	1.80645161290323	5.80645161290323	3.74193548387097	0	0	0.903225806451613	0	48	0	0	0	0	0.645161290322581	0	0	12.258064516129	15.2258064516129	2.70967741935484	0	0	0	0.129032258064516	1.03225806451613	0	0.387096774193548	0	1.93548387096774	0.129032258064516	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	25	"AWI"	25	1247	2965	2038	2.16400911161731	0.113895216400911	3.64464692482916	0	5.23917995444191	4.1002277904328	0	0	0	0	46.5831435079727	0	0.113895216400911	0	0	0.683371298405467	0.113895216400911	0	13.4396355353075	15.0341685649203	4.78359908883827	0	0	0	0.227790432801822	0.911161731207289	0	0.341685649202733	0	1.82232346241458	0.569476082004556	0.113895216400911
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	30	"AWI"	30	1598	3421	2460	2.0703933747412	0	3.41614906832298	1.5527950310559	3.6231884057971	3.20910973084886	0	0.10351966873706	0.41407867494824	0	41.2008281573499	0	0.10351966873706	0	0.20703933747412	0.5175983436853	0.10351966873706	0	12.4223602484472	12.4223602484472	3.93374741200828	0.10351966873706	0	0	0.31055900621118	0.41407867494824	0	0.20703933747412	0	13.4575569358178	0	0.20703933747412
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	35	"AWI"	35	1970	3865	2883	3.96659707724426	0	3.13152400835073	0.208768267223382	5.42797494780793	1.67014613778706	0	0	0.626304801670146	0	26.3048016701461	0	0	0	0.208768267223382	1.67014613778706	0	0	29.2275574112735	24.4258872651357	1.46137787056367	0	0	0	0	0.417536534446764	0	0.208768267223382	0	0.417536534446764	0.626304801670146	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	40	"AWI"	40	2362	4291	3310	1.2924071082391	0	0.969305331179321	0.807754442649435	4.84652665589661	2.90791599353796	0.161550888529887	0.161550888529887	0.646203554119548	0	46.0420032310178	0	0	0	0.161550888529887	0.323101777059774	0	0	19.2245557350565	18.4168012924071	1.61550888529887	0	0	0.161550888529887	0	0.484652665589661	0	0.484652665589661	0.161550888529887	0.969305331179321	0	0.161550888529887
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	45	"AWI"	45	2772	4677	3737	4.30327868852459	0	2.25409836065574	0.614754098360656	5.94262295081967	3.89344262295082	0	0.204918032786885	0.204918032786885	0	28.0737704918033	0	0.204918032786885	0.204918032786885	0	0.409836065573771	0.204918032786885	0	23.155737704918	25.4098360655738	1.84426229508197	0	0	0.409836065573771	0	0.204918032786885	1.22950819672131	0.204918032786885	0	0.819672131147541	0.204918032786885	0
