"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"	"Ulmus"
1600	1651	"Little Lake"	44.66808	-63.936826	681	"AWI"	681	9984	11400	10770	3	0	0	1	0	0	0	156	0	1	0	0	0	1	0	0	1	0	0	6	40	0	2	11	0	2	0	0	0	3	24	0	0	1	0	0	2	3
1600	1651	"Little Lake"	44.66808	-63.936826	691	"AWI"	691	10384	11621	11052	4	0	0	0	0	0	0	100	0	0	1	0	0	0	1	0	2	0	0	5	43	0	5	30	0	4	0	0	2	4	34	0	0	1	0	0	0	2
1600	1651	"Little Lake"	44.66808	-63.936826	701	"AWI"	701	10720	11819	11326	0	0	0	0	0	1	0	125	0	0	0	0	0	4	2	0	1	0	3	2	25	1	7	33	1	1	51	25	3	4	8	0	0	3	0	0	0	2
1600	1651	"Little Lake"	44.66808	-63.936826	702	"AWI"	702	10752	11835	11351	0	0	0	0	0	1	0	118	0	0	0	0	1	6	1	0	0	0	0	9	72	0	6	53	0	4	98	32	6	0	25	0	0	3	0	0	0	3
1600	1651	"Little Lake"	44.66808	-63.936826	708	"AWI"	708	10936	11967	11506	2	0	0	1	0	0	0	77	0	0	1	0	0	4	0	0	3	0	3	8	239	0	0	62	0	1	32	21	16	1	16	4	0	15	0	0	1	0
1600	1651	"Little Lake"	44.66808	-63.936826	716	"AWI"	716	11163	12143	11712	1	0	0	0	0	1	0	94	0	0	0	0	0	4	5	0	6	0	0	8	161	0	1	20	0	0	0	22	17	1	4	0	0	16	0	0	1	0
1600	1651	"Little Lake"	44.66808	-63.936826	720	"AWI"	720	11289	12218	11821	0	0	11	0	0	1	4	127	0	0	0	0	0	0	5	0	10	0	0	9	205	0	0	23	0	0	17	28	10	1	9	0	0	16	0	0	0	0
1600	1651	"Little Lake"	44.66808	-63.936826	722	"AWI"	722	11348	12260	11869	0	0	0	0	1	0	0	169	0	0	0	0	0	3	10	0	17	1	0	8	555	0	5	10	1	1	14	35	11	1	6	0	0	22	0	1	3	0
1600	1651	"Little Lake"	44.66808	-63.936826	725	"AWI"	725	11438	12324	11946	0	0	0	0	0	0	0	150	0	0	0	0	0	0	18	0	7	0	0	8	103	0	0	17	0	1	0	35	3	0	3	0	1	16	0	0	0	0
1600	1651	"Little Lake"	44.66808	-63.936826	727	"AWI"	727	11498	12363	11995	1	0	0	0	0	2	7	142	1	0	0	0	0	0	35	0	7	0	0	19	43	0	0	10	1	2	0	0	9	0	0	0	0	6	0	2	0	2
1600	1651	"Little Lake"	44.66808	-63.936826	729	"AWI"	729	11559	12393	12049	0	0	15	0	0	1	0	152	0	0	0	0	0	1	34	0	3	0	0	19	56	0	0	14	0	2	13	38	12	0	1	0	2	16	0	0	1	2
1600	1651	"Little Lake"	44.66808	-63.936826	730	"AWI"	730	11593	12413	12075	0	0	14	0	0	3	0	158	0	0	0	0	0	1	27	0	5	0	0	14	56	0	0	15	0	3	0	39	5	0	1	0	0	9	0	2	0	1
