"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	570	"AWI"	570	14349	19013	16416	0	0	146	0	31	1	0	3	5	1	1	0	1	2	1	130	1	1	6	0	0	1	0	0	0
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	605	"AWI"	605	17090	22447	19588	1	0	89	0	18	0	0	5	3	1	0	0	9	1	1	143	1	4	13	0	0	6	0	0	0
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	670	"AWI"	670	22600	28474	25476	0	0	47	0	3	1	0	42	30	1	0	2	1	0	1	146	0	2	25	9	0	42	0	0	2
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	540	"AWI"	540	12163	15881	13718	4	0	50	12	65	0	0	9	7	4	0	1	0	48	0	124	1	1	5	0	0	12	0	0	1
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	705	"AWI"	705	25792	31472	28645	0	0	16	0	1	3	0	39	17	2	0	1	1	1	1	143	1	3	7	0	1	20	0	0	3
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	760	"AWI"	760	31104	35962	33622	1	0	22	10	16	2	0	14	33	10	0	1	1	0	9	174	1	6	4	0	0	6	0	0	3
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	735	"AWI"	735	28657	33947	31343	2	0	38	4	16	0	19	8	15	3	0	2	1	0	3	152	4	16	13	0	1	3	0	0	2
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	640	"AWI"	640	19971	25750	22755	1	0	69	7	13	10	6	14	15	4	0	3	0	1	2	135	4	5	29	0	0	16	3	1	2
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	800	"AWI"	800	35483	39005	37140	3	2	20	6	25	2	0	16	32	3	0	0	1	1	1	167	1	1	8	0	0	11	1	0	1
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	465	"AWI"	465	8835	9436	9209	32	0	1	0	81	0	0	1	10	2	0	0	0	1	0	103	0	0	0	0	0	44	0	0	0
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	500	"AWI"	500	10017	10847	10302	29	0	1	0	98	0	0	0	17	1	0	0	0	1	0	128	0	0	1	0	0	13	0	0	0
