"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
485	497	"Colo Marsh"	42.02	-93.27	0	"AWI"	0	-154	16	-70	0	0	0	250	7	29	3	1	0	0	0	0	0	98	0	3	48	1	0	0	6	22	3	8	0	27	0	0	2
485	497	"Colo Marsh"	42.02	-93.27	8	"AWI"	8	11	892	308	0	2	1	209	8	42	1	0	1	0	0	0	0	69	0	1	29	1	0	0	1	21	3	23	0	57	0	0	2
485	497	"Colo Marsh"	42.02	-93.27	16	"AWI"	16	233	1541	741	0	2	2	204	6	39	0	0	6	0	1	0	0	80	0	0	31	2	0	1	4	25	4	30	0	64	1	0	2
485	497	"Colo Marsh"	42.02	-93.27	24	"AWI"	24	501	2040	1164	0	0	1	138	19	60	1	0	5	1	0	1	0	102	0	1	7	0	0	1	0	24	11	32	0	77	1	0	4
485	497	"Colo Marsh"	42.02	-93.27	30	"AWI"	30	723	2430	1500	0	3	3	171	12	36	3	0	10	0	0	1	1	91	0	1	10	2	0	1	0	16	7	46	1	48	1	0	5
485	497	"Colo Marsh"	42.02	-93.27	35	"AWI"	35	946	2723	1773	0	0	0	82	11	68	5	0	2	1	0	1	1	174	0	1	17	2	0	1	1	27	6	72	0	68	1	1	6
485	497	"Colo Marsh"	42.02	-93.27	40	"AWI"	40	1176	2988	2059	0	0	5	70	18	56	3	0	7	0	0	0	2	87	0	6	14	2	0	2	1	20	8	62	1	85	1	0	9
485	497	"Colo Marsh"	42.02	-93.27	45	"AWI"	45	1430	3264	2338	0	2	2	128	15	59	3	0	2	0	0	0	5	116	0	5	19	2	0	5	1	13	5	64	0	50	1	0	5
485	497	"Colo Marsh"	42.02	-93.27	50	"AWI"	50	1684	3531	2616	0	2	2	99	16	51	4	1	5	0	0	0	0	92	0	1	4	2	0	1	0	16	8	86	0	67	2	0	11
485	497	"Colo Marsh"	42.02	-93.27	55	"AWI"	55	1968	3774	2892	0	0	3	145	13	51	4	0	3	1	0	2	1	104	0	1	10	5	0	0	0	13	7	64	0	53	1	1	7
485	497	"Colo Marsh"	42.02	-93.27	60	"AWI"	60	2230	3998	3162	0	3	3	120	11	27	1	1	8	0	0	0	1	88	0	3	16	5	0	3	0	16	11	87	0	52	3	0	6
485	497	"Colo Marsh"	42.02	-93.27	65	"AWI"	65	2502	4205	3430	0	1	2	166	14	39	4	0	10	0	0	0	5	94	0	1	9	2	0	3	1	10	5	67	0	36	0	0	5
485	497	"Colo Marsh"	42.02	-93.27	70	"AWI"	70	2791	4428	3692	0	1	1	188	13	43	0	1	3	0	0	0	3	92	0	2	14	0	0	1	0	11	0	29	0	60	1	0	1
485	497	"Colo Marsh"	42.02	-93.27	75	"AWI"	75	3096	4631	3955	0	0	4	158	5	51	0	0	8	0	0	0	0	90	0	1	8	2	0	3	1	15	10	53	0	38	0	0	10
485	497	"Colo Marsh"	42.02	-93.27	80	"AWI"	80	3402	4817	4221	0	2	6	102	18	58	5	0	7	1	0	1	5	72	0	2	6	5	0	1	2	12	4	48	1	55	0	0	7
485	497	"Colo Marsh"	42.02	-93.27	85	"AWI"	85	3730	4985	4478	0	1	1	192	16	39	3	0	3	0	0	0	0	120	0	0	14	1	0	2	2	12	4	44	0	58	3	0	2
485	497	"Colo Marsh"	42.02	-93.27	90	"AWI"	90	4133	5137	4734	0	1	2	175	12	41	4	1	1	0	0	0	1	92	0	2	18	4	0	0	1	12	3	43	0	54	2	0	5
485	497	"Colo Marsh"	42.02	-93.27	95	"AWI"	95	4597	5280	4974	0	0	1	215	10	25	0	0	1	1	0	1	1	63	0	1	8	2	0	0	1	17	4	32	0	34	3	0	3
485	497	"Colo Marsh"	42.02	-93.27	100	"AWI"	100	4891	5529	5185	0	0	0	487	8	39	0	0	2	0	0	0	0	54	0	0	21	1	0	0	0	13	2	24	0	30	1	0	2
485	497	"Colo Marsh"	42.02	-93.27	110	"AWI"	110	5130	6040	5551	0	1	0	712	12	27	0	0	1	0	0	0	4	35	0	0	34	0	0	0	7	16	0	26	0	23	0	1	2
485	497	"Colo Marsh"	42.02	-93.27	120	"AWI"	120	5433	6424	5919	0	0	0	1414	6	41	0	0	0	0	0	2	0	30	0	0	37	0	0	1	6	15	2	28	0	27	0	0	2
485	497	"Colo Marsh"	42.02	-93.27	130	"AWI"	130	5776	6758	6286	0	1	2	993	7	51	1	0	0	0	0	1	0	30	0	1	28	3	0	0	2	10	0	22	0	21	1	0	3
485	497	"Colo Marsh"	42.02	-93.27	140	"AWI"	140	6189	7058	6664	1	1	3	1319	2	38	1	0	4	0	0	0	0	48	0	1	13	2	0	0	4	10	2	25	0	17	1	0	3
