"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
661	679	"Demont Lake"	43.48	-85	330	"AWI"	330	3791	4564	4212	0	6	3	2	1	2	6	1	0	0	0	0	6	6	0	0	0	6	2	32	0	1	120	0	1	0	0	10
661	679	"Demont Lake"	43.48	-85	345	"AWI"	345	4128	4789	4440	0	10	0	2	3	5	6	1	0	0	0	0	23	16	0	0	0	8	0	28	0	1	84	0	1	4	0	23
661	679	"Demont Lake"	43.48	-85	360	"AWI"	360	4232	5326	4650	0	16	1	0	0	0	4	3	0	1	0	0	21	18	2	0	0	4	0	35	0	0	75	0	0	4	0	28
661	679	"Demont Lake"	43.48	-85	375	"AWI"	375	4282	5997	4845	5	15	0	0	4	2	0	5	0	6	0	0	23	4	0	0	1	5	0	20	0	23	34	0	1	5	3	17
661	679	"Demont Lake"	43.48	-85	390	"AWI"	390	4462	6255	5080	0	15	0	0	0	0	3	2	1	1	0	0	44	13	0	0	0	5	0	35	0	0	57	0	1	0	0	21
661	679	"Demont Lake"	43.48	-85	405	"AWI"	405	4571	6411	5327	0	5	1	0	1	0	5	2	1	0	0	0	28	9	0	0	0	5	0	42	0	0	103	0	1	2	0	18
661	679	"Demont Lake"	43.48	-85	420	"AWI"	420	4648	6687	5553	0	8	0	1	1	3	5	1	0	0	0	0	10	15	1	0	0	0	0	24	0	1	101	0	3	4	0	24
661	679	"Demont Lake"	43.48	-85	435	"AWI"	435	4702	7037	5764	0	18	1	0	3	4	1	6	1	7	0	0	29	16	1	0	0	6	0	31	0	20	55	0	4	1	1	28
661	679	"Demont Lake"	43.48	-85	450	"AWI"	450	4905	7264	5973	0	13	0	0	0	0	5	0	0	0	0	0	32	23	0	0	0	3	0	27	0	2	61	0	1	6	0	52
661	679	"Demont Lake"	43.48	-85	480	"AWI"	480	5303	7517	6458	0	13	0	0	0	0	6	3	1	0	0	0	22	18	0	0	0	5	0	14	0	0	79	0	0	3	0	40
661	679	"Demont Lake"	43.48	-85	495	"AWI"	495	5419	7696	6700	0	6	0	0	5	0	0	0	0	8	0	0	37	8	1	0	0	7	0	24	0	24	63	0	0	2	0	73
661	679	"Demont Lake"	43.48	-85	510	"AWI"	510	5661	7879	6897	0	7	2	0	2	0	5	0	2	4	0	0	21	26	0	1	0	6	0	15	0	0	71	0	4	2	0	37
661	679	"Demont Lake"	43.48	-85	525	"AWI"	525	6107	7951	7084	0	4	3	1	0	0	3	0	0	0	2	0	33	12	1	0	0	4	0	20	0	0	103	0	1	2	3	26
661	679	"Demont Lake"	43.48	-85	540	"AWI"	540	6507	8048	7272	0	10	1	0	1	0	7	1	0	0	0	0	28	10	0	0	0	8	0	44	0	0	73	0	1	5	2	36
661	679	"Demont Lake"	43.48	-85	555	"AWI"	555	6813	8189	7486	0	11	1	1	0	0	1	2	0	2	0	0	12	7	1	0	0	7	0	31	0	7	54	0	1	5	1	46
661	679	"Demont Lake"	43.48	-85	575	"AWI"	575	7351	8496	7859	0	10	0	0	5	4	12	1	0	0	0	0	3	5	0	0	0	20	0	36	0	0	87	0	2	9	1	30
661	679	"Demont Lake"	43.48	-85	590	"AWI"	590	7694	9065	8287	0	5	0	1	2	0	8	2	5	0	0	0	0	10	0	0	0	20	2	45	0	0	101	0	2	1	1	16
