"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Arecaceae"	"Artemisia"	"Asteraceae"	"Avicennia"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Celtis"	"Citrus"	"Coccoloba"	"Conocarpus"	"Cupressaceae"	"Cyperaceae"	"Dodonaea"	"Ericales"	"Eugenia"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Forestiera"	"Fraxinus"	"Indeterminable"	"Iridaceae"	"Laguncularia"	"Lamiaceae"	"Liliaceae"	"Moraceae"	"Myrica"	"Oleaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rhizophora"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rutaceae"	"Sabal"	"Salix"	"Sapindaceae"	"Taxus"	"Thalictrum"	"Trema"	"Ulmus"	"Urticaceae"	"Verbenaceae"
1642	1697	"Mangrove Lake"	32.3	-64.75	180	"AWI"	180	-144	16	-65	0	0	0	0.672645739910314	0	1.34529147982063	0	0	0	0.448430493273543	0	0	0	0	0.224215246636771	89.237668161435	0.448430493273543	0	0.224215246636771	0	0.224215246636771	0.224215246636771	0	0	0	0.896860986547085	0.224215246636771	0	0	0.224215246636771	0	0	0	0	0	0.672645739910314	1.34529147982063	0	0	3.36322869955157	0	0	0	0	0	0	0	0	0	0	0.224215246636771	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	200	"AWI"	200	0	337	188	0	0	0	0.441826215022091	0	0.147275405007364	5.44918998527246	0	0.147275405007364	0.294550810014728	0	0	0	0	0	84.3888070692194	0	0	0	0.147275405007364	0	0	0	0.294550810014728	0.147275405007364	0.883652430044183	0	0	0	0	0	0	0	0	0.441826215022091	1.32547864506627	0.294550810014728	0	0.294550810014728	5.00736377025037	0	0	0	0	0.147275405007364	0	0.147275405007364	0	0	0	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	220	"AWI"	220	86	714	440	0	0.383877159309021	0	1.53550863723608	0.191938579654511	0.191938579654511	8.25335892514395	0	0.191938579654511	0	0	0	0	0	0	77.9270633397313	0.383877159309021	0.191938579654511	0	0	0.575815738963532	0	0	0.767754318618042	0.191938579654511	1.34357005758157	0.383877159309021	0	0.191938579654511	0	0	0	0	0	0.191938579654511	1.72744721689059	0.575815738963532	0	0	4.41458733205374	0	0	0	0	0.191938579654511	0	0.191938579654511	0	0	0	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	240	"AWI"	240	394	942	675	0	0.824175824175824	0	1.0989010989011	0	0.549450549450549	0	0	0.274725274725275	0.274725274725275	0	0.549450549450549	0	0	0	84.0659340659341	0.549450549450549	0.274725274725275	0	0	0.274725274725275	0	0	0	0	3.2967032967033	0	0	0	0	0	0	0	0	0.824175824175824	0.549450549450549	0.549450549450549	0	0.274725274725275	4.67032967032967	0	0	0	0	0.549450549450549	0.274725274725275	0	0	0	0	0	0.274725274725275	0
1642	1697	"Mangrove Lake"	32.3	-64.75	260	"AWI"	260	754	1130	910	0.153139356814701	0	0	0	0	0	0	0	0	0	0	2.45022970903522	0	0	0.612557427258806	92.0367534456355	0	0.153139356814701	0	0	0.306278713629403	0	0	0.153139356814701	0	1.07197549770291	0	0	0	0	0	0	0	0.153139356814701	0.306278713629403	0	0	0	0.153139356814701	1.53139356814701	0	0	0	0	0.918836140888208	0	0	0	0	0	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	280	"AWI"	280	836	1577	1141	0	0	0	0	0	0	0	0	0	0	0	1.4336917562724	0	0	0.3584229390681	84.9462365591398	0	0.3584229390681	0	0	0.3584229390681	0	0	0.3584229390681	0	2.5089605734767	0	0	0	0	0	0.716845878136201	0	0	0.716845878136201	0	0.716845878136201	0	0	4.6594982078853	0	0	0	0	2.1505376344086	0	0	0	0	0.716845878136201	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	300	"AWI"	300	966	1761	1349	0	0	0	0	0	0.355239786856128	0	0	0	0	0	1.24333925399645	0	0	0	91.1190053285968	0.177619893428064	0	0	0	0.88809946714032	0	0	0	0	1.24333925399645	0	0	0	0	0	0	0	0	0.532859680284192	0	0	0	0.88809946714032	2.66429840142096	0	0	0	0	0.88809946714032	0	0	0	0	0	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	312	"AWI"	312	1006	1954	1459	0	0	0	0	0	0.257400257400257	0	0	0	0	0	0.772200772200772	0	0	0	92.7927927927928	0	0	0	0	0.257400257400257	0	0	0	0	0.643500643500644	0	0	0	0	0.257400257400257	0.257400257400257	0	0	0.257400257400257	0	0	0	1.54440154440154	1.8018018018018	0	0	0	0	1.02960102960103	0	0.128700128700129	0	0	0	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	340	"AWI"	340	1194	2336	1714	0	0	0	0	0	0	0	0	0	0	0	0.199600798403194	0	0	0	99.001996007984	0	0	0	0	0	0	0	0	0	0.199600798403194	0	0	0	0	0	0	0	0	0	0	0	0	0	0.399201596806387	0	0	0	0	0.199600798403194	0	0	0	0	0	0	0	0
1642	1697	"Mangrove Lake"	32.3	-64.75	360	"AWI"	360	1341	2442	1914	0	0	0	0	0	0.379506641366224	0	0	0.284629981024668	0.094876660341556	0	0.189753320683112	0	0	0.379506641366224	88.1404174573055	0	0	0	0	5.31309297912714	0	0	0	0	0.94876660341556	0	0	0	0	0	0.189753320683112	0.094876660341556	0.094876660341556	0.569259962049336	0	0	0	0.569259962049336	1.99240986717268	0	0	0	0	0.759013282732448	0	0	0	0	0	0	0	0
