"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Larix"	"Onagraceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"
1504	1542	"Berelyekh River"	63.28333	147.75	0	"AWI"	0	823	1038	931	9	1	0	155	1	0	1	8	5	1	2	41	7	2	0	0	1
1504	1542	"Berelyekh River"	63.28333	147.75	35	"AWI"	35	1511	5524	3435	31	0	0	84	2	0	0	8	30	1	1	63	9	0	1	0	1
1504	1542	"Berelyekh River"	63.28333	147.75	60	"AWI"	60	5408	6084	5716	54	2	0	48	0	0	0	48	21	1	0	137	20	0	1	0	2
1504	1542	"Berelyekh River"	63.28333	147.75	90	"AWI"	90	8483	11475	10637	59	1	0	190	2	0	0	12	59	0	1	74	19	0	1	0	1
1504	1542	"Berelyekh River"	63.28333	147.75	100	"AWI"	100	9414	13663	12522	55	7	0	228	9	0	1	25	36	0	1	1	63	0	6	0	9
1504	1542	"Berelyekh River"	63.28333	147.75	113	"AWI"	113	10433	14067	13068	5	2	0	114	0	0	1	40	0	0	0	1	42	0	1	3	4
1504	1542	"Berelyekh River"	63.28333	147.75	170	"AWI"	170	12996	15896	14431	7	5	3	168	1	1	2	39	1	0	1	1	47	1	5	0	7
1504	1542	"Berelyekh River"	63.28333	147.75	180	"AWI"	180	13218	16131	14660	0	25	3	1	13	2	32	55	0	0	1	0	125	0	3	0	2
1504	1542	"Berelyekh River"	63.28333	147.75	200	"AWI"	200	13486	16933	15080	1	73	20	2	1	1	31	21	0	0	0	1	113	0	0	0	0
1504	1542	"Berelyekh River"	63.28333	147.75	220	"AWI"	220	13841	17463	15497	29	42	8	37	8	0	9	17	6	0	0	4	66	0	0	0	1
1504	1542	"Berelyekh River"	63.28333	147.75	240	"AWI"	240	14126	18181	15903	19	24	4	29	1	0	6	20	2	0	0	7	38	0	0	5	0
1504	1542	"Berelyekh River"	63.28333	147.75	260	"AWI"	260	14496	18699	16341	16	43	5	50	1	0	5	24	10	0	0	15	23	0	0	10	2
1504	1542	"Berelyekh River"	63.28333	147.75	280	"AWI"	280	14825	19309	16758	22	11	4	25	0	0	1	11	4	0	0	1	7	0	0	0	1
1504	1542	"Berelyekh River"	63.28333	147.75	300	"AWI"	300	15108	19929	17202	11	2	0	21	0	0	0	2	0	0	0	6	8	0	0	0	0
1504	1542	"Berelyekh River"	63.28333	147.75	320	"AWI"	320	15491	20481	17626	18	4	0	14	0	0	4	10	1	0	0	1	5	0	0	0	0
1504	1542	"Berelyekh River"	63.28333	147.75	340	"AWI"	340	15822	21015	18042	6	5	0	12	0	0	0	2	0	0	0	2	6	0	1	0	0
1504	1542	"Berelyekh River"	63.28333	147.75	380	"AWI"	380	16512	21984	18919	51	1	0	219	9	0	0	20	53	0	1	37	16	0	5	5	2
1504	1542	"Berelyekh River"	63.28333	147.75	420	"AWI"	420	17217	22916	19782	46	13	0	195	1	0	1	26	28	0	1	24	33	1	0	0	3
1504	1542	"Berelyekh River"	63.28333	147.75	460	"AWI"	460	17939	23999	20641	56	1	0	161	0	0	0	12	57	1	0	84	23	1	0	5	9
1504	1542	"Berelyekh River"	63.28333	147.75	505	"AWI"	505	18766	25149	21611	60	5	0	220	0	0	0	30	82	1	1	98	33	1	0	0	4
