"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Ulmus"
1550	1591	"Lake EC1"	56.28333	-75.1	0	"AWI"	0	-138	31	-63	0	0	94	4	3	9	110	0	0	0	3	30	0	0	4	0	0	1	0	5	1	0	0	549	18	0	0	4	0	0	2	0	0	3	0
1550	1591	"Lake EC1"	56.28333	-75.1	1	"AWI"	1	-79	292	67	0	0	102	5	14	13	103	0	0	0	6	23	0	0	5	0	0	2	0	1	1	0	0	314	0	0	0	2	0	1	2	0	0	3	0
1550	1591	"Lake EC1"	56.28333	-75.1	2	"AWI"	2	-53	623	191	0	0	102	7	9	8	104	0	0	0	5	24	0	0	3	0	0	0	0	1	1	1	0	350	25	0	0	5	0	0	0	0	0	3	0
1550	1591	"Lake EC1"	56.28333	-75.1	3	"AWI"	3	-36	959	314	0	0	102	1	2	6	98	0	0	0	7	28	0	0	2	1	0	1	0	1	2	0	0	405	18	0	0	7	0	0	1	0	0	3	2
1550	1591	"Lake EC1"	56.28333	-75.1	4	"AWI"	4	-19	1301	439	1	0	70	1	5	2	81	0	0	0	3	17	0	0	6	0	0	4	0	3	0	0	1	382	14	0	1	5	0	0	0	0	1	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	5	"AWI"	5	-4	1642	564	0	0	81	0	4	0	62	0	0	2	10	17	0	0	8	0	0	2	0	0	1	0	1	369	29	0	0	10	0	1	1	0	0	2	0
1550	1591	"Lake EC1"	56.28333	-75.1	6	"AWI"	6	145	1719	714	0	0	71	2	3	0	71	0	0	0	8	22	0	0	5	0	0	4	0	0	1	0	1	347	0	0	0	3	0	1	0	0	0	0	0
1550	1591	"Lake EC1"	56.28333	-75.1	7	"AWI"	7	234	1803	883	0	0	83	0	4	0	85	0	0	0	11	25	0	0	2	0	0	3	0	4	3	0	1	388	21	1	0	6	0	0	0	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	8	"AWI"	8	304	1912	1049	0	0	0	1	6	0	67	0	0	1	3	16	0	1	7	0	0	3	0	2	0	0	1	357	17	0	0	2	0	0	3	0	0	7	0
1550	1591	"Lake EC1"	56.28333	-75.1	9	"AWI"	9	358	2056	1206	0	1	79	0	3	3	51	0	0	0	8	18	0	0	3	0	0	4	0	3	0	1	1	400	0	0	0	5	0	0	1	0	0	0	0
1550	1591	"Lake EC1"	56.28333	-75.1	10	"AWI"	10	408	2258	1352	1	0	65	0	4	0	58	0	0	0	3	6	0	0	1	0	0	0	0	1	1	0	0	455	20	0	0	5	0	0	0	0	0	2	0
1550	1591	"Lake EC1"	56.28333	-75.1	12	"AWI"	12	930	2343	1647	1	0	70	0	5	3	67	0	0	0	3	22	0	0	3	0	0	3	0	1	0	0	0	480	0	0	0	6	0	0	0	0	0	0	0
1550	1591	"Lake EC1"	56.28333	-75.1	14	"AWI"	14	1238	2486	1967	0	1	57	1	5	0	45	0	0	0	8	9	0	0	5	0	0	0	0	0	0	0	0	442	0	0	0	5	0	0	1	0	0	0	0
1550	1591	"Lake EC1"	56.28333	-75.1	15	"AWI"	15	1342	2628	2125	0	0	0	0	2	0	54	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	579	0	0	0	3	0	0	0	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	18	"AWI"	18	1786	2746	2360	0	1	68	1	1	0	45	0	0	0	6	8	0	0	1	0	0	0	0	1	2	0	0	430	9	0	0	0	0	1	1	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	20	"AWI"	20	1948	2910	2510	0	0	523	0	15	7	230	0	0	2	2	1	0	0	12	0	1	1	0	13	8	1	5	1249	36	0	0	13	0	0	1	0	0	7	1
1550	1591	"Lake EC1"	56.28333	-75.1	25	"AWI"	25	2341	3105	2760	0	0	85	3	5	0	60	0	0	0	3	5	0	0	3	0	0	0	0	0	2	0	2	377	13	0	0	1	0	0	1	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	30	"AWI"	30	2612	3410	3010	0	0	72	0	4	0	37	0	0	2	1	3	0	0	6	1	0	1	1	1	2	0	0	432	0	0	0	3	0	0	0	0	0	1	2
1550	1591	"Lake EC1"	56.28333	-75.1	33	"AWI"	33	2753	3586	3164	0	0	76	0	0	0	50	0	0	0	8	4	0	0	2	0	0	0	0	3	0	0	1	347	12	0	0	1	0	0	0	0	0	0	0
1550	1591	"Lake EC1"	56.28333	-75.1	40	"AWI"	40	3017	4075	3508	0	0	155	0	5	4	72	0	0	0	18	7	0	0	5	0	2	0	0	2	2	0	0	496	18	0	1	7	0	0	0	0	0	1	1
1550	1591	"Lake EC1"	56.28333	-75.1	45	"AWI"	45	3241	4333	3769	1	0	141	0	6	0	71	0	0	0	14	3	0	0	5	0	0	0	0	0	1	1	0	553	0	0	0	5	0	0	0	0	0	0	0
1550	1591	"Lake EC1"	56.28333	-75.1	50	"AWI"	50	3482	4568	4017	0	0	141	0	4	7	53	0	0	0	2	1	0	0	1	0	0	0	0	1	3	0	1	429	0	0	0	6	0	1	1	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	55	"AWI"	55	3731	4866	4280	0	0	186	1	2	0	95	0	0	0	7	0	0	0	1	0	0	0	0	5	3	0	0	522	0	0	0	3	0	2	0	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	60	"AWI"	60	3924	5196	4522	0	0	256	0	8	4	73	0	0	1	5	3	0	0	4	0	1	0	0	0	1	0	0	274	13	0	0	5	0	0	0	0	0	2	0
1550	1591	"Lake EC1"	56.28333	-75.1	65	"AWI"	65	4129	5484	4776	0	0	222	0	9	5	73	0	0	0	2	2	0	0	5	0	0	0	0	1	4	0	0	322	0	0	0	0	0	0	0	0	0	1	1
1550	1591	"Lake EC1"	56.28333	-75.1	70	"AWI"	70	4347	5745	5034	0	0	283	1	3	2	85	0	0	0	2	2	0	0	5	0	0	0	0	1	3	0	0	373	0	0	0	0	0	0	1	0	0	1	1
1550	1591	"Lake EC1"	56.28333	-75.1	75	"AWI"	75	4583	5995	5292	0	0	242	0	0	2	88	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	449	0	0	0	4	0	0	1	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	80	"AWI"	80	4822	6212	5552	0	0	350	0	6	0	75	0	0	1	4	11	0	0	1	0	0	0	0	1	2	0	1	334	0	0	0	13	0	0	0	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	85	"AWI"	85	5103	6421	5813	0	0	0	2	4	5	59	0	0	0	0	8	0	0	2	0	0	0	0	1	0	0	0	380	0	0	0	2	0	0	0	0	0	1	0
1550	1591	"Lake EC1"	56.28333	-75.1	90	"AWI"	90	5399	6616	6079	0	0	288	0	2	0	58	0	1	0	0	0	0	0	0	0	1	0	0	7	1	0	0	244	0	1	0	5	0	0	0	0	0	1	1
1550	1591	"Lake EC1"	56.28333	-75.1	95	"AWI"	95	5743	6799	6333	0	0	258	4	5	0	108	0	0	0	2	8	0	0	1	0	0	0	0	18	0	0	0	236	10	0	0	16	0	0	2	0	0	1	1
1550	1591	"Lake EC1"	56.28333	-75.1	100	"AWI"	100	6187	6977	6573	0	0	186	3	9	5	272	0	0	0	18	33	0	0	9	0	1	1	0	8	0	0	0	227	0	0	0	14	0	0	0	0	0	5	0
1550	1591	"Lake EC1"	56.28333	-75.1	103	"AWI"	103	6296	7212	6709	0	0	115	2	5	11	151	1	0	1	4	25	1	0	11	0	1	0	0	7	1	1	0	224	0	0	0	17	0	4	1	0	0	10	0
1550	1591	"Lake EC1"	56.28333	-75.1	107	"AWI"	107	6425	7555	6884	0	0	0	2	2	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	6	0	0	0	0	0	7	0
