"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Quercus"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
1541	1581	"Lake 27"	45.06667	-84.78333	12	"AWI"	12	-11	253	108	2	0	1	0	2	2	36	0	1	0	20	2	0	0	2	2	142	2	2	24	0	1	63	20
1541	1581	"Lake 27"	45.06667	-84.78333	16	"AWI"	16	30	328	168	0	0	4	0	0	1	25	0	0	0	9	3	0	0	3	0	0	0	0	10	1	1	27	6
1541	1581	"Lake 27"	45.06667	-84.78333	20	"AWI"	20	63	413	227	0	0	1	1	2	0	39	1	3	0	24	2	0	0	0	2	121	0	1	20	0	3	63	13
1541	1581	"Lake 27"	45.06667	-84.78333	24	"AWI"	24	114	468	287	0	0	4	0	2	0	19	1	0	0	10	1	0	0	1	2	0	0	1	8	0	1	31	7
1541	1581	"Lake 27"	45.06667	-84.78333	28	"AWI"	28	169	534	346	1	16	2	1	1	1	40	1	3	0	9	2	10	0	1	3	0	2	1	10	0	1	60	12
1541	1581	"Lake 27"	45.06667	-84.78333	32	"AWI"	32	225	604	405	0	0	2	0	0	2	18	1	3	0	6	0	0	1	0	4	0	0	0	17	2	3	47	14
1541	1581	"Lake 27"	45.06667	-84.78333	36	"AWI"	36	284	663	463	0	0	2	0	0	5	38	1	1	0	6	4	2	1	1	2	0	0	1	11	1	2	37	16
1541	1581	"Lake 27"	45.06667	-84.78333	40	"AWI"	40	342	730	524	0	0	4	1	3	1	43	3	0	0	10	2	0	0	0	7	168	0	1	26	0	2	44	28
1541	1581	"Lake 27"	45.06667	-84.78333	44	"AWI"	44	417	784	582	0	0	0	0	2	0	43	0	1	1	6	6	1	0	0	1	130	1	3	13	0	1	57	25
1541	1581	"Lake 27"	45.06667	-84.78333	48	"AWI"	48	510	841	634	1	30	2	0	0	3	32	1	3	0	9	1	0	1	2	8	106	0	0	18	1	1	47	19
1541	1581	"Lake 27"	45.06667	-84.78333	57	"AWI"	57	645	1078	806	0	0	1	1	1	1	45	1	3	1	18	3	4	0	1	2	107	0	4	15	3	3	32	23
1541	1581	"Lake 27"	45.06667	-84.78333	65	"AWI"	65	751	1369	992	0	0	2	0	1	1	76	2	2	0	22	2	12	0	4	0	108	1	2	15	0	0	39	21
1541	1581	"Lake 27"	45.06667	-84.78333	73	"AWI"	73	879	1606	1179	0	0	0	0	4	3	63	0	0	0	15	2	1	0	1	1	0	1	2	26	0	4	37	29
1541	1581	"Lake 27"	45.06667	-84.78333	81	"AWI"	81	1019	1832	1369	1	0	8	0	1	1	38	1	2	0	17	2	13	0	5	1	76	0	0	17	1	0	57	17
1541	1581	"Lake 27"	45.06667	-84.78333	89	"AWI"	89	1164	2045	1562	1	26	8	0	4	1	49	2	2	0	25	3	15	4	4	3	76	1	1	13	0	1	65	19
1541	1581	"Lake 27"	45.06667	-84.78333	97	"AWI"	97	1323	2246	1757	1	0	5	1	1	2	45	1	0	0	30	2	13	0	6	2	83	0	1	15	0	3	59	27
1541	1581	"Lake 27"	45.06667	-84.78333	105	"AWI"	105	1483	2460	1948	0	0	1	1	0	0	44	3	0	0	28	1	7	0	1	3	69	2	0	10	0	2	77	22
1541	1581	"Lake 27"	45.06667	-84.78333	113	"AWI"	113	1656	2633	2144	0	0	8	0	1	2	61	0	1	0	22	4	10	0	2	3	70	0	1	15	1	2	65	13
1541	1581	"Lake 27"	45.06667	-84.78333	121	"AWI"	121	1830	2824	2329	0	0	1	1	4	1	49	0	1	0	16	4	1	0	1	0	90	0	2	19	1	0	71	20
1541	1581	"Lake 27"	45.06667	-84.78333	129	"AWI"	129	2016	3003	2524	0	0	4	1	0	2	31	0	1	2	29	2	11	0	2	2	74	2	0	13	0	3	61	29
1541	1581	"Lake 27"	45.06667	-84.78333	137	"AWI"	137	2213	3179	2716	0	0	5	0	4	2	33	3	2	0	31	2	4	0	3	0	101	1	0	14	0	0	70	17
1541	1581	"Lake 27"	45.06667	-84.78333	145	"AWI"	145	2403	3356	2907	0	0	2	1	2	0	47	2	2	0	20	5	21	0	1	2	93	1	0	21	0	5	48	15
1541	1581	"Lake 27"	45.06667	-84.78333	153	"AWI"	153	2625	3511	3100	0	0	4	1	2	2	59	1	1	0	38	4	10	2	1	1	74	0	0	11	0	1	52	19
1541	1581	"Lake 27"	45.06667	-84.78333	169	"AWI"	169	3084	3822	3466	0	28	2	0	2	2	47	1	2	1	32	3	10	0	6	1	111	0	1	24	0	5	40	20
