"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Portulacaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Urticaceae"	"Violaceae"
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	0	"AWI"	0	-143	14	-60	88	0	1	3	5	67	7	0	2	46	0	26	1	16	0	1	0	1	0	77	1	0	0	4	0	0	1	9	0	0	1	0	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	30	"AWI"	30	7	264	124	157	1	0	1	0	130	1	0	3	24	0	10	1	3	0	0	4	1	0	53	1	0	0	1	0	0	1	17	0	0	1	0	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	50	"AWI"	50	111	407	248	133	0	0	8	3	40	1	0	5	24	0	40	0	3	0	0	0	1	0	27	0	0	0	1	0	0	1	5	0	0	1	4	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	80	"AWI"	80	280	609	434	84	2	2	7	4	127	0	0	1	48	0	28	0	5	0	0	3	1	0	78	0	0	0	1	0	0	1	13	0	0	1	2	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	125	"AWI"	125	568	895	710	107	1	0	10	0	138	2	0	6	31	0	23	1	3	1	1	6	0	0	52	0	0	0	1	0	0	0	8	1	0	1	0	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	175	"AWI"	175	870	1247	1042	84	0	1	12	3	163	1	0	1	29	0	25	0	3	1	0	4	0	0	71	0	0	0	1	0	0	0	8	1	0	0	0	1
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	225	"AWI"	225	1204	1588	1366	70	1	0	6	2	138	2	0	3	19	0	28	0	4	1	0	8	1	59	55	0	0	0	2	0	0	0	0	1	0	0	0	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	300	"AWI"	300	1668	2238	1923	85	1	1	3	0	126	0	0	1	31	0	28	0	9	0	1	5	2	61	48	0	0	0	1	0	0	0	9	1	0	1	0	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	380	"AWI"	380	2178	2905	2515	84	0	0	10	2	160	0	0	2	27	0	23	0	1	0	1	4	0	0	67	0	0	1	1	0	0	1	16	0	1	1	0	0
255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.58333	440	"AWI"	440	2569	3389	2958	81	1	2	7	2	136	0	0	1	19	1	15	0	1	1	1	3	1	16	55	0	0	0	3	7	0	0	10	3	0	0	1	0
