"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Liquidambar"	"Liriodendron"	"Magnolia"	"Morus"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Rhamnaceae"	"Rhus"	"Rosaceae"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Taxodium"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
321	328	"Cahaba Pond"	33.5	-86.53333	0	"AWI"	0	-109	58	-16	0	0	1	0	0	1	0	0	1	4	0	0	2	2	0	0	0	0	0	0	0	0	7	0	0	0	31	0	0	0	24	0	3	0	0	0	1	5	0	0	0	64	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	134	"AWI"	134	666	1210	839	0	0	0	0	0	0	0	0	0	7	0	11	0	10	0	0	0	0	0	2	0	0	6	0	0	0	8	0	2	0	147	0	1	0	0	0	0	2	0	0	0	84	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	140	"AWI"	140	707	1260	883	0	0	0	0	0	0	0	0	0	4	0	12	0	12	0	0	5	0	4	2	0	0	9	0	0	0	13	0	0	0	133	0	0	0	0	0	0	1	0	0	0	77	0	0	0	4	0	0	3	1	0	0	0	1	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	150	"AWI"	150	837	1504	1130	0	0	0	0	0	0	0	0	0	4	0	10	1	0	0	0	0	0	4	2	0	0	15	0	0	0	10	0	0	1	160	0	3	0	0	0	0	3	0	0	0	83	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	160	"AWI"	160	1157	1744	1399	0	1	0	0	0	0	1	0	0	9	0	6	0	4	0	0	0	0	0	0	0	0	13	0	0	0	11	0	2	0	207	0	1	0	0	0	0	2	0	0	0	67	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	170	"AWI"	170	1509	2058	1756	0	0	0	0	0	2	0	0	0	8	0	10	0	0	1	0	0	0	0	1	0	0	7	0	0	0	9	0	0	0	181	0	0	0	0	0	0	2	0	0	0	69	0	0	2	5	0	0	0	0	0	1	0	0	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	180	"AWI"	180	1709	2969	2177	0	0	0	0	0	0	0	0	0	6	0	13	0	3	0	0	0	0	0	3	0	0	13	0	0	0	15	0	0	0	204	0	1	0	0	0	0	1	1	0	0	116	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	190	"AWI"	190	1982	3212	2683	0	0	0	0	0	1	0	0	0	6	0	16	0	5	0	0	0	2	0	1	0	0	10	0	0	0	10	0	0	0	231	0	0	0	37	0	0	1	0	0	0	86	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
321	328	"Cahaba Pond"	33.5	-86.53333	200	"AWI"	200	2773	3478	3084	0	0	0	0	0	0	0	0	0	9	0	8	0	1	1	0	0	0	0	1	0	0	18	0	0	0	19	0	0	0	297	0	0	0	0	0	0	1	0	0	0	105	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0
321	328	"Cahaba Pond"	33.5	-86.53333	210	"AWI"	210	5349	5838	5642	0	1	0	0	0	0	0	0	0	6	0	0	3	11	1	0	1	4	0	1	5	0	17	0	0	0	9	1	0	0	62	0	1	0	0	0	1	8	0	0	0	155	0	0	89	3	0	0	1	0	0	0	0	5	0	0	0
