"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
839	867	"Gel'myazevskoye"	49.66667	31.83333	12	"AWI"	12	-3	668	251	0	0	8	1	4	2	4	1	0	1	2	1	0	0	2	1	0	0	0	1	0	1	0	77	1	0	3	2	11	0	1	2	0	4	2	2
839	867	"Gel'myazevskoye"	49.66667	31.83333	25	"AWI"	25	278	1037	636	0	3	6	0	8	1	5	0	0	0	3	3	0	0	2	1	0	0	0	0	1	0	0	66	0	1	4	0	15	2	3	1	2	7	3	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	37	"AWI"	37	613	1260	997	1	5	4	1	3	0	4	1	0	0	4	1	1	1	0	2	0	0	0	2	0	3	0	66	0	0	3	0	14	0	2	1	1	5	0	2
839	867	"Gel'myazevskoye"	49.66667	31.83333	50	"AWI"	50	1236	1440	1333	1	5	2	0	2	0	6	0	0	1	5	1	0	0	2	0	0	1	0	0	0	1	0	74	0	0	2	1	8	2	2	0	1	4	1	1
839	867	"Gel'myazevskoye"	49.66667	31.83333	62	"AWI"	62	1382	1804	1549	0	4	1	2	1	1	7	1	0	0	8	0	1	2	1	2	0	0	0	1	0	0	0	76	0	0	3	2	8	0	2	0	0	2	1	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	75	"AWI"	75	1535	2052	1778	0	9	2	0	3	2	14	0	0	1	12	2	0	0	0	1	0	0	1	0	0	1	0	66	1	0	1	1	5	0	2	2	1	2	2	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	87	"AWI"	87	1726	2251	1986	1	6	1	0	5	3	9	1	0	0	11	0	1	2	1	0	1	0	0	0	1	2	0	72	0	0	3	0	9	0	2	2	0	0	1	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	100	"AWI"	100	2001	2479	2232	0	7	2	0	4	0	10	0	0	0	16	2	0	1	0	1	1	0	0	0	0	1	1	73	0	0	5	0	3	0	2	0	1	1	3	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	125	"AWI"	125	2535	3400	2964	0	8	4	0	3	1	13	2	1	0	7	0	0	0	2	1	0	2	1	0	0	1	0	69	1	0	4	1	3	0	1	0	2	2	2	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	150	"AWI"	150	3476	3964	3722	0	17	5	0	2	2	8	0	0	0	4	0	0	0	2	0	2	0	0	0	0	0	0	65	0	0	3	0	4	1	2	0	0	3	3	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	175	"AWI"	175	4008	4828	4398	0	15	7	0	4	1	4	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	75	0	0	2	0	2	0	0	0	2	1	2	1
839	867	"Gel'myazevskoye"	49.66667	31.83333	200	"AWI"	200	4809	5403	5077	1	9	4	0	5	1	7	0	0	0	3	0	0	0	3	0	0	0	0	1	0	0	1	78	0	0	4	0	2	0	2	0	0	0	2	0
839	867	"Gel'myazevskoye"	49.66667	31.83333	225	"AWI"	225	5520	6665	6104	1	12	5	0	7	0	6	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	71	0	0	3	0	5	0	2	1	0	2	3	0
