"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Morus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1282	"AWI"	1282	-53	74	9	1	0	28	0	0	13	0	58	0	0	2	0	0	0	0	0	4	18	25	0	0	0	0	0	5	5	0	3	0	0	4	7	134	0	22	5	23	0	5	0	1	0	0	2	5	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1300	"AWI"	1300	82	552	250	3	0	15	0	0	6	0	75	0	0	0	0	0	0	0	0	4	5	4	0	0	1	0	0	1	2	0	3	0	0	5	11	192	1	8	2	11	1	4	0	1	1	0	0	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1320	"AWI"	1320	267	926	562	2	0	18	0	0	11	0	77	0	0	0	0	0	0	0	0	3	5	5	0	0	1	0	0	5	0	0	1	0	0	4	8	163	1	3	4	16	0	3	0	0	2	1	2	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1340	"AWI"	1340	519	1249	878	7	0	23	0	0	3	0	87	0	1	0	0	0	0	0	0	3	0	7	0	0	0	0	0	2	2	3	4	0	0	13	5	133	0	12	4	18	1	0	0	0	0	0	8	2	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1350	"AWI"	1350	667	1369	1038	9	0	8	0	0	5	0	65	0	0	0	0	0	0	0	0	2	7	3	0	0	0	0	0	2	2	0	2	0	0	5	6	151	1	5	5	11	1	2	0	2	1	0	2	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1355	"AWI"	1355	762	1412	1113	3	0	13	0	0	7	0	64	0	0	0	0	0	0	0	0	1	12	1	0	0	0	0	0	0	1	0	1	0	0	6	6	138	0	4	12	16	0	2	0	0	1	0	3	2	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1360	"AWI"	1360	821	1484	1193	1	0	19	0	0	4	0	58	0	0	0	0	0	0	0	0	3	5	9	0	0	0	0	0	3	2	0	3	0	0	1	7	89	0	5	6	110	0	1	0	0	1	0	0	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1365	"AWI"	1365	946	1526	1269	5	0	22	0	0	8	0	54	0	0	0	0	0	1	0	0	5	1	8	0	0	0	0	0	6	2	0	3	0	0	7	0	177	1	9	10	16	0	6	0	0	0	0	4	0	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1370	"AWI"	1370	1026	1597	1346	0	0	13	0	0	3	0	53	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	4	1	0	4	0	0	5	3	145	2	4	10	6	0	2	0	0	1	0	2	2	0
1590	1639	"Little Bass Lake"	47.284892	-93.601798	1380	"AWI"	1380	1319	1697	1480	3	0	21	0	1	4	0	56	0	0	0	0	0	0	0	0	2	12	5	0	0	1	0	0	5	3	0	1	0	0	7	11	185	0	6	3	19	2	2	0	0	0	0	5	1	0
