"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acacia"	"Amaranthaceae (<20 µm)"	"Amaranthaceae (>20 µm)"	"Angophora"	"Apiaceae"	"Asphodelaceae"	"Asteliaceae"	"Asteraceae"	"Atherosperma"	"Banksia"	"Bossiaea"	"Brassicaceae"	"Bursaria"	"Callitris"	"Campanulaceae"	"Caryophyllaceae"	"Casuarina"	"Connaraceae"	"Cyperaceae"	"Dodonaea"	"Elaeocarpaceae"	"Ericales"	"Eriostemon"	"Eucalyptus"	"Fabaceae"	"Gentianaceae"	"Grevillea"	"Gyrostemonaceae"	"Hakea"	"Hibbertia"	"Indeterminable"	"Kunzea"	"Lamiaceae"	"Leptospermum"	"Lomatia"	"Loranthaceae"	"Myoporaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Poaceae (<20 µm)"	"Poaceae (>35 µm)"	"Poaceae (>40 µm)"	"Poaceae (20-25 µm)"	"Poaceae (25-30 µm)"	"Poaceae (30-35 µm)"	"Podocarpus"	"Polyscias"	"Pomaderris"	"Ranunculaceae"	"Restionaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Stylidiaceae"	"Thymelaeaceae"	"Tsuga"	"Urticaceae"	"Winteraceae"	"Xyridaceae"
279	285	"Blue Lake"	-36.41667	148.31667	20	"AWI"	20	22	488	200	0	3.06748466257669	1.22699386503067	0	0	0	0.613496932515337	0	0	0	0	0	0.613496932515337	0	0	0	3.06748466257669	0	4.9079754601227	1.22699386503067	0	0	0	26.9938650306748	0	0	0	0	0	0	1.84049079754601	0.613496932515337	0	0.613496932515337	0	0	0	0	0	0	0	1.84049079754601	0	1.84049079754601	0	4.9079754601227	11.0429447852761	7.36196319018405	0.613496932515337	0	1.84049079754601	0.613496932515337	2.45398773006135	0	0	0	0	0	0	22.6993865030675	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	39	"AWI"	39	119	664	363	0	0.985221674876847	1.97044334975369	0	0	0	1.47783251231527	0	0	0	0	0	0	1.47783251231527	0	0.492610837438424	2.95566502463054	0	7.88177339901478	1.47783251231527	0	0	0	18.7192118226601	0	0	0	0	0	0	5.91133004926108	0	0	0.492610837438424	0	0	0	0	0	0	0	5.91133004926108	0	1.47783251231527	0	3.94088669950739	9.85221674876847	7.38916256157635	0	0	0.985221674876847	0.492610837438424	0	0	0	0	0.492610837438424	0	0	25.615763546798	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	59	"AWI"	59	242	802	537	0	1.14285714285714	2.28571428571429	0	0	0	1.14285714285714	0	0	0	0	0	0	0.571428571428571	0	0	1.14285714285714	0	4	0.571428571428571	0	0	0	20	0	0	0	0	0	0	1.71428571428571	1.14285714285714	0	2.28571428571429	0	0	0.571428571428571	0	0	0.571428571428571	0	4	0	0.571428571428571	0	4	10.8571428571429	5.71428571428571	0.571428571428571	0	0.571428571428571	0.571428571428571	2.85714285714286	0	0	0	0	0	0	33.1428571428571	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	78	"AWI"	78	434	905	698	0	3.59712230215827	1.43884892086331	0	0	0	0.719424460431655	0	0	0	0	0	0	0.719424460431655	0	0	0.719424460431655	0	2.15827338129496	0	0	0	0	30.2158273381295	0	0	0	0	0	0	7.19424460431655	0	0	0	0	0	0	0	0.719424460431655	0	0	12.2302158273381	0	1.43884892086331	0	10.7913669064748	12.2302158273381	10.7913669064748	0.719424460431655	0	1.43884892086331	0	0	0	0	0	0.719424460431655	0	0	2.15827338129496	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	97	"AWI"	97	756	1254	956	0	2.46913580246914	4.11522633744856	0.411522633744856	2.46913580246914	0	0.411522633744856	0	0	0	0	0.411522633744856	0	0.411522633744856	0	0	1.64609053497942	0	1.64609053497942	0.411522633744856	0	0	0	30.4526748971193	0	0	0	0	0	0	4.93827160493827	0.411522633744856	0	2.46913580246914	0	0	0	0	0.411522633744856	0.823045267489712	0	3.29218106995885	0.411522633744856	1.23456790123457	0	6.17283950617284	13.5802469135802	5.76131687242798	0.411522633744856	0	0	0.411522633744856	0.411522633744856	0	0	0	0	0	0	14.40329218107	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	116	"AWI"	116	983	1796	1388	0.409836065573771	2.04918032786885	2.45901639344262	0	4.0983606557377	0	0	0	0	0	0	0.409836065573771	0	0.409836065573771	0	0	2.04918032786885	0	3.68852459016393	0	0	0	0	28.2786885245902	0	0.409836065573771	0	0.409836065573771	0.409836065573771	0	5.32786885245902	0.409836065573771	0	0.819672131147541	0	0	0	0	0	0	0	18.4426229508197	0	4.91803278688525	0	4.50819672131148	8.60655737704918	10.655737704918	0	0	0	0	0.409836065573771	0	0	0	0	0.409836065573771	0	0	0	0.409836065573771	0
279	285	"Blue Lake"	-36.41667	148.31667	135	"AWI"	135	1489	2248	1828	0	2.57234726688103	2.57234726688103	0	4.82315112540193	0	0.321543408360129	0	0	0	0	0.643086816720257	0	0.321543408360129	0	0	4.5016077170418	0	9.64630225080386	0	0	0	0.643086816720257	25.7234726688103	0	0	0	0	0	0	4.82315112540193	0.321543408360129	0	2.2508038585209	0	0	0	0	0	0	0	9.32475884244373	0	8.36012861736334	0.321543408360129	2.57234726688103	5.78778135048232	11.2540192926045	0	0	0	0	2.57234726688103	0	0	0	0	0	0	0	0	0.643086816720257	0
279	285	"Blue Lake"	-36.41667	148.31667	154	"AWI"	154	2022	2594	2229	0.324675324675325	2.27272727272727	2.92207792207792	0	0	0	0.649350649350649	0	0	0	0	0.649350649350649	0.324675324675325	1.94805194805195	0	0	3.24675324675325	0	2.92207792207792	0.324675324675325	0	0	0.324675324675325	31.8181818181818	0	0	0	0	0	0	6.16883116883117	0.649350649350649	0	1.62337662337662	0.649350649350649	0	0	0	0	0	0	12.012987012987	0	0.649350649350649	0	7.79220779220779	7.79220779220779	10.3896103896104	0.649350649350649	0	1.2987012987013	0.974025974025974	0.324675324675325	0	0	0	0	0	0	0.974025974025974	0.324675324675325	0	0
279	285	"Blue Lake"	-36.41667	148.31667	173	"AWI"	173	2256	3005	2578	0	7.69230769230769	1.92307692307692	0	0	0	0	0	0	0	0	0.641025641025641	0	0	0	0	2.56410256410256	0	2.56410256410256	0	0	0	0	24.3589743589744	0	0	0	0	0	0	3.2051282051282	0.641025641025641	0	3.2051282051282	0	0	0	0	0	0	0	3.2051282051282	3.84615384615385	1.92307692307692	0	16.025641025641	9.61538461538462	3.84615384615385	0	0.641025641025641	0	0.641025641025641	0.641025641025641	0	0	1.28205128205128	0	0.641025641025641	0	10.2564102564103	0	0.641025641025641	0
279	285	"Blue Lake"	-36.41667	148.31667	192	"AWI"	192	2430	3296	2877	0	1.73410404624277	2.3121387283237	0	0	0	0.578034682080925	0	0	0	0	0	0	0	0	0	1.15606936416185	0	2.3121387283237	0	0	0	0	21.9653179190751	0	0	0	0	0	0	4.6242774566474	0	0	0.578034682080925	0	0	0	0.578034682080925	0	0	0	9.2485549132948	0	2.3121387283237	0	10.4046242774566	9.2485549132948	6.9364161849711	0.578034682080925	0	0	0	0	0	0	0	0	0	0	25.4335260115607	0	0	0
