"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cactaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"
1406	1443	"Katantica"	-14.8	-69.18333	5	"AWI"	5	-112	138	-7	6	1	0	0	0	0	1	0	1	0	0	7	2	7	1	0	1	30	10	1	0
1406	1443	"Katantica"	-14.8	-69.18333	15	"AWI"	15	-49	407	104	2	0	0	0	0	0	4	2	2	0	0	7	3	55	13	2	1	75	3	1	12
1406	1443	"Katantica"	-14.8	-69.18333	25	"AWI"	25	24	625	223	1	2	0	155	0	0	24	14	6	0	1	1	1	34	18	2	20	31	4	0	5
1406	1443	"Katantica"	-14.8	-69.18333	35	"AWI"	35	109	831	336	1	0	1	0	0	0	7	0	38	0	1	63	0	2	2	0	2	50	4	0	18
1406	1443	"Katantica"	-14.8	-69.18333	45	"AWI"	45	213	1021	447	2	0	1	0	0	0	4	0	4	0	0	26	0	3	2	0	0	23	3	0	14
1406	1443	"Katantica"	-14.8	-69.18333	55	"AWI"	55	343	1213	554	1	1	0	0	0	0	13	0	6	0	0	3	0	1	2	0	0	18	1	0	2
1406	1443	"Katantica"	-14.8	-69.18333	65	"AWI"	65	562	1586	764	0	0	0	0	0	0	5	0	5	0	1	5	0	3	2	0	0	11	2	0	5
1406	1443	"Katantica"	-14.8	-69.18333	75	"AWI"	75	768	2288	1296	0	0	0	0	0	0	2	0	25	0	0	4	0	1	1	1	0	13	1	0	15
1406	1443	"Katantica"	-14.8	-69.18333	85	"AWI"	85	1127	3206	1984	0	0	2	0	0	0	6	0	1	0	1	3	0	2	3	1	0	60	1	0	0
1406	1443	"Katantica"	-14.8	-69.18333	95	"AWI"	95	1586	3813	2722	0	0	1	0	0	18	43	0	11	0	0	25	0	0	3	0	0	36	0	0	17
1406	1443	"Katantica"	-14.8	-69.18333	105	"AWI"	105	2297	4245	3470	0	0	0	105	0	8	4	0	0	0	0	17	2	0	12	0	0	16	5	0	0
1406	1443	"Katantica"	-14.8	-69.18333	115	"AWI"	115	3498	4586	4156	3	0	0	0	0	0	4	0	7	0	1	7	1	0	5	0	0	196	0	0	5
1406	1443	"Katantica"	-14.8	-69.18333	125	"AWI"	125	4303	5217	4704	0	0	0	0	0	0	7	1	5	1	0	7	17	5	30	0	0	31	6	0	4
1406	1443	"Katantica"	-14.8	-69.18333	135	"AWI"	135	4572	6116	5186	0	0	0	0	0	0	4	0	0	0	0	8	1	4	13	0	0	50	2	0	6
1406	1443	"Katantica"	-14.8	-69.18333	145	"AWI"	145	4871	6656	5683	0	0	0	0	0	0	7	0	0	0	0	4	5	43	20	0	0	55	11	1	3
1406	1443	"Katantica"	-14.8	-69.18333	155	"AWI"	155	5265	7150	6212	1	1	0	0	0	8	0	0	0	0	0	4	0	3	2	0	0	40	4	0	3
1406	1443	"Katantica"	-14.8	-69.18333	165	"AWI"	165	5715	7581	6738	0	0	0	0	2	6	1	0	0	0	1	9	0	7	4	0	0	37	0	0	0
1406	1443	"Katantica"	-14.8	-69.18333	175	"AWI"	175	6280	7931	7264	0	0	0	0	0	2	13	0	2	1	1	27	29	18	27	0	0	35	2	0	6
1406	1443	"Katantica"	-14.8	-69.18333	185	"AWI"	185	7055	8182	7744	0	0	0	0	0	0	1	0	0	0	0	11	0	60	2	0	0	8	0	0	0
1406	1443	"Katantica"	-14.8	-69.18333	190	"AWI"	190	7341	8335	7994	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	12	7	0	2
1406	1443	"Katantica"	-14.8	-69.18333	200	"AWI"	200	8115	9130	8472	0	0	0	0	0	6	20	0	4	0	1	8	19	4	25	0	0	63	9	1	8
