"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1549	1590	"Lake CH2"	49.68333	-74.58333	0	"AWI"	0	-145	24	-66	11	0	36	0	1	0	102	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	160	106	1	1	0	2	3	0	0	0	0	1	1	0	1	1	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	5	"AWI"	5	-73	311	88	5	0	41	0	1	0	102	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	0	0	153	128	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	10	"AWI"	10	-42	661	237	3	0	28	0	1	0	103	0	0	0	0	1	0	1	0	3	0	1	0	0	0	4	0	0	140.5	103	0	2	0	1	2	0	0	0	0	0	1	0	0	2	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	15	"AWI"	15	-22	1016	388	2	0	51	0	3	0	29	0	0	1	0	0	0	0	0	1	0	0	3	0	0	5	0	0	196	117.5	0	4	0	2	7	0	0	0	0	1	2	0	0	6	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	20	"AWI"	20	122	1103	559	0	0	23	0	2	0	88	0	1	0	0	1	0	3	0	1	0	0	3	0	0	3	0	0	273.5	110.5	0	1	0	0	4	0	1	0	0	0	1	0	0	2	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	25	"AWI"	25	215	1179	748	0	0	26	0	2	0	144	0	1	1	0	0	0	3	0	5	0	1	1	0	0	3	0	0	327.5	124.5	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	30	"AWI"	30	282	1311	917	0	1	23	0	3	0	87	0	0	0	0	0	0	2	0	2	0	0	1	0	0	4	0	0	247	145	0	2	0	0	1	0	0	0	0	0	0	0	2	3	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	35	"AWI"	35	557	1384	1049	0	0	28	0	7	0	84	0	0	0	0	0	1	2	0	6	0	0	1	0	0	0	0	2	279.5	108.5	0	3	0	0	3	0	0	0	0	0	0	0	0	2	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	40	"AWI"	40	824	1434	1183	0	0	32	1	2	0	71	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	1	159	91.5	0	4	0	1	4	1	0	0	0	0	1	0	0	1	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	45	"AWI"	45	974	1526	1325	1	2	38	1	2	5	111	0	0	0	1	0	1	3	0	3	0	2	3	0	0	0	1	2	288	77.5	0	2	0	0	5	0	0	0	0	0	0	0	1	6	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	50	"AWI"	50	1048	1626	1407	0	0	31	1	1	0	128	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	164	128.5	0	1	0	1	4	0	0	0	0	0	0	0	1	4	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	55	"AWI"	55	1110	1727	1464	3	0	32	2	0	0	99	4	1	0	0	2	0	0	0	3	0	1	2	0	0	5	0	2	263	108	0	1	0	0	4	0	0	0	0	0	1	0	1	1	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	60	"AWI"	60	1157	1870	1515	0	1	26	0	1	0	100	0	0	0	0	0	0	2	0	6	0	1	1	0	0	1	0	0	274.5	124.5	0	1	0	0	6	1	0	0	0	0	1	0	0	4	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	65	"AWI"	65	1219	1955	1573	3	1	17	0	4	0	108	0	1	1	0	0	0	0	0	4	0	1	0	0	0	2	0	0	184	79.5	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0
1549	1590	"Lake CH2"	49.68333	-74.58333	70	"AWI"	70	1282	2012	1639	0	0	19	0	1	0	121	0	0	0	0	0	0	1	0	7	0	2	1	0	0	3	0	0	290.5	68.5	0	1	0	4	2	0	0	0	0	0	1	0	0	1	0	0
