"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"
323	330	"Cala Conto"	-17.56667	-65.93333	250	"AWI"	250	9309	16684	12307	1.58730158730159	63.4920634920635	0	0	3.17460317460317	0	0	0	0	3.17460317460317	4.76190476190476	0	0	3.17460317460317	20.6349206349206	0
323	330	"Cala Conto"	-17.56667	-65.93333	500	"AWI"	500	9749	16998	12710	4.31034482758621	36.2068965517241	0.862068965517241	34.4827586206897	3.44827586206897	2.58620689655172	0	0	0	6.03448275862069	1.72413793103448	0.862068965517241	0	6.89655172413793	2.58620689655172	0
323	330	"Cala Conto"	-17.56667	-65.93333	1000	"AWI"	1000	10387	18011	13528	1.20481927710843	72.289156626506	0	0	0	1.20481927710843	0	3.6144578313253	0	4.81927710843374	2.40963855421687	1.20481927710843	0	4.81927710843374	7.2289156626506	1.20481927710843
323	330	"Cala Conto"	-17.56667	-65.93333	1100	"AWI"	1100	10469	18171	13682	0	56.4102564102564	0	0	1.28205128205128	0	0	0	0	3.84615384615385	0	1.28205128205128	0	7.69230769230769	29.4871794871795	0
323	330	"Cala Conto"	-17.56667	-65.93333	1500	"AWI"	1500	10812	19312	14300	5.17241379310345	53.448275862069	1.72413793103448	0	3.44827586206897	0	0	0	0	3.44827586206897	0	1.72413793103448	1.72413793103448	6.89655172413793	22.4137931034483	0
323	330	"Cala Conto"	-17.56667	-65.93333	2000	"AWI"	2000	11428	20419	15133	3.19148936170213	51.063829787234	0	0	2.12765957446809	1.06382978723404	3.19148936170213	2.12765957446809	0	12.7659574468085	13.8297872340426	0	0	3.19148936170213	7.4468085106383	0
323	330	"Cala Conto"	-17.56667	-65.93333	2500	"AWI"	2500	12093	21119	16094	4	62	0	0	2	0	0	0	0	12	0	6	0	2	12	0
323	330	"Cala Conto"	-17.56667	-65.93333	3700	"AWI"	3700	13559	23312	18311	1.42857142857143	55.7142857142857	1.42857142857143	0	4.28571428571429	0	1.42857142857143	1.42857142857143	0	7.14285714285714	0	0	0	7.14285714285714	20	0
323	330	"Cala Conto"	-17.56667	-65.93333	5000	"AWI"	5000	15441	24926	20918	3.44827586206897	24.1379310344828	0	0	3.44827586206897	0	0	6.89655172413793	0	6.89655172413793	0	3.44827586206897	0	6.89655172413793	44.8275862068966	0
323	330	"Cala Conto"	-17.56667	-65.93333	5100	"AWI"	5100	15538	25152	21124	6.12244897959184	38.7755102040816	4.08163265306122	0	0	0	0	0	0	6.12244897959184	2.04081632653061	0	0	4.08163265306122	38.7755102040816	0
323	330	"Cala Conto"	-17.56667	-65.93333	5200	"AWI"	5200	15632	25399	21323	3.33333333333333	63.3333333333333	0	0	1.66666666666667	0	0	0	1.66666666666667	1.66666666666667	3.33333333333333	0	0	1.66666666666667	23.3333333333333	0
323	330	"Cala Conto"	-17.56667	-65.93333	6000	"AWI"	6000	17865	25888	22710	5.66037735849057	32.0754716981132	0	0	0	0	0	7.54716981132075	0	11.3207547169811	0	1.88679245283019	1.88679245283019	18.8679245283019	20.7547169811321	0
323	330	"Cala Conto"	-17.56667	-65.93333	7700	"AWI"	7700	22898	27254	25670	1.58730158730159	20.6349206349206	3.17460317460317	0	0	0	0	0	0	1.58730158730159	0	7.93650793650794	1.58730158730159	23.8095238095238	39.6825396825397	0
323	330	"Cala Conto"	-17.56667	-65.93333	8000	"AWI"	8000	24288	27444	26136	7.14285714285714	32.8571428571429	2.85714285714286	0	1.42857142857143	0	0	4.28571428571429	0	21.4285714285714	0	2.85714285714286	0	14.2857142857143	12.8571428571429	0
