"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Ceanothus"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Thuja"	"Tilia"	"Tsuga"	"Ulmus"	"Verbenaceae"
1078	1111	"Hostage Lake"	46.55	-94.13333	0	"AWI"	0	-106	56	-26	0	0	2.4263431542461	2.77296360485269	3.29289428076256	0	23.050259965338	0	0	0	0	0.693240901213172	0.693240901213172	0	2.4263431542461	2.25303292894281	0	0	0	0	1.73310225303293	0.346620450606586	38.9948006932409	0.346620450606586	2.07972270363951	0	3.46620450606586	12.998266897747	0	0	0	0.346620450606586	0	0.346620450606586	0.346620450606586	0.346620450606586	0	1.03986135181976	0
1078	1111	"Hostage Lake"	46.55	-94.13333	25	"AWI"	25	52	335	193	0	0	3.52941176470588	1.17647058823529	1.17647058823529	0	5.29411764705882	0.294117647058824	0	0	0	0.588235294117647	2.5	0	1.17647058823529	1.17647058823529	0	0	0.294117647058824	0	1.47058823529412	1.17647058823529	67.2058823529412	0	2.35294117647059	0	0.882352941176471	5.58823529411765	0	0	0.294117647058824	1.17647058823529	0	0.588235294117647	0.588235294117647	0.294117647058824	0	1.17647058823529	0
1078	1111	"Hostage Lake"	46.55	-94.13333	40	"AWI"	40	124	514	305	0	0	0	0.952380952380952	0.952380952380952	0	7.93650793650794	0	0	0	0	0.317460317460317	2.38095238095238	0	0	2.38095238095238	0	0	1.11111111111111	0	2.22222222222222	0.476190476190476	67.6190476190476	0	3.49206349206349	0	0.952380952380952	6.66666666666667	0	0	0	0.317460317460317	0	0.317460317460317	0.952380952380952	0	0	0.952380952380952	0
1078	1111	"Hostage Lake"	46.55	-94.13333	100	"AWI"	100	429	1073	719	0.407055630936228	0	0	0.542740841248304	1.22116689280868	0	11.1261872455902	0	0	0	0	0.542740841248304	1.62822252374491	0	0.542740841248304	1.35685210312076	0.271370420624152	0	0	0	1.62822252374491	2.30664857530529	67.7069199457259	0	2.17096336499322	0.271370420624152	0.814111261872456	5.56309362279512	0.271370420624152	0	0	0.814111261872456	0	0	0	0.542740841248304	0	0.271370420624152	0
1078	1111	"Hostage Lake"	46.55	-94.13333	180	"AWI"	180	965	1640	1280	0.130890052356021	0	5.23560209424084	0	3.01047120418848	0	5.36649214659686	0	0	0	0	0.523560209424084	2.4869109947644	0	0.785340314136126	2.4869109947644	0.261780104712042	0	0.261780104712042	0	1.83246073298429	0.916230366492147	60.9947643979058	0	1.83246073298429	0	0.523560209424084	12.0418848167539	0	0	0	0	0	0.261780104712042	0.523560209424084	0	0.261780104712042	0.261780104712042	0
1078	1111	"Hostage Lake"	46.55	-94.13333	200	"AWI"	200	1157	1780	1413	0.292825768667643	0	0	0.292825768667643	2.48901903367496	0	12.4450951683748	0	0.292825768667643	0	0	0.292825768667643	1.46412884333821	0	1.46412884333821	1.75695461200586	0.292825768667643	0	0	0	0.292825768667643	1.61054172767204	50.3660322108346	0	3.22108345534407	0	0.292825768667643	19.9121522693997	0	0	0	0.585651537335286	0	0.292825768667643	0.292825768667643	0	0.292825768667643	1.75695461200586	0
1078	1111	"Hostage Lake"	46.55	-94.13333	225	"AWI"	225	1398	1974	1605	0.204498977505113	0	1.6359918200409	0.613496932515337	1.43149284253579	0	4.08997955010225	0	0	0	0.204498977505113	0.408997955010225	2.55623721881391	0	0	0.613496932515337	0.204498977505113	0	0.204498977505113	0	1.22699386503067	0.408997955010225	66.5644171779141	0.204498977505113	4.08997955010225	0.204498977505113	1.22699386503067	11.8609406952965	0	0	0	0	0	0	0.204498977505113	0	0	1.84049079754601	0
1078	1111	"Hostage Lake"	46.55	-94.13333	250	"AWI"	250	1587	2413	1924	0.350262697022767	0	0	0.700525394045534	3.50262697022767	0	13.4851138353765	0	0	0	0	0.700525394045534	3.1523642732049	0	1.0507880910683	1.40105078809107	0.700525394045534	0	0	0	1.92644483362522	1.75131348511384	40.8056042031524	0	8.05604203152364	0	0	20.6654991243433	0	0	0	0.350262697022767	0.700525394045534	0	0	0	0	0.700525394045534	0
1078	1111	"Hostage Lake"	46.55	-94.13333	300	"AWI"	300	2076	3126	2586	0	0	0	0	4.56942003514938	0	15.6414762741652	0	0	0.351493848857645	0	0.70298769771529	2.98769771528998	0	3.51493848857645	2.81195079086116	0.351493848857645	0	0.70298769771529	0	2.28471001757469	1.23022847100176	31.4586994727592	0	5.62390158172232	0	0.351493848857645	24.9560632688928	0.351493848857645	0.351493848857645	0	0	0	0.351493848857645	0.351493848857645	0.351493848857645	0	0.70298769771529	0
1078	1111	"Hostage Lake"	46.55	-94.13333	350	"AWI"	350	2758	3653	3265	0	0	7.32984293193717	2.26876090750436	4.88656195462478	0	13.2635253054101	0	0	0	0	1.04712041884817	1.04712041884817	0	0.698080279232112	5.58464223385689	0	0.349040139616056	0.349040139616056	0.349040139616056	6.10820244328098	1.57068062827225	13.6125654450262	0.698080279232112	6.63176265270506	0	0	30.0174520069808	0	0	0	0.349040139616056	0	0	1.04712041884817	0.349040139616056	0	2.09424083769634	0.349040139616056
