"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tsuga"	"Ulmus"
1653	1709	"Lac Martyne"	56.78333	-64.83333	1	"AWI"	1	-53	125	36	0	68	0	0	1	0	92	0	1	34	3	0	0	2	10	0	0	127	3	0	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	10	"AWI"	10	40	534	219	0	73	0	1	1	0	69	0	0	54	2	0	0	1	3	2	0	113	5	3	0	1	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	20	"AWI"	20	169	833	443	0	61	0	0	2	0	82	0	0	42	7	0	0	1	4	1	0	116	9	8	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	30	"AWI"	30	334	1116	667	0	82	0	0	0	0	70	0	0	31	3	0	0	0	4	1	0	131	13	6	0	1	0	2	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	40	"AWI"	40	512	1363	893	0	60	0	0	1	0	69	0	0	23	3	0	0	0	9	7	0	158	6	2	0	0	0	2	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	50	"AWI"	50	701	1616	1115	0	56	0	0	1	0	99	0	0	31	2	0	0	0	9	0	0	114	3	6	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	60	"AWI"	60	899	1843	1337	0	58	0	0	0	0	89	0	0	22	6	0	0	1	0	2	0	150	3	5	0	0	0	2	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	70	"AWI"	70	1109	2070	1558	0	63	0	0	0	0	65	0	1	36	2	0	0	0	0	4	0	137	7	1	0	1	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	80	"AWI"	80	1317	2292	1781	0	54	0	0	1	0	56	0	0	16	2	0	0	0	0	3	0	165	3	6	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	90	"AWI"	90	1550	2497	2002	1	45	0	0	2	0	61	0	0	22	3	0	0	1	0	1	0	164	5	2	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	100	"AWI"	100	1795	2700	2218	0	46	0	0	1	0	64	0	0	17	3	0	0	2	1	1	0	157	3	3	0	0	0	0	0	0	1	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	110	"AWI"	110	2035	2932	2447	0	60	0	0	0	0	52	0	0	12	0	1	0	2	0	2	0	171	5	2	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	120	"AWI"	120	2273	3319	2756	0	99	0	0	1	0	82	0	0	10	8	1	0	0	0	1	0	134	3	3	0	1	0	1	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	130	"AWI"	130	2510	3657	3051	1	77	0	0	1	0	53	0	0	12	1	0	0	1	0	0	0	160	0	2	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	140	"AWI"	140	2773	3958	3353	0	82	1	0	0	0	74	0	0	8	3	0	1	0	0	1	0	163	2	2	0	0	0	0	0	1	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	150	"AWI"	150	3045	4258	3646	0	93	0	0	1	0	72	0	0	2	0	0	0	2	0	1	0	155	1	2	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	160	"AWI"	160	3320	4542	3947	1	114	1	0	2	0	40	0	0	7	3	0	0	2	0	1	0	166	0	7	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	170	"AWI"	170	3621	4797	4244	0	98	0	0	0	0	45	0	0	1	0	0	0	2	0	4	0	153	5	0	0	0	0	1	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	180	"AWI"	180	3943	5054	4540	1	127	0	0	0	0	52	0	0	2	0	0	0	2	0	3	0	153	4	2	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	190	"AWI"	190	4263	5297	4832	1	137	0	0	2	0	113	0	0	2	2	0	0	6	0	2	0	95	4	3	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	200	"AWI"	200	4632	5528	5130	0	165	0	0	0	0	101	0	0	0	3	0	0	1	0	9	0	43	7	9	0	1	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	210	"AWI"	210	4989	5781	5421	0	134	0	0	4	0	130	0	0	4	2	0	0	4	0	0	0	30	1	0	0	0	0	1	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	220	"AWI"	220	5235	6105	5683	0	186	0	0	0	0	113	0	0	3	5	0	0	1	0	0	0	19	2	0	0	0	0	0	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	230	"AWI"	230	5482	6413	5965	0	232	0	0	1	0	39	0	0	3	1	0	0	2	0	1	0	14	3	3	0	0	0	1	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	240	"AWI"	240	5782	6677	6242	1	238	0	0	0	0	62	0	0	1	0	0	0	0	0	0	1	4	1	0	1	0	0	1	0	0	0	0
1653	1709	"Lac Martyne"	56.78333	-64.83333	250	"AWI"	250	6097	6936	6522	0	195	0	0	0	0	97	0	1	7	0	0	0	1	0	0	0	7	5	0	0	1	0	2	0	0	0	0
