"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
763	782	"East Baltic Bog"	46.40833	-62.15	500	"AWI"	500	7678	8069	7869	5	1	9	0	0	0	48	0	0	0	0	1	3	0	2	1	0	0	0	0	0	21	99	0	0	19	0	0	0	0	9	3	0
763	782	"East Baltic Bog"	46.40833	-62.15	520	"AWI"	520	7908	8698	8244	9	0	9	0	0	0	71	0	0	0	0	1	9	0	0	0	0	0	0	1	1	46	67	1	0	13	0	0	0	0	0	1	0
763	782	"East Baltic Bog"	46.40833	-62.15	540	"AWI"	540	8205	9116	8635	8	1	5	0	1	0	46	0	0	0	0	1	1	0	0	0	0	0	0	1	1	12	129	1	0	7	0	0	1	0	0	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	555	"AWI"	555	8493	9385	8926	12	2	7	0	0	0	75	0	0	0	0	2	1	0	0	1	0	0	0	2	0	31	78	0	0	10	0	0	1	0	1	1	0
763	782	"East Baltic Bog"	46.40833	-62.15	565	"AWI"	565	8699	9573	9119	8	0	4	0	0	0	81	0	0	0	0	0	1	0	0	0	0	0	0	0	1	28	85	0	0	6	0	0	1	0	0	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	575	"AWI"	575	8919	9773	9319	6	0	4	0	0	2	123	0	0	0	0	1	0	0	0	0	0	0	1	2	1	36	30	0	0	12	0	0	0	0	0	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	578	"AWI"	578	8959	9850	9375	14	0	5	0	0	0	108	0	0	0	0	1	1	0	0	0	0	0	0	1	3	27	48	0	0	9	0	0	1	0	0	1	0
763	782	"East Baltic Bog"	46.40833	-62.15	580	"AWI"	580	8988	9899	9414	3	1	3	0	3	0	119	0	0	0	0	4	2	0	0	0	0	0	0	3	1	55	16	0	0	8	0	0	1	0	0	1	0
763	782	"East Baltic Bog"	46.40833	-62.15	583	"AWI"	583	9047	9967	9473	2	0	14	2	27	0	48	0	0	0	0	55	1	0	0	0	0	0	0	4	7	45	64	10	0	5	0	0	12	0	1	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	586	"AWI"	586	9084	10064	9528	0	0	8	0	13	2	27	0	0	2	0	60	0	0	0	0	0	0	0	1	0	28	28	7	1	4	0	0	15	1	0	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	589	"AWI"	589	9116	10203	9580	4	0	7	0	22	0	51	0	0	0	0	45	1	0	0	0	1	0	0	1	0	23	106	0	2	5	0	2	4	2	0	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	593	"AWI"	593	9185	10305	9658	0	0	12	0	12	0	44	0	1	0	0	54	0	0	0	3	0	0	0	2	8	21	39	4	0	13	0	0	23	0	3	3	0
