"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	0	"AWI"	0	-114	54	-30	7	0	8	1	1	23	88	1	0	1	8	0	0	0	11	0	9	0	0	2	3	6	7	98	7	0	5	0	0	0	0	0	19	5	3
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	20	"AWI"	20	72	960	378	5	0	13	3	0	14	90	2	0	0	4	2	1	0	6	5	5	0	0	1	4	5	9	102	7	0	5	0	0	1	0	0	42	9	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	40	"AWI"	40	342	1546	831	5	0	3	0	0	0	137	1	0	1	5	0	1	0	16	5	7	0	0	1	1	7	5	86	2	0	12	0	0	7	0	2	75	17	1
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	60	"AWI"	60	642	2062	1273	3	0	11	0	0	0	100	0	0	1	2	0	0	0	22	0	6	0	0	0	0	3	4	64	0	0	6	0	0	5	0	1	47	9	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	80	"AWI"	80	1003	2551	1731	3	0	5	0	0	0	74	1	0	2	4	1	0	0	15	0	6	0	0	0	0	6	3	60	0	0	7	0	0	2	0	0	43	4	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	100	"AWI"	100	1389	3001	2181	2	0	8	0	0	0	91	1	0	1	3	0	0	0	23	7	3	0	0	0	0	4	13	73	2	0	9	0	0	1	0	3	37	18	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	120	"AWI"	120	1774	3442	2626	3	0	10	0	1	0	93	0	0	2	8	0	1	0	19	0	3	0	0	1	0	3	11	124	0	0	6	0	0	3	0	1	32	14	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	140	"AWI"	140	2204	3878	3072	4	0	6	1	1	0	125	0	0	2	5	1	0	0	15	0	6	0	0	0	0	1	7	150	0	0	6	0	0	1	0	1	43	14	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	160	"AWI"	160	2661	4243	3510	3	0	8	1	0	0	112	1	0	2	6	0	0	0	15	11	7	0	0	2	0	5	7	119	1	0	16	0	0	2	0	0	16	10	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	180	"AWI"	180	3156	4619	3943	3	0	3	1	3	0	103	1	0	2	11	1	0	0	18	0	6	0	0	2	0	6	12	110	0	0	11	0	0	3	0	0	22	11	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	200	"AWI"	200	3698	4961	4389	1	0	4	0	0	0	96	0	0	0	15	3	1	0	11	7	8	0	0	1	0	5	6	75	0	0	25	0	0	2	0	0	6	14	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	220	"AWI"	220	4295	5268	4814	3	0	11	0	0	0	99	0	0	1	14	2	1	0	9	0	4	0	0	5	0	8	1	81	0	0	20	0	0	2	0	0	9	10	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	240	"AWI"	240	4801	5806	5294	1	0	3	1	1	0	93	1	3	2	6	1	0	0	7	0	4	0	0	0	0	10	2	76	2	0	6	0	0	3	0	0	36	12	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	260	"AWI"	260	5208	6510	5831	0	0	4	0	2	0	112	0	0	0	8	0	0	0	4	0	4	0	0	0	0	4	3	69	0	0	12	0	0	3	0	0	27	12	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	280	"AWI"	280	5688	7086	6391	2	0	8	0	0	0	73	0	0	0	4	1	1	0	8	0	8	0	0	0	0	5	13	128	2	0	23	0	0	5	0	0	45	11	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	300	"AWI"	300	6277	7537	6954	3	9	7	0	1	0	30	0	0	1	6	2	0	0	7	0	3	0	0	1	0	4	11	139	0	0	22	0	0	1	0	0	17	14	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	320	"AWI"	320	6967	7897	7493	2	0	3	0	0	0	15	1	0	0	7	0	1	0	12	10	4	1	0	1	0	9	8	116	0	1	5	0	0	0	0	0	1	7	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	340	"AWI"	340	7628	8334	7976	1	0	4	2	1	2	10	0	0	0	2	0	0	0	9	7	1	1	0	1	0	7	7	176	0	0	3	0	0	0	0	0	3	9	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	360	"AWI"	360	7922	8969	8377	4	0	5	4	0	0	34	0	0	0	4	1	0	0	2	0	4	0	0	1	11	10	13	193	2	0	1	0	0	1	0	0	0	3	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	380	"AWI"	380	8220	9501	8788	8	0	2	0	0	0	28	3	0	1	4	1	0	0	0	6	4	0	0	0	0	4	18	231	0	0	11	0	0	1	0	0	0	1	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	400	"AWI"	400	8544	9992	9200	7	0	0	1	0	0	39	1	0	0	5	0	0	0	0	0	5	0	0	1	0	5	10	181	0	0	11	0	0	3	0	0	0	9	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	420	"AWI"	420	8895	10447	9614	5	0	7	0	1	0	40	0	0	0	6	0	0	0	0	0	3	0	0	0	1	6	9	158	0	0	4	0	0	10	2	0	0	10	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	440	"AWI"	440	9291	10866	10038	5	0	4	0	7	0	21	0	0	0	1	1	0	0	0	0	4	6	0	2	0	8	8	174	0	0	3	0	0	7	0	0	0	4	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	460	"AWI"	460	9706	11306	10458	3	0	0	0	2	0	30	0	0	0	6	0	0	0	0	0	5	12	0	1	0	10	10	147	0	0	12	0	0	2	0	0	0	1	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	480	"AWI"	480	10156	11724	10867	1	0	0	0	5	0	24	0	0	0	5	0	1	0	0	0	9	11	0	1	0	5	18	182	0	0	10	0	0	2	0	0	1	8	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	500	"AWI"	500	10607	12159	11275	2	0	1	1	4	2	77	2	0	0	39	6	0	0	0	0	10	41	0	3	0	0	44	87	0	0	12	0	2	4	2	0	1	11	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	520	"AWI"	520	10962	12728	11727	2	0	0	0	3	0	66	2	0	0	2	1	0	0	0	0	7	23	0	2	0	0	93	72	0	0	11	0	0	2	0	0	0	8	0
800	823	"Fawn Lake (CA:Ontario)"	45.41	-79.39	530	"AWI"	530	11127	13024	11960	0	0	3	0	3	3	59	0	1	0	86	9	0	0	0	0	9	28	0	2	0	0	20	32	10	30	13	0	0	10	0	0	0	5	0
