"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Pseudotsuga"	"Rosaceae"	"Salix"	"Tsuga"
1649	1705	"Marion Lake"	49.30833	-122.54722	2.5	"AWI"	2.5	-99	74	-8	6	0	390	2	0	11	0	3	23	5	157	0	5	6	5	46	32	5	23	4	82
1649	1705	"Marion Lake"	49.30833	-122.54722	7.5	"AWI"	7.5	-67.5	195	109	5	0	197	1	0	3	1	4	2	1	168	0	1	2	1	20	10	8	14	4	54
1649	1705	"Marion Lake"	49.30833	-122.54722	12.5	"AWI"	12.5	-54.5	330.5	230	9	0	165	0	0	7	3	3	13	3	99	0	2	4	2	20	2	12	8	1	97
1649	1705	"Marion Lake"	49.30833	-122.54722	17.5	"AWI"	17.5	-39.5	479	350	4	0	138	3	0	8	2	0	3	1	145	0	1	8	4	19	0	13	9	0	102
1649	1705	"Marion Lake"	49.30833	-122.54722	22.5	"AWI"	22.5	-24.5	629.5	469	10	0	196	0	0	9	4	4	4	4	339	15	7	10	18	96	1	29	3	1	207
1649	1705	"Marion Lake"	49.30833	-122.54722	27.5	"AWI"	27.5	-10	782.5	586	13	0	244	0	0	7	1	2	6	8	568	6	4	10	14	95	3	35	5	2	209
1649	1705	"Marion Lake"	49.30833	-122.54722	32.5	"AWI"	32.5	102.5	857.5	660	12	0	186	0	0	10	1	2	5	5	476	5	0	6	14	67	2	35	0	1	183
1649	1705	"Marion Lake"	49.30833	-122.54722	37.5	"AWI"	37.5	291	878	698	17	0	248	1	0	17	2	3	8	5	422	2	4	4	20	86	3	25	5	1	211
1649	1705	"Marion Lake"	49.30833	-122.54722	42.5	"AWI"	42.5	469.5	917	736.5	25	2	293	1	0	37	2	1	8	5	671	7	3	13	28	116	8	45	2	2	308
1649	1705	"Marion Lake"	49.30833	-122.54722	47.5	"AWI"	47.5	609.5	981	781	14	0	213	2	0	26	1	3	10	2	426	8	0	20	15	80	5	38	4	1	191
