"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Ulmus"
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	2	"AWI"	2	-114	66	-25	0	0	9	62	37	0	11	0	4	0	0	1	1	0	0	7	0	0	0	0	5	20	1	43	0	0	84	0	1	0	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	4	"AWI"	4	-99	115	-3	0	0	6	60	32	42	7	0	1	0	0	0	2	0	0	0	0	0	0	0	7	24	1	36	1	0	83	0	0	0	2
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	6	"AWI"	6	-88	174	17	0	0	10	124	55	0	19	0	0	0	0	0	5	0	0	7	0	0	0	0	9	64	2	56	0	0	76	0	3	0	2
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	8	"AWI"	8	-80	240	37	0	0	5	90	75	0	14	0	6	0	0	0	2	0	0	3	0	0	0	0	11	65	0	33	0	0	86	0	4	1	4
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	10	"AWI"	10	-74	306	58	0	0	13	73	62	38	11	0	4	0	3	0	3	0	0	1	0	0	0	0	7	45	0	58	0	1	77	0	5	2	1
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	12	"AWI"	12	-68	370	79	0	0	20	63	66	0	16	0	6	0	0	0	0	0	0	3	0	0	0	0	13	48	0	100	0	0	119	0	10	0	0
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	14	"AWI"	14	-63	438	100	0	0	8	58	58	0	12	0	4	0	6	0	0	0	0	3	0	0	0	0	9	57	1	62	0	1	76	0	6	1	5
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	16	"AWI"	16	-59	505	120	0	0	12	40	59	0	15	0	6	0	7	0	0	0	0	4	0	0	0	0	9	58	1	78	0	1	81	0	6	2	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	18	"AWI"	18	-56	574	140	0	0	12	16	122	35	20	0	3	0	22	0	0	0	0	2	0	0	0	0	16	97	2	96	0	1	49	1	15	4	6
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	20	"AWI"	20	-52	644	162	0	0	11	13	110	0	12	0	12	0	20	0	0	0	0	1	0	0	0	0	24	96	2	93	0	3	70	0	7	4	0
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	22	"AWI"	22	-48	709	182	0	0	15	24	114	25	18	0	10	0	26	0	1	0	0	3	1	0	0	0	21	133	1	112	0	0	100	0	11	1	6
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	24	"AWI"	24	-45	778	203	0	0	5	7	48	0	5	0	4	0	29	0	0	0	0	3	0	0	0	0	16	95	0	46	0	1	52	0	3	0	5
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	26	"AWI"	26	-41	845	223	0	0	23	18	49	21	18	0	9	0	23	0	2	0	0	0	0	0	0	0	18	89	1	68	0	0	118	0	7	2	6
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	30	"AWI"	30	-35	984	265	0	0	4	14	58	31	14	0	17	0	23	0	2	0	0	3	0	0	0	0	9	61	2	62	0	0	119	0	12	0	0
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	50	"AWI"	50	90	1289	521	0	0	10	14	94	0	21	0	9	0	23	0	0	0	0	6	0	0	0	1	6	68	1	100	0	0	130	0	10	1	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	70	"AWI"	70	197	1592	774	0	0	8	26	86	0	18	0	13	0	24	0	2	0	0	6	0	0	0	1	6	55	0	87	0	0	107	0	11	3	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	90	"AWI"	90	367	1797	1029	0	0	6	26	79	0	13	0	9	0	22	0	3	0	0	4	0	0	0	2	12	98	0	77	0	1	128	0	8	1	2
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	110	"AWI"	110	567	2035	1279	0	0	3	23	63	0	22	0	17	0	2	0	2	1	0	2	0	0	0	0	5	82	0	62	0	0	113	0	21	0	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	130	"AWI"	130	742	2234	1538	0	0	10	17	83	0	16	0	7	0	25	0	0	0	0	1	0	0	1	3	20	120	0	82	0	3	89	0	10	2	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	150	"AWI"	150	1039	2370	1776	0	0	9	22	106	0	14	0	12	0	2	1	3	0	0	0	0	0	0	6	17	104	0	83	0	0	113	0	9	1	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	170	"AWI"	170	1288	2547	2027	0	0	8	19	91	16	11	0	4	0	9	0	0	0	0	1	0	0	0	0	22	111	0	55	0	0	48	0	6	2	2
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	195	"AWI"	195	1817	2681	2305	0	2	8	12	69	0	22	0	4	3	27	0	0	0	0	6	0	0	0	0	15	64	0	97	1	0	151	0	7	2	5
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	215	"AWI"	215	2086	2868	2520	0	0	15	11	82	0	16	0	5	2	32	0	0	0	1	1	0	0	0	2	15	101	1	128	0	0	68	1	11	1	4
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	235	"AWI"	235	2229	3251	2718	1	0	22	25	83	0	29	0	9	2	44	0	0	1	0	1	1	0	0	0	15	50	1	128	1	2	82	0	13	2	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	255	"AWI"	255	2409	3436	2913	0	0	27	37	87	0	24	0	4	1	18	0	0	0	0	6	0	0	0	0	14	47	2	83	0	0	66	0	19	0	3
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	275	"AWI"	275	2597	3689	3096	0	0	20	21	102	0	32	0	3	2	21	0	0	0	0	7	0	0	0	0	14	50	0	109	0	1	80	0	15	1	1
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	295	"AWI"	295	2761	3895	3292	0	0	13	23	78	0	24	0	6	3	44	1	0	0	0	5	0	0	0	1	7	75	0	145	2	1	54	0	8	1	0
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	315	"AWI"	315	2998	4091	3511	0	0	16	36	123	0	19	0	3	1	29	0	0	0	0	7	0	0	0	0	3	67	0	146	0	0	23	0	6	4	4
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	340	"AWI"	340	3219	4467	3800	0	0	16	21	59	0	22	0	0	7	28	1	0	0	0	4	0	0	0	1	10	37	0	259	0	3	18	0	10	0	5
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	355	"AWI"	355	3351	4646	3973	0	3	24	45	62	0	27	0	3	9	43	1	0	0	0	6	0	0	0	2	6	66	0	154	2	1	21	0	7	3	8
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	375	"AWI"	375	3547	4936	4203	0	0	16	21	120	0	15	0	0	9	24	0	0	0	0	7	0	0	0	0	7	46	0	93	0	0	21	0	1	2	4
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	400	"AWI"	400	3771	5247	4515	0	0	17	46	81	0	12	0	0	4	28	0	0	0	0	7	0	0	0	0	9	76	0	144	0	0	31	0	7	1	9
849	878	"Jones Lake [Glenboro site]"	49.44694	-99.29124	410	"AWI"	410	3949	5312	4629	0	0	16	46	74	0	21	0	1	10	43	0	0	0	0	10	0	0	0	0	9	73	1	123	0	0	38	0	4	5	10
