"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Juniperus"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1542	1582	"Lake 31"	67.05	-50.46667	1.5	"AWI"	1.5	562.5	755	655.5	2	0	24	0	187	0	0	0	0	63	14	0	2	0	0	0	75	0	2	0	0	6	66	1
1542	1582	"Lake 31"	67.05	-50.46667	3	"AWI"	3	605	839	716	1	0	8	0	165	1	1	4	0	30	11	0	2	2	0	0	93	0	4	0	0	2	56	2
1542	1582	"Lake 31"	67.05	-50.46667	4.5	"AWI"	4.5	673	888.5	778	4	0	12	0	270	0	0	0	0	40	19	0	4	0	1	0	74	0	2	0	0	1	85	2
1542	1582	"Lake 31"	67.05	-50.46667	6	"AWI"	6	746	941	840	3	0	11	0	143	0	0	0	0	24	7	0	1	0	2	0	56	0	1	0	0	1	49	3
1542	1582	"Lake 31"	67.05	-50.46667	7.5	"AWI"	7.5	807.5	1048	917.5	1	0	8	0	302	0	3	0	0	36	9	1	0	0	0	0	66	0	0	0	0	4	54	0
1542	1582	"Lake 31"	67.05	-50.46667	10.5	"AWI"	10.5	907.5	1317	1077	3	0	8	0	242	0	1	0	1	38	31	0	3	1	1	0	107	1	5	0	0	3	69	0
1542	1582	"Lake 31"	67.05	-50.46667	15	"AWI"	15	1083	1636	1325	1	0	6	1	198	0	1	0	2	87	32	0	1	0	0	3	75	0	2	0	0	4	49	3
1542	1582	"Lake 31"	67.05	-50.46667	18	"AWI"	18	1217	1816	1493	0	0	6	0	120	0	0	0	0	28	9	0	1	1	2	0	45	0	0	0	0	0	30	0
1542	1582	"Lake 31"	67.05	-50.46667	21	"AWI"	21	1355	1992	1660	1	0	7	0	193	0	1	0	0	69	10	1	0	1	1	0	78	0	0	0	0	2	59	0
1542	1582	"Lake 31"	67.05	-50.46667	24	"AWI"	24	1509	2147	1832	2	0	10	0	300	0	1	0	0	51	9	0	4	0	0	0	116	0	5	0	0	2	42	2
1542	1582	"Lake 31"	67.05	-50.46667	27	"AWI"	27	1672	2298	2004	3	0	2	0	188	0	0	0	0	46	10	0	0	0	0	1	181	0	1	0	0	0	25	0
1542	1582	"Lake 31"	67.05	-50.46667	30	"AWI"	30	1844	2436	2176	1	0	9	0	370	1	0	0	0	60	17	2	3	0	1	0	99	0	0	0	0	4	46	2
1542	1582	"Lake 31"	67.05	-50.46667	33	"AWI"	33	2031	2579	2345	2	0	6	0	226	1	1	0	1	41	5	1	5	0	0	0	85	0	0	0	0	0	65	1
1542	1582	"Lake 31"	67.05	-50.46667	36	"AWI"	36	2240	2703	2518	4	0	10	0	274	0	3	0	0	45	9	0	1	0	1	0	75	0	1	0	0	1	62	3
1542	1582	"Lake 31"	67.05	-50.46667	39	"AWI"	39	2468	2824	2698	3	0	6	0	216	0	0	0	0	40	11	0	0	0	1	0	50	0	1	0	0	0	34	1
1542	1582	"Lake 31"	67.05	-50.46667	42	"AWI"	42	2617	3092	2862	1	0	11	1	305	0	3	4	0	51	10	0	1	1	0	0	76	0	5	0	0	2	42	1
1542	1582	"Lake 31"	67.05	-50.46667	45	"AWI"	45	2769	3361	3050	2	0	9	0	236	0	1	0	0	40	6	0	3	0	0	1	118	0	2	0	0	3	54	2
1542	1582	"Lake 31"	67.05	-50.46667	48	"AWI"	48	2939	3580	3240	4	1	6	0	224	0	3	0	0	42	8	1	0	1	1	0	70	0	0	0	0	3	48	0
1542	1582	"Lake 31"	67.05	-50.46667	51	"AWI"	51	3093	3782	3432	3	0	6	0	203	0	0	0	0	65	12	0	0	0	0	0	99	0	0	0	0	1	58	1
1542	1582	"Lake 31"	67.05	-50.46667	54	"AWI"	54	3277	3954	3627	3	1	9	0	256	0	0	0	0	53	8	2	1	1	0	0	44	0	2	0	1	2	30	2
1542	1582	"Lake 31"	67.05	-50.46667	57	"AWI"	57	3483	4128	3824	4	0	8	0	270	0	4	0	1	61	3	3	1	0	0	0	55	0	0	0	0	9	26	1
1542	1582	"Lake 31"	67.05	-50.46667	60	"AWI"	60	3695	4281	4018	1	0	12	0	266	1	3	0	0	83	7	0	1	0	0	0	70	0	4	0	0	5	31	1
1542	1582	"Lake 31"	67.05	-50.46667	63	"AWI"	63	3928	4420	4206	2	0	12	0	298	1	1	0	0	108	15	3	3	1	0	0	66	0	0	0	0	6	51	1
1542	1582	"Lake 31"	67.05	-50.46667	64.5	"AWI"	64.5	4060	4487	4297.5	5	0	10	0	264	0	0	0	0	69	14	0	0	0	1	0	63	0	0	0	0	3	47	1
1542	1582	"Lake 31"	67.05	-50.46667	66.5	"AWI"	66.5	4199	4612.5	4413	3	0	10	0	198	0	1	0	0	68	13	0	0	0	0	0	56	0	0	0	0	4	40	2
1542	1582	"Lake 31"	67.05	-50.46667	68	"AWI"	68	4268	4726	4493	3	0	13	0	259	0	1	0	0	87	16	0	0	2	0	0	96	0	1	0	0	3	72	4
