"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
281	287	"Blue Mounds Creek"	43.08333	-89.86667	0	"AWI"	0	-139	16	-58	6	7	0	5	0	56	2	6	4	11	60	4	9	3	0	2	0	35	23	48	10	3	3
281	287	"Blue Mounds Creek"	43.08333	-89.86667	11	"AWI"	11	46	299	148	4	6	2	2	0	20	2	5	4	6	59	1	6	2	0	3	1	43	24	68	4	1	5
281	287	"Blue Mounds Creek"	43.08333	-89.86667	31	"AWI"	31	615	2252	1279	1	3	0	5	0	18	5	14	0	5	60	0	8	3	0	0	0	36	19	76	0	4	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	41	"AWI"	41	1075	2875	1905	4	4	5	5	2	15	6	7	5	3	85	2	7	7	0	4	2	82	39	98	0	1	1
281	287	"Blue Mounds Creek"	43.08333	-89.86667	51	"AWI"	51	1586	3424	2535	4	2	2	9	2	19	1	8	1	3	49	1	7	1	0	1	2	60	21	31	2	4	1
281	287	"Blue Mounds Creek"	43.08333	-89.86667	58	"AWI"	58	2010	3814	2990	7	3	1	3	4	22	1	5	2	3	53	2	10	2	0	2	0	65	18	54	2	2	2
281	287	"Blue Mounds Creek"	43.08333	-89.86667	65	"AWI"	65	2454	4141	3424	3	4	4	2	1	10	3	6	0	0	51	0	7	2	0	1	0	60	17	52	2	2	2
281	287	"Blue Mounds Creek"	43.08333	-89.86667	79	"AWI"	79	3524	4684	4283	3	9	0	10	1	28	0	2	0	10	52	3	7	0	0	0	0	67	17	44	5	3	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	86	"AWI"	86	4193	4869	4620	0	5	2	6	4	23	2	7	0	5	97	2	3	4	0	4	0	50	19	49	0	6	7
281	287	"Blue Mounds Creek"	43.08333	-89.86667	93	"AWI"	93	4437	5212	4854	5	8	0	6	3	44	0	7	0	0	93	2	4	5	0	2	0	45	18	61	3	6	10
281	287	"Blue Mounds Creek"	43.08333	-89.86667	104	"AWI"	104	4714	5665	5159	2	6	4	3	0	42	0	0	0	2	137	5	9	2	0	0	0	95	21	114	4	1	5
281	287	"Blue Mounds Creek"	43.08333	-89.86667	127	"AWI"	127	5265	6447	5832	7	3	1	5	3	33	0	1	5	1	143	2	8	0	0	2	2	60	26	76	0	1	5
281	287	"Blue Mounds Creek"	43.08333	-89.86667	139	"AWI"	139	5592	6782	6186	6	10	0	7	4	30	0	2	0	0	107	0	5	1	0	4	0	43	21	45	4	4	15
281	287	"Blue Mounds Creek"	43.08333	-89.86667	147	"AWI"	147	5810	7019	6433	4	5	2	22	3	28	0	5	0	0	91	0	7	3	0	0	0	35	22	48	0	4	12
281	287	"Blue Mounds Creek"	43.08333	-89.86667	155	"AWI"	155	6035	7233	6663	2	4	1	15	1	19	2	3	1	1	95	2	7	0	0	0	0	52	20	50	5	4	6
281	287	"Blue Mounds Creek"	43.08333	-89.86667	163	"AWI"	163	6272	7440	6901	4	8	2	12	1	41	0	6	2	4	97	0	6	0	0	5	0	37	28	62	0	3	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	171	"AWI"	171	6537	7632	7141	4	18	3	2	4	38	2	12	3	8	101	1	8	4	0	6	0	52	48	106	1	2	24
281	287	"Blue Mounds Creek"	43.08333	-89.86667	179	"AWI"	179	6785	7856	7374	10	6	0	4	2	21	0	7	0	0	97	2	8	2	0	4	0	52	28	60	0	0	18
281	287	"Blue Mounds Creek"	43.08333	-89.86667	187	"AWI"	187	7076	8016	7609	7	6	0	10	2	31	1	11	4	0	92	0	10	2	0	6	0	92	44	77	5	1	23
281	287	"Blue Mounds Creek"	43.08333	-89.86667	195	"AWI"	195	7372	8192	7848	6	0	0	10	0	33	0	3	0	2	130	2	7	2	0	4	0	80	28	16	0	4	7
281	287	"Blue Mounds Creek"	43.08333	-89.86667	201	"AWI"	201	7667	8307	8014	6	6	4	10	3	28	0	1	1	0	132	0	9	0	0	0	0	70	24	20	0	0	10
281	287	"Blue Mounds Creek"	43.08333	-89.86667	207	"AWI"	207	7988	8448	8189	2	4	1	4	0	92	2	2	3	0	121	0	7	0	0	0	2	65	20	40	6	4	6
281	287	"Blue Mounds Creek"	43.08333	-89.86667	213	"AWI"	213	8144	8842	8433	2	0	0	6	3	106	0	4	2	1	142	0	6	1	0	0	0	68	48	20	0	7	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	220	"AWI"	220	8323	9311	8746	15	8	103	2	2	20	2	24	11	5	118	2	20	3	8	17	4	188	33	101	10	0	51
281	287	"Blue Mounds Creek"	43.08333	-89.86667	228	"AWI"	228	8579	9743	9108	5	1	0	13	3	39	0	5	0	0	131	3	4	0	0	0	0	62	50	20	0	3	3
281	287	"Blue Mounds Creek"	43.08333	-89.86667	236	"AWI"	236	8867	10097	9483	10	8	0	10	10	0	0	2	0	0	141	0	5	2	0	1	4	70	34	35	0	2	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	243	"AWI"	243	9171	10393	9799	7	10	2	10	0	36	0	1	1	3	132	2	9	1	0	1	6	62	24	31	2	1	2
281	287	"Blue Mounds Creek"	43.08333	-89.86667	250	"AWI"	250	9524	10648	10128	6	1	2	3	0	28	3	5	0	1	121	2	10	0	0	0	5	55	30	44	3	1	5
281	287	"Blue Mounds Creek"	43.08333	-89.86667	256	"AWI"	256	9851	10839	10400	10	0	1	12	3	42	5	2	1	0	150	6	7	4	2	0	8	58	35	35	3	0	4
281	287	"Blue Mounds Creek"	43.08333	-89.86667	262	"AWI"	262	10239	11022	10661	8	0	5	6	0	46	2	2	2	0	72	6	8	0	10	1	22	51	35	21	4	4	3
281	287	"Blue Mounds Creek"	43.08333	-89.86667	266	"AWI"	266	10439	11145	10818	4	0	4	1	0	2	10	0	0	0	27	2	6	0	22	0	163	28	12	7	0	0	3
281	287	"Blue Mounds Creek"	43.08333	-89.86667	271	"AWI"	271	10599	11356	10992	0	0	0	0	0	0	6	0	0	0	31	1	5	0	12	0	158	18	8	2	0	0	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	276	"AWI"	276	10730	11559	11149	0	0	5	0	0	0	6	0	0	0	40	2	10	0	7	0	199	12	15	0	0	0	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	281	"AWI"	281	10871	11754	11309	0	0	0	0	0	0	8	0	0	0	20	2	9	0	8	0	187	8	12	0	0	0	1
281	287	"Blue Mounds Creek"	43.08333	-89.86667	296	"AWI"	296	11305	12248	11796	2	0	7	3	1	0	14	0	0	0	22	3	11	0	8	0	276	7	14	3	0	0	5
281	287	"Blue Mounds Creek"	43.08333	-89.86667	299	"AWI"	299	11390	12328	11901	0	0	1	0	0	0	17	0	0	0	23	1	7	0	9	0	289	12	10	2	0	0	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	301	"AWI"	301	11455	12391	11964	2	0	0	0	0	0	8	0	0	0	31	0	7	0	10	0	204	9	12	3	0	0	0
281	287	"Blue Mounds Creek"	43.08333	-89.86667	307	"AWI"	307	11684	12526	12158	0	0	4	0	0	10	12	0	0	0	30	4	5	0	9	0	237	6	20	0	0	0	0
