"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"	"Vitaceae"
1486	1524	"Kitchner Lake"	45.66667	-87.455	5	"AWI"	5	-99	67	-12	2	0	5	4	5	0	106	0	0	0	0	0	0	0	0	3	0	0	1	0	23	3	0	0	7	8	57	1	0	14	4	29	0	0	4	0	0	0	4	3	1	1
1486	1524	"Kitchner Lake"	45.66667	-87.455	20	"AWI"	20	-53	282	70	5	0	16	6	3	0	47	0	1	0	2	2	1	0	0	3	9	7	0	0	27	0	1	1	3	8	42	0	0	6	1	22	0	0	1	1	0	0	7	13	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	30	"AWI"	30	-3	383	141	1	0	4	5	3	0	82	2	0	0	0	0	5	0	0	5	6	8	0	0	16	5	0	2	6	12	87	0	1	13	1	25	0	0	4	0	0	0	48	14	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	35	"AWI"	35	19	419	184	1	0	3	1	0	0	60	2	0	1	0	1	3	0	0	1	0	6	0	0	7	4	0	0	3	8	54	0	0	3	0	19	0	0	0	0	0	0	37	8	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	40	"AWI"	40	36	475	225	3	0	17	0	5	0	91	1	0	1	0	0	2	0	0	4	0	1	0	0	21	6	1	0	4	12	69	0	0	14	1	21	0	1	5	0	0	0	42	7	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	45	"AWI"	45	52	551	262	3	0	1	1	1	0	119	0	0	0	0	0	0	0	0	4	3	0	0	0	24	2	0	0	9	9	60	0	0	2	6	24	0	0	1	0	0	3	39	5	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	50	"AWI"	50	85	634	313	3	0	4	1	5	0	110	1	0	0	0	0	1	0	0	2	0	5	0	0	24	8	0	0	9	7	77	0	0	1	1	30	0	0	0	0	0	2	54	8	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	60	"AWI"	60	148	881	444	3	0	4	0	3	0	92	0	0	0	0	1	2	0	0	7	0	1	0	0	43	4	0	0	5	13	71	0	2	1	2	31	1	0	1	0	0	1	25	6	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	100	"AWI"	100	450	1845	981	2	0	9	0	4	0	97	4	0	0	0	2	2	0	0	7	9	2	0	0	17	2	0	0	20	10	59	0	0	2	2	48	0	0	1	0	0	2	20	24	0	0
1486	1524	"Kitchner Lake"	45.66667	-87.455	140	"AWI"	140	830	2515	1572	5	0	4	1	3	0	79	2	0	0	0	0	3	0	0	30	0	7	0	0	12	2	0	0	15	6	63	0	0	3	1	32	0	0	0	0	0	4	37	12	0	0
