"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"
233	236	"Baseball Bog"	47.23	-79.78	1	"AWI"	1	-82	121	8	4	0	1	5	0	0	16	0	0	0	1	0	0	0	0	3	0	0	0	0	21	156	0	1	0	1	0	0	3	0	2	0
233	236	"Baseball Bog"	47.23	-79.78	10	"AWI"	10	35	814	300	2	1	2	2	1	0	16	1	0	0	3	0	0	0	0	1	0	0	0	0	17	162	0	4	0	0	0	0	1	0	1	1
233	236	"Baseball Bog"	47.23	-79.78	20	"AWI"	20	242	1315	657	3	0	2	0	0	0	13	0	0	0	1	0	0	0	0	0	0	6	1	0	20	151	0	0	0	3	0	0	1	0	2	2
233	236	"Baseball Bog"	47.23	-79.78	30	"AWI"	30	485	1751	1013	5	0	2	1	1	0	30	0	1	0	1	0	0	1	0	2	0	0	0	1	29	131	0	0	0	1	0	0	0	0	0	1
233	236	"Baseball Bog"	47.23	-79.78	40	"AWI"	40	751	2164	1371	2	1	4	0	1	0	37	0	0	0	3	0	0	2	0	2	0	0	1	0	6	147	0	0	0	2	0	0	0	0	2	1
233	236	"Baseball Bog"	47.23	-79.78	50	"AWI"	50	1042	2601	1741	2	1	6	0	0	0	42	0	0	0	3	0	0	1	0	1	0	1	2	0	9	140	0	0	0	1	0	0	0	0	2	1
233	236	"Baseball Bog"	47.23	-79.78	60	"AWI"	60	1326	2989	2108	3	0	7	0	0	0	41	0	0	0	0	0	0	0	0	4	0	2	0	1	7	137	0	0	0	3	0	0	0	0	1	5
233	236	"Baseball Bog"	47.23	-79.78	70	"AWI"	70	1635	3405	2467	2	2	9	0	0	0	43	0	0	0	2	0	2	1	0	0	0	2	1	1	11	135	0	0	1	0	0	0	2	0	0	2
233	236	"Baseball Bog"	47.23	-79.78	80	"AWI"	80	1960	3775	2828	0	0	7	0	2	0	25	0	0	0	6	0	0	0	0	0	0	0	1	0	9	159	0	0	0	3	0	1	0	0	1	2
233	236	"Baseball Bog"	47.23	-79.78	90	"AWI"	90	2293	4136	3194	1	0	9	0	4	0	32	0	0	1	3	0	0	1	0	0	0	0	0	2	5	151	0	0	0	4	0	0	1	0	2	1
