"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"
32	32	"Amarete"	-15.23333	-68.98333	0	"AWI"	0	-139	32	-62	1	0	0	0	0	0	0	1	0	0	1	0	2	4	127	9	1	0
32	32	"Amarete"	-15.23333	-68.98333	20	"AWI"	20	-15	1645	488	3	6	23	153	2	3	2	0	2	0	1400	0	2	24	5	12	0	6
32	32	"Amarete"	-15.23333	-68.98333	40	"AWI"	40	39	3359	1032	2	13	0	125	1	5	0	0	4	0	800	1	2	19	54	13	0	11
32	32	"Amarete"	-15.23333	-68.98333	60	"AWI"	60	406	4348	1741	3	4	0	151	0	1	0	0	1	0	11	0	1	1	26	6	0	0
32	32	"Amarete"	-15.23333	-68.98333	80	"AWI"	80	701	4895	2639	2	0	0	0	0	15	0	2	6	0	38	0	2	10	81	16	2	2
32	32	"Amarete"	-15.23333	-68.98333	100	"AWI"	100	945	6130	3337	0	0	0	0	1	15	0	3	3	0	23	0	1	4	30	5	0	0
32	32	"Amarete"	-15.23333	-68.98333	120	"AWI"	120	1747	6441	3941	0	0	0	0	0	3	0	1	2	0	5	0	0	0	16	5	0	1
32	32	"Amarete"	-15.23333	-68.98333	140	"AWI"	140	2115	6906	4606	0	0	0	0	0	17	0	1	2	0	28	0	1	5	32	9	0	0
32	32	"Amarete"	-15.23333	-68.98333	160	"AWI"	160	2802	7310	5306	0	0	0	0	0	6	0	0	2	0	8	0	0	2	13	1	0	0
32	32	"Amarete"	-15.23333	-68.98333	180	"AWI"	180	3384	7521	6009	0	0	0	0	0	8	2	0	5	0	5	0	0	4	11	1	0	0
32	32	"Amarete"	-15.23333	-68.98333	200	"AWI"	200	3985	7901	6703	1	0	0	0	0	6	0	1	1	0	19	0	0	3	19	2	0	1
32	32	"Amarete"	-15.23333	-68.98333	220	"AWI"	220	5698	7975	7249	0	0	0	0	0	2	0	1	1	0	11	1	1	10	57	3	1	0
32	32	"Amarete"	-15.23333	-68.98333	240	"AWI"	240	7338	8099	7796	0	0	0	0	0	4	0	1	0	1	3	0	0	10	60	5	0	0
32	32	"Amarete"	-15.23333	-68.98333	260	"AWI"	260	7765	8306	8070	1	0	0	0	0	2	0	0	1	0	8	1	1	3	32	6	1	0
32	32	"Amarete"	-15.23333	-68.98333	700	"AWI"	700	9899	10571	10290	0	0	0	8	0	1	1	1	0	0	8	0	0	2	11	22	6	1
32	32	"Amarete"	-15.23333	-68.98333	720	"AWI"	720	9960	10744	10386	3	0	0	0	3	0	0	1	0	0	6	1	1	0	16	12	0	0
32	32	"Amarete"	-15.23333	-68.98333	740	"AWI"	740	9999	10985	10472	0	0	0	0	0	0	0	0	0	0	11	1	1	2	9	17	3	2
