"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
206	206	"Andy Lake"	64.65	-128.08333	62.5	"AWI"	62.5	3102	4996	4153.5	153	0	10	0	87	1	0	0	0	29	0	3	0	0	116	10.5	5	0	0	0	0	0	10	0	3
206	206	"Andy Lake"	64.65	-128.08333	65	"AWI"	65	3257	5051	4290	194	0	5	0	99	0	0	0	0	11	0	0	0	0	84.5	9	1	0	2	2	0	0	2	0	1
206	206	"Andy Lake"	64.65	-128.08333	70	"AWI"	70	3471	5285	4575	184	0	4	0	106	0	0	0	0	15	0	3	0	0	88.5	10	5	0	0	0	0	0	9	0	1
206	206	"Andy Lake"	64.65	-128.08333	75	"AWI"	75	3940	5385	4823	161	0	10	0	98	2	0	1	0	12	0	0	0	0	106.5	6.5	7	0	1	0	0	0	3	0	6
206	206	"Andy Lake"	64.65	-128.08333	80	"AWI"	80	4194	5548	5090	181	0	18	0	93	0	0	0	0	10	0	1	0	0	82	9.5	5	0	2	1	0	0	2	0	6
206	206	"Andy Lake"	64.65	-128.08333	85	"AWI"	85	4811	5606	5294	170	0	5	0	127	0	0	2	0	13	0	0	0	0	75	5.5	2	0	0	0	0	1	4	0	3
206	206	"Andy Lake"	64.65	-128.08333	90	"AWI"	90	5313	5755	5521	193	0	5	0	110	0	0	0	0	15	0	3	0	1	95	6.5	2	0	0	0	0	0	4	0	3
206	206	"Andy Lake"	64.65	-128.08333	95	"AWI"	95	5432	6145	5740	199	0	4	0	122	0	0	1	0	14	0	1	0	0	95	3	5	0	3	0	0	0	6	0	3
206	206	"Andy Lake"	64.65	-128.08333	100	"AWI"	100	5501	6686	5955	198	0	4	0	128	0	0	1	0	21	0	0	0	0	109.5	2.5	4	0	1	0	0	0	6	1	6
206	206	"Andy Lake"	64.65	-128.08333	105	"AWI"	105	5705	6806	6203	162	1	11	0	131	0	0	0	0	24	0	6	0	1	82	6	16	2	4	0	0	0	5	0	3
206	206	"Andy Lake"	64.65	-128.08333	110	"AWI"	110	5820	7064	6454	210	0	8	0	140	1	0	0	0	21	0	1	0	0	97	2.5	4	0	0	0	0	0	5	0	2
206	206	"Andy Lake"	64.65	-128.08333	115	"AWI"	115	6181	7152	6676	173	0	14	0	133	0	0	0	0	23	0	3	0	0	132	0.5	2	0	1	0	0	0	4	0	3
206	206	"Andy Lake"	64.65	-128.08333	120	"AWI"	120	6380	7308	6925	130	0	17	0	163	1	0	0	0	23	1	3	1	0	112	1	2	0	2	0	0	0	7	1	1
206	206	"Andy Lake"	64.65	-128.08333	125	"AWI"	125	6862	7455	7194	51	1	16	0	204	1	0	0	0	22	0	3	0	0	120.5	1	9	0	5	0	0	0	5	0	3
206	206	"Andy Lake"	64.65	-128.08333	127.5	"AWI"	127.5	6954.5	7698.5	7317.5	49	0	18	0	190	1	0	0	0	31	0	3	0	0	85.5	5.5	9	0	1	0	0	0	5	0	2
206	206	"Andy Lake"	64.65	-128.08333	130	"AWI"	130	7018	8013	7434	27	0	25	0	220	0	0	0	0	29	0	6	4	1	165.5	3	11	0	7	0	0	0	8	0	1
206	206	"Andy Lake"	64.65	-128.08333	132.5	"AWI"	132.5	7127.5	8195.5	7583.5	20	1	8	0	187	0	0	1	0	23	0	1	2	3	138	2.5	4	0	2	0	0	1	5	1	1
206	206	"Andy Lake"	64.65	-128.08333	135	"AWI"	135	7195	8483	7728	8	0	16	0	222	1	0	2	0	37	0	2	0	0	121.5	1	6	0	7	1	0	1	5	0	1
206	206	"Andy Lake"	64.65	-128.08333	137.5	"AWI"	137.5	7243.5	8888.5	7856	14	0	27	0	232	1	0	0	0	26	0	2	0	2	87.5	2	3	0	0	0	0	0	9	2	3
206	206	"Andy Lake"	64.65	-128.08333	140	"AWI"	140	7276	9326	7979	6	0	21	0	248	2	0	1	1	32	0	6	2	0	76.5	0	8	0	2	0	0	0	3	0	0
206	206	"Andy Lake"	64.65	-128.08333	142.5	"AWI"	142.5	7409.5	9442	8130.5	8	0	10	0	275	4	0	0	0	25	0	2	0	0	75	2	5	0	1	0	0	0	7	0	1
206	206	"Andy Lake"	64.65	-128.08333	145	"AWI"	145	7488	9586	8284	1	0	19	0	277	2	0	2	0	26	0	3	0	0	99	2	6	0	4	0	0	0	9	0	2
206	206	"Andy Lake"	64.65	-128.08333	147.5	"AWI"	147.5	7555	9799.5	8433	5	0	10	0	252	3	0	1	1	25	1	2	0	0	97.5	1.5	5	0	0	0	0	0	10	0	0
206	206	"Andy Lake"	64.65	-128.08333	150	"AWI"	150	7608	10056	8566	1	0	14	0	263	3	0	3	0	32	0	0	0	0	100.5	0.5	4	0	1	0	0	0	9	0	0
206	206	"Andy Lake"	64.65	-128.08333	152.5	"AWI"	152.5	7768	10180	8719	4	0	6	0	277	2	0	0	0	32	1	3	0	0	85.5	1	6	0	4	0	0	0	8	0	0
206	206	"Andy Lake"	64.65	-128.08333	155	"AWI"	155	7876	10340	8871	5	1	16	0	312	3	0	2	0	30	0	0	0	0	99.5	0	4	0	2	0	0	0	17	0	0
206	206	"Andy Lake"	64.65	-128.08333	157.5	"AWI"	157.5	7962.5	10510	9024	1	0	11	0	262	3	0	2	0	41	0	4	0	0	57.5	0	3	0	7	0	0	0	21	0	0
206	206	"Andy Lake"	64.65	-128.08333	161	"AWI"	161	8097	10781	9232	3	0	13	0	336	1	0	2	0	25	0	1	0	0	40.5	0.5	3	0	4	0	0	0	9	1	0
206	206	"Andy Lake"	64.65	-128.08333	165	"AWI"	165	8262	10940	9485	1	0	14	0	296	2	0	1	0	33	4	0	1	0	71	1.5	3	0	5	0	0	0	15	0	0
206	206	"Andy Lake"	64.65	-128.08333	170	"AWI"	170	8437	11244	9783	1	0	11	0	332	2	0	0	1	34	0	1	0	0	35	1	5	0	4	0	0	0	10	0	0
206	206	"Andy Lake"	64.65	-128.08333	175	"AWI"	175	8723	11531	10069	1	1	8	0	355	1	0	3	0	21	2	0	0	0	13	0	6	0	8	0	0	0	16	0	0
206	206	"Andy Lake"	64.65	-128.08333	180	"AWI"	180	8871	11889	10367	3	0	8	0	430	0	0	1	1	16	1	1	0.5	1	0	0	3	0	3	0	0	0	13	0	0
206	206	"Andy Lake"	64.65	-128.08333	185	"AWI"	185	9226	12108	10666	4	0	13	0	401	2	0	1	0	18	0	1	0	0	0	0	0	0	6	0	0	0	17	0	0
206	206	"Andy Lake"	64.65	-128.08333	190	"AWI"	190	9425	12442	10960	3	0	15	0	326	2	0	0	0	48	1	0	0	0	0	0	3	0	11	0	0	0	22	0	0
206	206	"Andy Lake"	64.65	-128.08333	195	"AWI"	195	9813	12618	11263	1	0	36	0	325	3	0	4	0	29	0	1	0	2	0	0	8	0	14	0	0	0	20	0	0
206	206	"Andy Lake"	64.65	-128.08333	205	"AWI"	205	10409	13070	11879	2	0	19	0	153	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	12	0	0
206	206	"Andy Lake"	64.65	-128.08333	225	"AWI"	225	11935	13838	13111	1	0	41	9	54	4	0	0	0	27	0	1	0	0	0	0	24	0	0	2	0	0	11	0	0
