"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fraxinus"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Thalictrum"	"Ulmus"
944	974	"Grand Rapids"	53	-98.25	5	"AWI"	5	-43	921	235	0	124	11	69	19	205	9	5	35	0	0	0	0	0	0	279	478	31	0	0	10	1	26	0	4
944	974	"Grand Rapids"	53	-98.25	15	"AWI"	15	227	2201	945	0	151	20	103	30	324	8	1	25	0	2	1	0	1	0	328	687	45	1	0	10	0	34	7	1
944	974	"Grand Rapids"	53	-98.25	25	"AWI"	25	635	3063	1691	2	204	27	113	30	389	13	0	23	0	1	1	1	2	1	493	1045	50	0	0	17	1	38	6	1
944	974	"Grand Rapids"	53	-98.25	35	"AWI"	35	1224	3651	2440	0	164	19	99	28	345	9	4	40	1	0	1	0	4	2	398	811	63	1	0	23	0	48	5	5
944	974	"Grand Rapids"	53	-98.25	45	"AWI"	45	1928	4121	3187	0	100	15	77	26	209	8	3	27	0	0	1	0	4	1	231	551	30	0	0	12	2	26	8	2
944	974	"Grand Rapids"	53	-98.25	55	"AWI"	55	3077	4474	3885	0	106	19	77	20	274	9	3	30	0	0	0	0	1	3	257	496	33	2	0	12	0	27	3	1
944	974	"Grand Rapids"	53	-98.25	65	"AWI"	65	4005	4803	4466	0	94	20	75	22	240	6	2	38	2	0	0	0	3	0	121	701	32	2	0	8	0	31	2	4
944	974	"Grand Rapids"	53	-98.25	75	"AWI"	75	4319	5409	4857	0	134	26	86	37	333	11	2	101	2	0	1	0	4	1	232	1234	104	2	0	10	0	42	0	2
944	974	"Grand Rapids"	53	-98.25	85	"AWI"	85	4595	5889	5203	0	190	40	172	44	295	13	9	95	0	0	0	0	3	0	190	1350	123	0	0	11	1	71	6	2
944	974	"Grand Rapids"	53	-98.25	95	"AWI"	95	4875	6229	5557	2	104	27	90	24	129	7	7	128	3	0	2	0	0	2	61	549	68	0	1	8	1	31	13	3
944	974	"Grand Rapids"	53	-98.25	105	"AWI"	105	5193	6530	5913	0	1000	34	109	40	231	80	80	31	2	0	10	0	2	10	176	917	97	0	0	130	1	190	9	10
944	974	"Grand Rapids"	53	-98.25	115	"AWI"	115	5588	6787	6257	0	156	46	159	66	251	10	15	120	1	0	3	0	2	3	208	551	172	0	3	13	2	47	4	3
944	974	"Grand Rapids"	53	-98.25	125	"AWI"	125	6088	6991	6592	0	76	35	87	34	93	7	15	63	1	0	0	0	0	0	108	147	83	0	0	7	1	41	2	0
944	974	"Grand Rapids"	53	-98.25	135	"AWI"	135	6463	7204	6883	1	50	46	89	51	90	4	12	52	1	0	1	0	4	1	116	145	92	0	0	3	1	31	0	1
944	974	"Grand Rapids"	53	-98.25	145	"AWI"	145	6663	7436	7078	0	80	50	143	82	117	7	14	40	3	0	1	0	2	6	128	173	138	0	2	14	1	39	4	2
944	974	"Grand Rapids"	53	-98.25	155	"AWI"	155	6818	7632	7246	1	58	45	113	74	62	3	30	81	1	0	1	0	3	5	60	83	87	1	11	4	0	18	0	4
944	974	"Grand Rapids"	53	-98.25	165	"AWI"	165	6987	7824	7416	0	46	54	96	50	55	2	30	73	2	0	0	0	3	2	37	42	107	1	0	6	0	21	2	3
944	974	"Grand Rapids"	53	-98.25	175	"AWI"	175	7166	7991	7589	4	48	50	111	60	80	3	35	97	3	0	0	0	4	3	65	65	162	1	2	4	0	25	0	3
944	974	"Grand Rapids"	53	-98.25	185	"AWI"	185	7368	8141	7756	1	53	80	133	96	110	2	67	147	2	0	1	0	5	5	122	70	111	0	5	8	1	48	2	1
944	974	"Grand Rapids"	53	-98.25	195	"AWI"	195	7581	8265	7922	0	37	70	184	71	204	4	89	271	3	0	0	1	5	1	177	129	109	0	3	5	2	60	5	1
944	974	"Grand Rapids"	53	-98.25	200	"AWI"	200	7664	8341	8004	0	7	28	93	38	41	0	41	26	3	0	0	0	0	0	76	53	16	2	0	1	0	16	2	0
944	974	"Grand Rapids"	53	-98.25	205	"AWI"	205	7801	8427	8105	0	4	26	58	24	31	1	22	28	1	0	1	1	1	2	33	28	24	2	4	0	0	10	0	2
944	974	"Grand Rapids"	53	-98.25	210	"AWI"	210	7870	8603	8199	0	1	49	90	62	26	1	25	19	3	0	1	0	0	1	45	67	9	2	0	1	0	9	2	0
944	974	"Grand Rapids"	53	-98.25	215	"AWI"	215	7954	8804	8322	0	4	23	42	22	22	1	26	46	0	0	0	1	1	2	70	49	33	2	7	1	0	16	0	0
944	974	"Grand Rapids"	53	-98.25	220	"AWI"	220	8007	9100	8430	0	0	18	31	6	4	0	3	23	3	0	0	0	0	0	23	99	20	2	0	0	0	2	0	0
