"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygalaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Ulmus"	"Urticaceae"
511	524	"Cristal Lake"	52.11667	-90.08333	290	"AWI"	290	74	838	352	14	0	50	1	12	0	40	1	0	2	0	0	0	0	0	0	0	12	0	1	260	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0
511	524	"Cristal Lake"	52.11667	-90.08333	735	"AWI"	735	6523	7181	6895	13	0	47	2	9	0	93	0	0	0	5	1	0	0	0	0	1	8	0	0	131	289	1	0	5	0	0	0	0	0	2	0	0	0	0	0
511	524	"Cristal Lake"	52.11667	-90.08333	745	"AWI"	745	6707	7282	7043	3	0	98	1	1	7	87	0	0	0	4	10	0	0	0	0	1	0	2	3	45	261	6	0	1	0	3	0	0	0	1	0	0	1	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	750	"AWI"	750	6822	7322	7111	15	0	73	5	12	0	85	0	0	1	5	5	0	0	0	6	1	2	1	0	125	300	3	0	0	0	3	1	0	0	4	0	0	0	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	755	"AWI"	755	6900	7373	7181	8	0	105	3	1	9	93	1	0	0	8	0	0	0	0	0	1	3	1	1	87	275	5	0	1	0	6	0	0	0	5	0	0	1	0	0
511	524	"Cristal Lake"	52.11667	-90.08333	760	"AWI"	760	7025	7398	7247	13	0	46	2	16	0	77	0	0	1	5	13	0	2	0	0	3	4	3	0	148	311	4	1	0	0	5	0	0	0	1	1	0	0	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	765	"AWI"	765	7103	7457	7314	13	0	57	4	16	0	63	0	0	4	8	7	0	0	1	0	1	6	1	1	105	270	4	0	3	0	1	0	0	0	0	1	0	0	3	0
511	524	"Cristal Lake"	52.11667	-90.08333	770	"AWI"	770	7175	7514	7370	8	0	65	2	16	0	119	0	0	0	13	9	1	1	0	0	1	0	1	1	97	364	5	0	3	0	7	0	0	0	5	2	0	0	0	0
511	524	"Cristal Lake"	52.11667	-90.08333	775	"AWI"	775	7242	7588	7423	5	0	77	4	0	0	107	0	0	1	4	0	0	1	0	0	1	1	0	1	60	225	3	0	1	0	4	0	1	0	3	1	0	0	2	0
511	524	"Cristal Lake"	52.11667	-90.08333	780	"AWI"	780	7310	7629	7480	9	0	68	7	9	0	142	0	0	3	4	9	0	0	0	0	5	6	0	0	96	308	4	2	1	1	1	0	0	0	3	0	0	0	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	785	"AWI"	785	7388	7687	7539	8	0	72	5	10	0	120	0	0	1	9	9	0	0	0	0	3	3	1	1	94	305	5	0	2	0	3	1	0	0	4	0	0	1	1	1
511	524	"Cristal Lake"	52.11667	-90.08333	790	"AWI"	790	7453	7757	7601	5	0	53	4	0	0	185	0	0	4	0	0	0	0	0	0	7	3	2	1	65	0	3	0	0	0	4	0	0	0	2	0	0	0	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	795	"AWI"	795	7507	7826	7658	8	0	58	7	18	0	148	0	0	1	10	4	0	0	0	0	3	2	0	2	73	0	7	0	0	0	5	0	0	0	5	1	0	0	2	0
511	524	"Cristal Lake"	52.11667	-90.08333	799	"AWI"	799	7534	7904	7703	11	0	50	13	14	0	98	0	0	2	14	5	0	0	0	0	2	9	1	0	62	228	8	0	0	0	3	0	0	0	0	0	0	0	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	803	"AWI"	803	7573	7976	7749	0	0	31	12	20	0	48	0	0	0	23	11	0	0	0	0	2	8	0	1	181	225	3	0	1	0	2	0	0	0	12	0	0	0	1	0
511	524	"Cristal Lake"	52.11667	-90.08333	810	"AWI"	810	7622	8116	7831	0	0	17	14	44	0	13	0	2	2	10	52	1	0	0	0	6	4	0	0	103	0	20	0	4	0	4	0	0	0	55	3	1	0	3	0
