"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Discaria"	"Drimys"	"Embothrium"	"Ericales"	"Escallonia"	"Fabaceae"	"Gentianaceae"	"Grossulariaceae"	"Gunneraceae"	"Indeterminable"	"Liliaceae"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Pilgerodendron"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Santalaceae"	"Tropaeolaceae"	"Urticaceae"	"Verbenaceae"
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	220	"AWI"	220	6543	7916	7216	0	0	0	0	0	0	1	0	0	9	0	0	2	19	1	0	0	0	0	19	0	0	2	0	267	0	0	2	1	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	230	"AWI"	230	6859	8265	7544	0	0	16	0	0	0	0	0	1	17	2	1	0	6	1	0	0	0	0	7	0	9	2	0	296	0	0	2	0	1	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	240	"AWI"	240	7168	8585	7869	0	0	0	0	0	0	0	0	0	15	1	0	1	11	0	0	0	1	1	11	0	1	4	0	268	1	0	3	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	250	"AWI"	250	7484	8919	8190	1	0	0	5	0	0	0	0	1	45	3	1	3	8	0	0	0	1	0	35	0	0	4	0	234	0	1	6	1	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	260	"AWI"	260	7817	9239	8517	0	1	0	0	0	0	6	0	0	33	1	2	2	16	1	0	2	1	3	21	1	0	4	0	220	1	2	11	0	0	0	0	0	0	1	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	270	"AWI"	270	8138	9564	8842	0	1	0	0	0	0	1	0	2	72	7	1	3	16	0	0	0	0	0	16	0	2	4	0	205	0	0	6	1	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	280	"AWI"	280	8468	9893	9170	0	0	2	0	0	0	0	0	1	69	2	1	3	10	0	1	0	0	0	5	0	3	4	0	196	0	0	17	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	290	"AWI"	290	8783	10199	9489	0	0	5	0	0	0	0	0	0	37	1	0	6	22	0	0	0	0	0	5	0	1	1	0	209	0	0	14	0	1	0	2	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	300	"AWI"	300	9122	10503	9812	1	1	0	0	1	0	0	0	0	70	9	2	1	62	0	0	0	0	2	1	0	0	0	0	114	1	0	27	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	310	"AWI"	310	9454	10800	10132	0	0	0	0	0	0	1	0	0	69	3	2	0	20	1	0	0	2	1	14	0	4	4	0	325	1	0	22	0	1	0	0	0	0	2	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	315	"AWI"	315	9611	10947	10293	0	0	1	0	0	0	0	0	1	41	0	1	3	25	0	0	0	0	1	12	0	1	4	1	199	0	0	19	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	320	"AWI"	320	9784	11088	10457	0	0	0	0	0	0	0	0	0	84	1	0	2	37	1	0	0	0	3	8	0	1	5	0	154	0	5	0	0	0	0	2	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	325	"AWI"	325	9941	11231	10610	0	0	0	0	0	1	1	0	0	140	4	0	2	56	0	0	0	0	3	12	0	0	3	0	55	0	36	7	0	0	0	0	0	2	1	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	327	"AWI"	327	10002	11298	10673	0	0	0	0	0	0	1	0	1	1	0	0	1	26	0	1	0	0	1	0	0	0	1	0	60	0	3	9	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	330	"AWI"	330	10092	11411	10772	0	0	0	0	0	0	0	0	1	34	1	0	1	11	0	1	0	0	0	0	0	0	2	0	48	0	5	4	0	0	0	0	0	0	0	0	0
