"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Buddleja"	"Caprifoliaceae"	"Cyperaceae"	"Embothrium"	"Ephedraceae"	"Ericales"	"Grossulariaceae"	"Gunneraceae"	"Indeterminable"	"Liliaceae"	"Misodendraceae"	"Nothofagus"	"Oxalidaceae"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Schinus"	"Verbenaceae"
522	536	"Cueva Milodon"	-51.58333	-72.63333	1	"AWI"	1	11993	13041	12582	0	0	0	0	0	0	0	0	4	0	2	1	0	0	10	0	0	0	0	0	0	21	0	0	0	0	9	0	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	2	"AWI"	2	12279	13611	12953	0	36	0	24	2	1	0	0	36	0	0	93	0	1	2	2	0	0	1	4	1	305	0	1	0	0	4	0	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	3	"AWI"	3	12558	14150	13216	0	56	1	94	1	0	0	0	10	1	0	37	0	0	11	0	0	1	0	1	1	127	2	0	0	0	10	4	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	4	"AWI"	4	12856	14294	13458	1	0	0	0	0	12	0	1	4	0	1	0	1	1	0	0	0	0	0	1	0	221	0	0	2	0	3	1	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	5	"AWI"	5	13026	14522	13695	2	0	1	42	0	0	0	2	10	0	1	4	0	0	7	2	0	0	0	2	2	231	19	1	1	0	6	0	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	6	"AWI"	6	13333	14875	14047	1	0	0	72	0	0	0	0	13	0	1	1	0	0	5	0	0	0	0	3	0	443	1	0	0	0	2	1	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	7	"AWI"	7	13507	15390	14390	0	0	0	57	0	0	0	0	6	0	0	76	0	0	2	0	0	1	0	1	0	328	1	0	2	0	18	0	0
522	536	"Cueva Milodon"	-51.58333	-72.63333	8	"AWI"	8	13900	15915	14900	0	0	0	50	0	0	2	0	6	0	0	0	0	0	2	4	0	0	0	0	0	195	3	0	0	0	8	0	3
522	536	"Cueva Milodon"	-51.58333	-72.63333	9	"AWI"	9	14315	16547	15594	2	40	0	0	0	0	0	0	15	0	3	2	2	0	15	1	1	1	0	6	1	306	2	0	0	3	9	0	0
