"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	200	"AWI"	200	8654	10426	9349	0.635930047694754	0	7.79014308426073	0.158982511923688	0	0.476947535771065	0	17.4880763116057	0	0	0	0.794912559618442	64.7058823529412	0.317965023847377	0	0	0	0.95389507154213	0	0	0	0	0.158982511923688	0	0.476947535771065	3.02066772655008	0.158982511923688	0	0.476947535771065	0	0	0.95389507154213	0	0	0	0.635930047694754	0	0	0.635930047694754	0.158982511923688	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	210	"AWI"	210	9053	12159	10111	0.619578686493185	0	9.91325898389096	0	0	0.619578686493185	0.371747211895911	18.8351920693928	0	0	0	0	65.7992565055762	0.247831474597274	0	0.123915737298637	0	0.619578686493185	0	0	0.123915737298637	0	0	0	0	0	0	0	0.371747211895911	0	0	0.867410161090459	0	0.619578686493185	0	0	0	0	0.371747211895911	0.495662949194548	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	220	"AWI"	220	9492	13705	10955	0.520833333333333	0	0	0	0	1.04166666666667	1.21527777777778	15.7986111111111	0	0.173611111111111	0	0	47.5694444444444	3.29861111111111	0	0.347222222222222	0	4.34027777777778	0	0	0	0	0	0.347222222222222	0.173611111111111	2.77777777777778	0.520833333333333	0	6.42361111111111	0	0	0.347222222222222	0	0.347222222222222	0	14.5833333333333	0	0	0	0.173611111111111	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	225	"AWI"	225	9805	14290	11392	0.41407867494824	0	3.72670807453416	0	0	0.41407867494824	0.82815734989648	16.1490683229814	0	0.20703933747412	0	0.82815734989648	51.9668737060041	1.24223602484472	0	0	0	1.0351966873706	0	0.62111801242236	0	0	0	0	0	4.96894409937888	0	8.90269151138716	3.1055900621118	0	0	1.24223602484472	0	0.82815734989648	0	3.31262939958592	0	0	0.20703933747412	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	230	"AWI"	230	9982	15087	11793	2.45398773006135	0	0	0	0	2.45398773006135	0	24.5398773006135	0	0	0	0	48.4662576687117	0.613496932515337	0	0	0	0	0	0	0	0	0	0	0	0	0.613496932515337	0	8.58895705521472	0	0	0	0	0	0	12.2699386503067	0	0	0	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	235	"AWI"	235	10278	15672	12243	0.208333333333333	0	3.125	0	0	2.08333333333333	1.45833333333333	17.0833333333333	0	0.208333333333333	0	0.416666666666667	47.0833333333333	1.04166666666667	0.208333333333333	0.208333333333333	0	1.25	0	0	0.208333333333333	0	0	0	1.04166666666667	0	0.208333333333333	0	7.08333333333333	0	0	0.625	0.208333333333333	0	0	16.0416666666667	0	0	0.208333333333333	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	10	"AWI"	10	-44	932	219	8.62944162436548	0	7.61421319796954	0.50761421319797	0.50761421319797	0.50761421319797	0	64.4670050761421	0	0	0	0	6.09137055837564	2.53807106598985	0	3.55329949238579	0	0.50761421319797	0	0	0	0	0	0	0.50761421319797	0	0	0	2.53807106598985	0	0	1.01522842639594	0	0	0.50761421319797	0	0	0	0.50761421319797	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	25	"AWI"	25	202	1573	712	9.92063492063492	0	4.36507936507936	0	0	1.98412698412698	0	42.0634920634921	0	0.396825396825397	0	0	2.77777777777778	1.58730158730159	0	0	0	0	0	0	0.396825396825397	0	0	0	0.396825396825397	32.5396825396825	0	0	0	0	0	1.98412698412698	0	0	0.396825396825397	0.396825396825397	0	0	0.396825396825397	0.396825396825397	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	40	"AWI"	40	474	2175	1188	6.18846694796062	0	4.07876230661041	0.140646976090014	0	0.140646976090014	0	50.492264416315	0	0	0	0.140646976090014	14.3459915611814	2.25035161744022	0	1.82841068917018	0	0.140646976090014	0	0	0.140646976090014	0	0	0	0.140646976090014	16.4556962025316	0	0	0.140646976090014	0	0	0.843881856540084	0	0	0	0	0	0	1.54711673699015	0.984528832630098	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	50	"AWI"	50	690	2507	1505	6.75675675675676	0	2.12355212355212	0	0	0.193050193050193	0	53.0888030888031	0.386100386100386	0	0.193050193050193	0	4.63320463320463	3.28185328185328	0	1.73745173745174	0	0.772200772200772	0	0	0.579150579150579	0	0	0	0.386100386100386	22.007722007722	0.386100386100386	0	0.193050193050193	0	0	0.965250965250965	0	0	0	0	0	0	1.73745173745174	0.579150579150579	0
