"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
1072	1105	"High Lake"	44.51667	-76.6	715	"AWI"	715	-133	-25	-63	3	27	0	2	0	0	0	110	0	9	0	0	0	0	1	1	0	0	0	68	17	1	1	2	0	0	0	0	24	0	328	1	1	0	0	81	1	0	0	3	0	0	0	1	9	259	40	0	2	0
1072	1105	"High Lake"	44.51667	-76.6	725	"AWI"	725	-85	53	-12	4	29	0	0	0	3	0	144	0	13	0	1	0	0	11	2	0	0	0	57	27	1	30	3	1	0	0	0	20	0	271	5	3	0	1	80	3	0	0	7	1	1	0	0	7	181	44	0	0	1
1072	1105	"High Lake"	44.51667	-76.6	735	"AWI"	735	-32	310	88	0	0	27	0	0	2	0	149	0	8	0	1	0	0	12	1	0	0	0	69	44	2	13	2	0	0	0	0	13	0	206	5	1	0	1	105	1	9	0	11	0	1	0	0	17	197	50	0	0	0
1072	1105	"High Lake"	44.51667	-76.6	745	"AWI"	745	31	535	219	2	33	0	1	0	3	0	128	0	18	0	2	0	0	11	1	0	0	0	100	23	5	8	5	0	3	0	0	17	0	239	4	3	0	0	90	1	0	0	5	5	1	0	0	7	172	53	0	0	1
1072	1105	"High Lake"	44.51667	-76.6	755	"AWI"	755	123	720	363	0	49	25	0	0	0	0	133	0	17	0	1	0	0	12	1	0	0	0	95	29	0	5	4	0	1	0	0	16	0	239	6	0	0	0	81	1	0	0	4	1	0	0	0	12	197	62	0	0	0
1072	1105	"High Lake"	44.51667	-76.6	765	"AWI"	765	218	893	511	1	0	0	0	0	0	0	150	0	9	1	0	0	0	7	2	0	0	0	106	31	6	5	3	0	0	0	0	11	0	281	4	1	0	0	66	1	0	0	18	0	0	0	0	9	192	43	0	0	0
1072	1105	"High Lake"	44.51667	-76.6	775	"AWI"	775	321	1024	658	2	40	0	1	0	2	0	128	0	9	0	0	0	0	12	1	0	0	0	93	0	1	7	1	0	1	0	0	22	0	307	2	2	0	0	64	0	0	1	9	0	0	0	0	6	176	30	0	5	0
1072	1105	"High Lake"	44.51667	-76.6	785	"AWI"	785	431	1136	799	3	0	0	0	0	2	0	147	0	13	0	0	1	0	26	3	0	0	0	116	33	3	3	5	0	1	0	0	6	0	253	3	1	0	0	66	0	0	0	12	0	1	0	0	6	162	66	0	0	1
1072	1105	"High Lake"	44.51667	-76.6	795	"AWI"	795	562	1225	932	0	33	0	0	0	3	0	151	0	10	0	0	0	0	14	1	0	0	0	110	33	1	10	2	0	0	0	0	15	0	226	5	0	0	0	93	2	0	0	4	1	0	0	0	7	181	55	0	0	0
1072	1105	"High Lake"	44.51667	-76.6	805	"AWI"	805	698	1312	1061	6	29	0	0	0	5	0	127	1	9	0	0	1	0	7	2	0	0	0	119	32	0	8	4	0	1	0	0	31	0	283	4	1	0	0	59	1	0	0	9	0	2	0	0	11	195	55	0	1	0
1072	1105	"High Lake"	44.51667	-76.6	815	"AWI"	815	907	1395	1194	1	39	0	0	0	1	0	132	0	17	0	0	0	0	21	4	0	0	0	120	42	3	7	3	0	0	0	0	7	0	242	2	1	0	0	55	1	0	0	5	1	0	0	0	8	177	68	0	0	0
1072	1105	"High Lake"	44.51667	-76.6	825	"AWI"	825	1153	1477	1315	1	0	0	1	0	3	0	128	0	22	0	0	0	0	7	3	0	0	0	115	32	3	18	2	0	0	0	0	24	0	171	9	0	0	1	86	3	0	0	11	1	0	0	0	9	218	54	0	0	1
