"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
1646	1701	"Maplehurst Lake"	43.225	-80.65972	10	"AWI"	10	-76	364	103	0	15	2	3	0	2	0	28	6	0	0	0	0	2	0	0	1	30	5	0	5	0	0	0	0	0	0	0	10	2	0	0	21	4	28	0	0	0	0	2	0	0	0	0	2	20	23	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	25	"AWI"	25	37	638	382	1	24	1	0	0	3	0	24	1	0	0	0	0	1	0	0	0	34	4	0	3	0	2	0	0	0	0	0	9	1	10	3	3	0	23	0	0	0	0	1	0	0	0	0	1	26	21	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	45	"AWI"	45	259	1058	684	1	51	8	0	0	0	0	70	9	1	0	2	0	1	0	2	0	122	24	0	5	0	6	0	0	0	0	0	35	3	0	3	4	3	91	0	0	0	0	1	0	0	0	0	5	104	63	1
1646	1701	"Maplehurst Lake"	43.225	-80.65972	65	"AWI"	65	463	1511	937	0	23	4	0	0	1	0	22	4	0	0	1	0	1	1	0	0	47	11	0	3	0	1	0	0	0	0	0	18	2	11	1	0	0	37	0	0	0	0	0	0	0	1	0	1	28	22	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	85	"AWI"	85	674	1861	1212	0	22	3	0	0	2	0	19	1	0	1	0	0	0	0	0	0	62	11	0	3	0	3	0	0	0	0	0	10	1	0	2	0	2	23	0	0	0	0	1	0	0	1	0	3	21	17	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	105	"AWI"	105	876	2204	1484	0	18	2	0	0	2	0	32	5	0	1	1	0	1	0	0	0	70	5	0	4	0	0	0	0	0	0	0	11	1	0	2	0	0	30	0	0	0	0	0	0	0	0	0	2	19	28	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	125	"AWI"	125	1102	2518	1755	0	9	3	1	0	2	0	23	11	0	0	1	2	0	0	0	0	66	13	0	0	0	2	0	0	0	0	0	8	1	0	2	0	0	23	0	0	0	0	1	0	0	0	0	0	25	28	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	145	"AWI"	145	1336	2843	2026	0	56	5	0	0	4	0	62	12	0	0	1	0	0	0	0	0	151	33	0	12	0	2	1	1	0	1	0	32	1	18	5	2	1	71	0	1	0	0	0	0	0	0	1	6	50	54	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	165	"AWI"	165	1567	3156	2304	0	43	2	1	0	0	0	32	7	0	0	0	0	0	0	0	0	80	14	0	5	0	0	0	1	0	0	0	16	0	15	5	0	3	31	0	0	0	0	0	1	0	0	0	4	16	35	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	185	"AWI"	185	1809	3438	2574	0	35	0	0	0	1	0	41	9	0	0	0	0	1	0	1	0	97	23	0	4	0	4	0	0	0	0	0	15	1	29	4	0	1	55	0	0	0	0	0	0	0	0	1	5	26	46	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	225	"AWI"	225	2311	3994	3122	0	28	6	0	0	0	0	27	5	0	0	0	1	0	0	0	0	86	19	0	2	0	2	0	0	0	0	0	10	3	34	4	2	2	40	0	0	0	0	0	0	0	0	0	3	21	24	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	245	"AWI"	245	2563	4284	3402	0	43	2	1	0	0	6	29	6	0	0	0	1	2	0	0	0	78	19	0	2	0	1	0	0	0	0	0	10	1	29	3	0	2	46	0	0	0	0	0	1	0	0	1	3	34	44	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	265	"AWI"	265	2831	4540	3676	0	26	0	0	0	0	0	37	6	0	0	1	0	0	0	0	0	74	20	0	3	0	1	0	1	0	0	0	16	1	46	8	1	1	67	0	0	0	0	0	0	0	0	1	2	35	33	0
1646	1701	"Maplehurst Lake"	43.225	-80.65972	285	"AWI"	285	3108	4802	3949	0	39	0	2	0	0	0	35	11	0	0	0	0	2	0	0	0	82	21	0	1	0	3	0	1	0	0	0	16	0	48	1	1	1	83	0	0	0	0	0	1	0	0	0	5	31	28	0
